measure,sub,run,sa_lambda,sa_inf,gc
pearson,sub-pa1372,01,19.55826721820886,-0.0794840055136229,0.012176513671875
pearson,sub-pa1372,02,21.595905936752366,-0.08541898474085578,0.0081939697265625
pearson,sub-pa1387,01,20.88361295230875,-0.049300262299661855,0.0197906494140625
pearson,sub-pa1387,02,19.194085769924516,-0.05106828048522663,0.01593017578125
pearson,sub-pa1416,01,17.840921949768898,-0.05278695309386283,0.017822265625
pearson,sub-pa1416,02,17.55148810198025,-0.030920200366791557,0.0222930908203125
pearson,sub-pa1560,01,16.921012342444865,-0.06534607750454995,0.01983642578125
pearson,sub-pa1560,02,18.02410302222669,-0.04258601962566845,0.01366424560546875
pearson,sub-pa1582,01,20.579244883016642,-0.0718838899674586,0.01934814453125
pearson,sub-pa1582,02,19.464697303840566,-0.05815907206079972,0.014801025390625
pearson,sub-pa1604,01,15.219066679584103,-0.04649744159365509,0.0169830322265625
pearson,sub-pa1604,02,17.420695514395813,-0.06395057596478836,0.013641357421875
pearson,sub-pa1674,01,20.55480016967791,-0.04180690067157756,0.01096343994140625
pearson,sub-pa1674,02,18.151809305554377,-0.03966190137834815,0.008880615234375
pearson,sub-pa1700,01,22.92129728481205,-0.06030380196693359,0.01146697998046875
pearson,sub-pa1700,02,22.893763777351676,-0.06761280432286956,0.01529693603515625
pearson,sub-pa1766,01,27.39085787493154,-0.1063209190043511,0.030303955078125
pearson,sub-pa1766,02,21.69120951619986,-0.0553138827795576,0.0230255126953125
pearson,sub-pa1792,01,14.94137202343891,-0.03198847608884158,0.00975799560546875
pearson,sub-pa1792,02,19.08293650714512,-0.07025516787456071,0.01068115234375
pearson,sub-pa1811,01,20.34600640256312,-0.04904660577053014,0.0195465087890625
pearson,sub-pa1811,02,18.27054366122536,-0.04890838539610028,0.018890380859375
pearson,sub-pa1834,01,20.563262786848817,-0.06116766765223117,0.0240936279296875
pearson,sub-pa1834,02,22.974772286967895,-0.09413616895955074,0.0156097412109375
pearson,sub-pa1841,01,18.287019694981996,-0.020174203009038133,0.019012451171875
pearson,sub-pa1841,02,23.575540234714282,-0.09262784167089438,0.019500732421875
pearson,sub-pa1859,01,20.419132626096815,-0.06563124225687435,0.01763916015625
pearson,sub-pa1859,02,19.15409836006952,-0.03883545913553,0.033599853515625
pearson,sub-pa1913,01,18.609689861988045,-0.039073973936370424,0.01132965087890625
pearson,sub-pa1913,02,24.169842014328335,-0.09864545379081725,0.01363372802734375
pearson,sub-pa1940,01,21.625834141286557,-0.05571490702370978,0.02996826171875
pearson,sub-pa1940,02,19.357360687247454,-0.0509614847393775,0.01094818115234375
pearson,sub-pa1978,01,21.122782826056415,-0.06615224428242517,0.0129852294921875
pearson,sub-pa1978,02,22.70857745519696,-0.07704475149890451,0.02606201171875
pearson,sub-pa2079,01,18.66045243386205,-0.07278658542238044,0.0171356201171875
pearson,sub-pa2079,02,19.642971833775945,-0.055709403125950276,0.01837158203125
pearson,sub-pa2100,01,21.670481124398048,-0.09410188250482003,0.0096435546875
pearson,sub-pa2100,02,21.42913636564539,-0.06504586648681303,0.017547607421875
pearson,sub-pa2106,01,18.640833617514375,-0.04031075580859151,0.0232391357421875
pearson,sub-pa2106,02,24.47445097242192,-0.07726285616724116,0.03814697265625
pearson,sub-pa2196,01,21.75587351686415,-0.06771416211828901,0.01580810546875
pearson,sub-pa2196,02,22.933125033483726,-0.07200071377118611,0.01267242431640625
pearson,sub-pa2213,01,21.375215718440757,-0.04758480598456111,0.020416259765625
pearson,sub-pa2213,02,18.998017225486265,-0.012539188258686785,0.0357666015625
pearson,sub-pa2216,01,19.60564780126144,-0.04393588281277918,0.01409149169921875
pearson,sub-pa2216,02,17.500339157909682,-0.045777660055696986,0.00861358642578125
pearson,sub-pa2220,01,19.258632763694873,-0.04062372066689835,0.0190582275390625
pearson,sub-pa2220,02,19.478054976032023,-0.05380987202403137,0.0226593017578125
pearson,sub-pa2221,01,25.08870273905106,-0.12393827232125657,0.0218353271484375
pearson,sub-pa2221,02,22.03099089992287,-0.0677222199263202,0.0236358642578125
pearson,sub-pa2226,01,21.319584531045855,-0.08620113462851614,0.01012420654296875
pearson,sub-pa2226,02,21.071345333871413,-0.07723034242729226,0.011383056640625
