sub,run,prop_good,max_gap,mad_vel
sub-pa1372,1,1.0,1.0,1.3379878198217898
sub-pa1372,2,1.0,0.0,1.2957449610753105
sub-pa1387,1,0.71,38.0,2.743471098670779
sub-pa1387,2,1.0,3.0,1.3873822514940544
sub-pa1416,1,1.0,1.0,1.2769373240778623
sub-pa1416,2,1.0,2.0,1.0241323402560176
sub-pa1560,1,0.03,123.0,9.422288198444198
sub-pa1560,2,0.575,53.0,2.3737780255485346
sub-pa1582,1,1.0,2.0,1.8710373804093006
sub-pa1582,2,1.0,0.0,2.159308254655185
sub-pa1604,1,1.0,1.0,1.0656335561460994
sub-pa1604,2,1.0,3.0,1.0856937338233292
sub-pa1674,1,1.0,4.0,2.4894323385414867
sub-pa1674,2,0.9825,7.0,3.1920311282453513
sub-pa1700,1,1.0,2.0,1.717270997263545
sub-pa1700,2,1.0,2.0,1.4940741513954294
sub-pa1766,1,0.945,8.0,3.526719394243956
sub-pa1766,2,1.0,1.0,1.4571899537419855
sub-pa1792,1,1.0,2.0,1.470933365668069
sub-pa1792,2,1.0,1.0,1.010612173004881
sub-pa1811,1,1.0,2.0,1.9456063445894882
sub-pa1811,2,1.0,3.0,1.0626081252088313
sub-pa1834,1,1.0,1.0,1.1116174011769842
sub-pa1834,2,1.0,2.0,1.073978516499715
sub-pa1841,1,0.8975,19.0,3.5636173278116288
sub-pa1841,2,0.9825,7.0,4.107303766198117
sub-pa1859,1,1.0,0.0,2.2210144521954747
sub-pa1859,2,1.0,2.0,1.4084919904330713
sub-pa1913,1,1.0,1.0,2.204701684370205
sub-pa1913,2,0.9225,10.0,3.7607016781318774
sub-pa1940,1,0.9125,11.0,2.402555852663578
sub-pa1940,2,1.0,2.0,1.2486741029456048
sub-pa1978,1,1.0,4.0,1.6516193315575673
sub-pa1978,2,1.0,3.0,1.1745111089724367
sub-pa2079,1,1.0,1.0,2.0533435687488186
sub-pa2079,2,1.0,1.0,1.7541964174208355
sub-pa2100,1,1.0,3.0,1.2776218610172096
sub-pa2100,2,1.0,4.0,0.5050032343589443
sub-pa2106,1,1.0,0.0,0.7848266464046275
sub-pa2106,2,1.0,2.0,1.5796805109027472
sub-pa2196,1,1.0,2.0,1.5426010664364322
sub-pa2196,2,1.0,0.0,1.5315825800578104
sub-pa2213,1,1.0,2.0,1.874389383526542
sub-pa2213,2,1.0,4.0,2.528777790893779
sub-pa2216,1,1.0,2.0,2.975812342686166
sub-pa2216,2,0.975,10.0,1.0165938053160541
sub-pa2220,1,1.0,0.0,1.1745899204677417
sub-pa2220,2,1.0,0.0,1.1700598162312164
sub-pa2221,1,1.0,3.0,1.809102190985678
sub-pa2221,2,1.0,3.0,1.6949123160073734
sub-pa2226,1,1.0,1.0,1.4669930560184674
sub-pa2226,2,1.0,2.0,1.332856094929891
