,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2
t1t2,1.3126887083053589,1.4464293718338013,1.4425026178359983,1.4858381748199463,1.5302073955535889,1.5241436958312988,1.4063762426376345,1.4352457523345947,1.4763063192367554,1.477951169013977,1.4018006324768066,1.3075623512268066,1.491096258163452,1.5428705215454102,1.4758108854293823,1.2922688722610474,1.283170223236084,1.355733036994934,1.3493777513504028,1.2533212900161743,1.3031837940216064,1.303136706352234,1.319973707199097,1.2513272762298584,1.186466932296753,1.2066872119903564,1.2113423347473145,1.193753719329834,1.2659049034118652,1.268991231918335,1.2236833572387695,1.1395474672317505,1.214750051498413,1.3312746286392212,1.2823946475982666,1.3856875896453855,1.518014669418335,1.205557107925415,1.2983094453811646,1.321375846862793,1.2617794275283811,1.2066714763641355,1.25995671749115,1.169050931930542,1.2117496728897097,1.1873396635055542,1.2793948650360107,1.247042894363403,1.4465124607086182,1.350568771362305,1.2999638319015503,1.4402952194213867,1.3592437505722046,1.4861985445022583,1.557619571685791,1.517520308494568,1.419898271560669,1.4629768133163452,1.459848165512085,1.3666930198669434,1.2743881940841677,1.466694474220276,1.5404088497161863,1.5545988082885742,1.3999156951904297,1.4969475269317627,1.331916332244873,1.3114686012268066,1.3452194929122925,1.3640257120132446,1.2621257305145264,1.294970989227295,1.3199920654296875,1.3420450687408447,1.2697993516921997,1.2037322521209717,1.2822682857513428,1.241884469985962,1.2260340452194214,1.1473946571350098,1.2591853141784668,1.3077038526535034,1.2054399251937866,1.2607015371322632,1.2063032388687134,1.2801920175552368,1.5394010543823242,1.187454342842102,1.3355731964111328,1.279188632965088,1.2037227153778076,1.1583890914916992,1.3263044357299805,1.259074330329895,1.2549091577529907,1.1682747602462769,1.1836323738098145,1.2389601469039917,1.457849621772766,1.3685849905014038
saaxis,-0.2046160697937011,-1.2545982599258425,-1.2951170206069946,-1.1066447496414185,-1.6440263986587524,-1.4350887537002563,-0.721234142780304,-1.0371906757354736,-1.4423415660858154,-0.4624767005443573,-0.7036199569702148,-0.5925411581993103,-1.0440901517868042,-1.3601001501083374,-1.3031200170516968,0.102163627743721,-0.0753800943493843,-0.5862741470336914,-0.6996344327926636,-0.5166587233543396,-0.9227027893066406,0.4899496138095855,-0.1745680123567581,0.521988034248352,0.3159476518630981,0.275086373090744,1.213634729385376,0.5943329930305481,-0.4174487590789795,0.0435669235885143,0.7440420389175415,0.4875723719596863,1.139145016670227,0.1793715059757232,1.0085852146148682,-0.4230981469154358,0.2287119477987289,1.2897357940673828,0.7428386211395264,0.1775259673595428,0.8993631601333618,1.0991002321243286,1.1535414457321167,1.334834337234497,1.257777452468872,1.3834433555603027,1.3960964679718018,1.2206987142562866,-0.3593568801879883,0.4375491142272949,-0.0549593865871429,-1.058059573173523,-0.2476999908685684,-1.3194106817245483,-1.5697089433670044,-1.2339074611663818,-0.8264773488044739,-1.3482019901275637,-0.4073202311992645,-0.547287106513977,-0.4810878336429596,-1.185062289237976,-1.1785175800323486,-1.499539852142334,-1.1605905294418335,-1.3471537828445437,0.050105482339859,-0.5930523872375488,-0.1181010007858276,-0.6736459732055664,-0.5811063647270203,0.3952870666980743,-0.2859377861022949,0.2580114603042602,0.0037777142133563,0.4226472079753876,-0.4695670306682586,0.0609416030347347,0.8220803141593933,0.6714332699775696,0.8239225745201111,0.607140302658081,1.197014093399048,0.9487124681472778,1.2302701473236084,1.1970322132110596,0.0433120392262935,0.8789795637130737,-0.1546440422534942,1.3152824640274048,1.5832356214523315,0.9190500974655152,0.3111580312252044,1.0383518934249878,1.1508115530014038,1.4231979846954346,1.4132941961288452,1.3136805295944214,-0.0274059474468231,0.3986179530620575
gm,0.621511697769165,0.5580857992172241,0.5750777125358582,0.4637457430362701,0.4586943984031677,0.5531490445137024,0.5345948934555054,0.4655821025371551,0.4523411393165588,0.5249313712120056,0.6082950830459595,0.5643374919891357,0.4463264346122741,0.3208453357219696,0.3773775994777679,0.6253069639205933,0.4605222642421722,0.3900435864925384,0.4575203061103821,0.4659129381179809,0.3630703389644623,0.5232869386672974,0.4844386577606201,0.5055631995201111,0.594664990901947,0.6385571360588074,0.5302311778068542,0.58735591173172,0.5415242910385132,0.5135958194732666,0.6119323968887329,0.6485884189605713,0.6267008781433105,0.4505608081817627,0.5267440676689148,0.4761883318424225,0.544171929359436,0.5999302268028259,0.6059667468070984,0.5867059826850891,0.4562958776950836,0.6095113754272461,0.5310496091842651,0.6147242784500122,0.4919165074825287,0.4618886709213257,0.4454762041568756,0.5134923458099365,0.5992032885551453,0.5875648856163025,0.6388264894485474,0.611825168132782,0.5904123187065125,0.4595474302768707,0.5544995665550232,0.5520698428153992,0.4973790645599365,0.4171661734580993,0.4911369979381561,0.631848156452179,0.532169759273529,0.4600966572761535,0.4286938309669494,0.3235969841480255,0.341146856546402,0.3789451420307159,0.5525100827217102,0.5232725143432617,0.4406579434871673,0.3804376423358917,0.3867152035236358,0.5304608941078186,0.4774848520755768,0.5911417007446289,0.5229494571685791,0.6489612460136414,0.5776039361953735,0.5406143665313721,0.6035872101783752,0.6402193903923035,0.4342851638793945,0.3993503451347351,0.5254344344139099,0.5244869589805603,0.5293871164321899,0.4603917896747589,0.5569919347763062,0.5768425464630127,0.5200083255767822,0.5346220135688782,0.6103373169898987,0.558097779750824,0.6150280833244324,0.6235377192497253,0.5517299175262451,0.5976113677024841,0.4648804068565368,0.5278319120407104,0.634343683719635,0.6166308522224426
csf,0.1781294047832489,0.1097926199436187,0.1520224660634994,0.1397185623645782,0.1986395865678787,0.1682722717523574,0.1239107251167297,0.1814438998699188,0.2218979150056839,0.2248302698135376,0.156001016497612,0.234964907169342,0.2322320938110351,0.366362988948822,0.3275612294673919,0.1158945858478546,0.2599955797195434,0.3279448747634887,0.2661592662334442,0.3346601724624634,0.3959559202194214,0.1957784295082092,0.250912606716156,0.2115635424852371,0.3007463216781616,0.1548623144626617,0.2711979448795318,0.1924038976430893,0.1306048184633255,0.3051305413246155,0.1583634167909622,0.1980218887329101,0.1102197170257568,0.2671599090099334,0.2157318145036697,0.2645015120506286,0.1071415767073631,0.1541850566864013,0.1176856979727745,0.1482870876789093,0.2068404704332351,0.2197252810001373,0.2396972924470901,0.2113494873046875,0.3105136156082153,0.4055792987346649,0.3506506681442261,0.2874567210674286,0.1499636024236679,0.1384976059198379,0.1419926583766937,0.1002795323729515,0.112022154033184,0.1640200614929199,0.1849032938480377,0.181924432516098,0.1314219981431961,0.2386545240879058,0.2594926059246063,0.1708390861749649,0.2531956732273102,0.2328565120697021,0.3175912797451019,0.3737592101097107,0.4008209705352783,0.335694819688797,0.123084120452404,0.2208416610956192,0.2733015418052673,0.313257098197937,0.4142250418663025,0.1902519762516021,0.2457485496997833,0.1261912882328033,0.2365928590297699,0.2065425515174865,0.1419983655214309,0.2403044402599334,0.1703491955995559,0.1655273139476776,0.2567836344242096,0.2705973982810974,0.2638343274593353,0.2229566872119903,0.276847243309021,0.3467395901679992,0.1000203490257263,0.1920374631881714,0.2424936294555664,0.1477944254875183,0.1375212371349334,0.2321501821279525,0.1219172105193138,0.2009932845830917,0.2474455386400222,0.1976333856582641,0.3891652822494507,0.2584853768348694,0.1415061801671981,0.1194545179605484
veins,0.4554785788059234,0.3972076773643493,0.4905491173267364,0.1414600610733032,0.3593010902404785,0.523638129234314,0.2737096846103668,0.2457669079303741,0.4282870292663574,0.3819481432437897,0.4498113095760345,0.3537511527538299,0.2729963660240173,0.2248710542917251,0.3197468519210815,0.2706576883792877,0.2384389638900756,0.3020954728126526,0.4562157094478607,0.3570987582206726,0.202670156955719,0.3827406764030456,0.338373452425003,0.2223323881626129,0.4281809628009796,0.4353716969490051,0.3057360649108886,0.4293396174907684,0.3882175385951996,0.2546099424362182,0.2074120640754699,0.2115102410316467,0.1209630072116851,0.3290576040744781,0.3410504758358001,0.4323636293411255,0.4247646033763885,0.218546062707901,0.357950359582901,0.270312488079071,0.2112890183925628,0.418970376253128,0.2583041489124298,0.5068731307983398,0.2548126578330993,0.3337720930576324,0.192941814661026,0.3811098039150238,0.3753153085708618,0.4189353585243225,0.4180121719837188,0.4974343180656433,0.3028929531574249,0.2205460518598556,0.4981420338153839,0.5305243730545044,0.3151461184024811,0.3170807361602783,0.4174676537513733,0.4914782643318176,0.3312500119209289,0.2562421858310699,0.3212041854858398,0.1911337226629257,0.3066151142120361,0.2821303308010101,0.3286704421043396,0.4349821209907532,0.4089532792568207,0.3166846930980682,0.2476823776960373,0.3639030754566192,0.2723252475261688,0.3908458948135376,0.3016524910926819,0.4124770760536194,0.3899460136890411,0.3069603145122528,0.1652395576238632,0.2172860205173492,0.1697809249162674,0.1987451761960983,0.2575097978115082,0.3045193552970886,0.2419330328702926,0.1928818225860595,0.4008503556251526,0.4155214130878448,0.4445252418518066,0.3830903768539428,0.2029442936182022,0.3608303368091583,0.4564920365810394,0.3425273299217224,0.2305635213851928,0.4856446385383606,0.2368856221437454,0.2544794082641601,0.3910282254219055,0.4194749593734741
arteries,0.0169291663914918,0.0004196783120278,0.0037869855295866,0.0001856232702266,0.0003107272787019,0.0114186098799109,0.000400702789193,0.0011825062101706,0.0036249342374503,0.0166824106127023,0.0270178876817226,0.0121168382465839,0.006680847145617,0.0021964283660054,0.0034124418161809,0.0004997513024136,0.006744185462594,0.0018726752605289,0.0021456140093505,0.002177451737225,0.0019281740533187,0.005463320761919,0.000667437328957,0.0092283738777041,0.0424956940114498,0.0153373163193464,0.0003173650766257,0.0199019461870193,0.0037430545780807,0.0066383704543113,0.0094712581485509,0.0081986607983708,0.0003328366437926,0.0016564909601584,0.0014446899294853,0.0047825523652136,0.0087860692292451,0.00146702863276,0.001306080725044,0.003099106485024,0.0045471093617379,0.0159440785646438,0.003913230728358,0.0200923979282379,0.0005531454808078,0.0053324177861213,0.0027382073458284,0.000889555143658,0.0112261176109313,0.0020843942184001,0.0108263492584228,0.0020427964627742,0.0001781569735612,0.0003635204338934,0.0021053871605545,0.015517259016633,0.0004000028711743,0.0027976194396615,0.0271585341542959,0.024458285421133,0.015304984524846,0.0072824084199965,0.0035781231708824,0.0021185288205742,0.0008853579056449,0.0026087875012308,0.0007572369067929,0.0035842063371092,0.0018102553440257,0.0015371387125924,0.002405653707683,0.0054590115323662,0.0004672532377298,0.0035510724410414,0.0114607447758317,0.0233117528259754,0.0044463030062615,0.0103203114122152,0.0100932763889431,0.0056728939525783,0.0080281980335712,0.0045349919237196,0.0002267663367092,0.001272247871384,0.0002990502689499,0.0022389823570847,0.007873760536313,0.0186385493725538,0.0029689010698348,0.0047717853449285,0.0003543322382029,0.0186014473438262,0.0012906250776723,0.0103587657213211,0.0078081106767058,0.0210084095597267,0.0040305079892277,0.000452889886219,0.0105914520099759,0.0015675361501052
histogradient1,0.0046244710683822,0.5937932729721069,0.5231163501739502,0.3915662169456482,0.0662276297807693,0.288826435804367,0.3665101230144501,0.4630237221717834,0.463224709033966,0.0099998880177736,-0.0643243491649627,-0.1701036393642425,0.1525357812643051,-0.0595006980001926,-0.0074074161238968,0.2786243855953216,0.0555607788264751,0.3916154205799103,-0.0214214101433753,0.4661385715007782,0.2490437626838684,-0.2125671058893203,-0.3343493342399597,0.1567892432212829,0.0500424616038799,-0.4028753936290741,-0.1585125178098678,-0.2390406727790832,0.0385974459350109,-0.3606401979923248,-0.2032996565103531,-0.1332708001136779,0.1335902661085128,0.216536596417427,-0.0891147181391716,0.452002078294754,0.0136877167969942,0.050161100924015,0.1606869250535965,0.313709944486618,0.222858726978302,-0.4733401238918304,-0.2958785891532898,-0.3635735809803009,-0.3342440128326416,-0.2778004109859466,-0.3574211895465851,-0.232055976986885,0.2481500804424286,0.0115319769829511,0.0974939167499542,0.5800780653953552,0.4244877398014068,0.2676093280315399,0.3012134432792663,0.359747052192688,0.5162519216537476,0.4990552961826324,0.1070755049586296,-0.2205615043640136,-0.2193538248538971,0.1324972808361053,-0.1906634718179702,-0.1565867811441421,0.1444529742002487,-0.0303110647946596,0.1883150190114975,-0.0654836818575859,-0.0352496095001697,0.3817142248153686,0.2592186331748962,-0.3141783773899078,-0.409628689289093,0.0945838615298271,-0.2704534828662872,-0.2246624082326889,-0.0729831233620643,-0.3447663784027099,-0.1317263692617416,-0.0529450140893459,-0.0150016024708747,0.171209841966629,-0.4030909836292267,-0.3436178267002105,-0.2767229378223419,-0.3828937709331512,0.0960156396031379,-0.3058604300022125,0.3257040381431579,-0.0571246817708015,0.172727882862091,0.0600787959992885,-0.0362105444073677,-0.4550836086273193,-0.321132630109787,-0.3596723079681396,-0.3307583034038543,-0.3984028398990631,0.3397697508335113,0.0499529503285884
histogradient2,-0.3062088787555694,0.1363035887479782,-0.0918824672698974,0.2207304835319519,0.3782985806465149,0.1221197396516799,0.1408862471580505,0.2053781449794769,0.316032350063324,0.2603491246700287,0.191047266125679,0.0480479449033737,0.1686491966247558,0.3246884047985077,0.2271294295787811,-0.0050839153118431,-0.1031114757061004,0.1745491921901703,0.2569006979465484,-0.0992204397916793,-0.0098791867494583,0.0739847347140312,0.2622984945774078,-0.0889464169740676,-0.2545927166938782,0.0061039859429001,-0.1798305660486221,-0.0669150948524475,-0.0497345924377441,0.1692781448364257,-0.2252507507801056,-0.3654824793338775,-0.1355846971273422,0.180475115776062,0.0063500325195491,0.2101767808198928,0.0776001140475273,-0.1758889108896255,0.1352767348289489,0.0389033257961273,-0.0226036477833986,0.0527299828827381,0.026993878185749,-0.2284068167209625,-0.139394149184227,-0.1382606625556945,0.0841574370861053,0.0154266022145748,-0.0257981307804584,0.0821850597858429,-0.3620302677154541,0.0268926825374364,0.12506203353405,0.3949083685874939,0.2974194586277008,0.0455528907477855,0.1965340822935104,0.3001905083656311,0.0457103513181209,0.0622239187359809,0.0237871389836072,0.2566810250282287,0.2658654451370239,0.3737399280071258,0.2286021709442138,0.3126966655254364,0.1199885383248329,0.0848518908023834,0.1912270188331604,0.1591054797172546,-0.116919033229351,0.0461008325219154,0.2209934592247009,0.1242308393120765,-0.0241989903151989,-0.0956457629799842,0.048339370638132,0.103068932890892,-0.3165679574012756,-0.3680682480335235,-0.1622447371482849,-0.0356899835169315,-0.0863658934831619,-0.0031440202146768,0.0384736359119415,0.0470496602356433,0.0470452904701232,-0.047565970569849,0.0797095298767089,-0.0292785298079252,-0.2020830959081649,-0.3078438937664032,0.0535841807723045,0.0045065209269523,-0.0681948214769363,-0.2061528265476226,-0.1330783069133758,0.0090589914470911,-0.0428379289805889,0.1022678911685943
microgradient1,-0.062072604894638,0.0066766431555151,0.0259197354316711,0.0300250053405761,0.1095778420567512,0.0934072434902191,-0.0208673402667045,0.0351063683629035,0.0957843735814094,0.0794036760926246,0.0590279325842857,0.0126233706250786,0.1223259046673774,0.1457131952047348,0.1182888895273208,-0.08437529951334,-0.0043893647380173,0.0483062118291854,0.0444048456847667,-0.0226369649171829,0.0522468537092208,0.010240820236504,0.0655537992715835,-0.0325670763850212,0.0051690833643078,-0.0412103161215782,-0.0601615980267524,-0.0843370854854583,-0.0155291529372334,0.0222575329244136,-0.0496338084340095,-0.0554728843271732,-0.0967290848493576,-0.0030998541042208,-0.0442620292305946,0.0665391758084297,-0.0546701103448867,-0.0596595481038093,-0.0737962052226066,-0.0513858757913112,-0.062031727284193,-0.0256291888654232,-0.0217336807399988,-0.0914046838879585,-0.0624367222189903,-0.0511620491743087,0.0254701524972915,-0.0236257705837488,-0.0029813598375767,-0.0536163635551929,-0.066572219133377,-0.0007922149961814,-0.0509321093559265,0.0661703869700431,0.1152154430747032,0.0744945704936981,0.0303781647235155,0.0988673046231269,0.0850051417946815,0.0134074883535504,0.0058874399401247,0.1262675374746322,0.1400583386421203,0.1469797492027282,0.126468613743782,0.1326781958341598,-0.0514789931476116,0.0267946720123291,0.0090363305062055,0.0576323755085468,0.045558925718069,-0.0020237588323652,0.0492639243602752,-0.0497488938271999,-0.0019898572936654,-0.0463364720344543,-0.0036257156170904,-0.0183897297829389,-0.0731170997023582,-0.0684238299727439,-0.0381474271416664,-0.0104302866384387,-0.0798181742429733,-0.0648494213819503,-0.0802954137325286,-0.0222999528050422,-0.0456982739269733,-0.0885136574506759,0.0417853184044361,-0.0604175068438053,-0.0880340635776519,-0.0410312563180923,-0.059857603162527,-0.0411905273795127,-0.0275346059352159,-0.0904778242111206,-0.0776433870196342,-0.0480031780898571,-0.0118120172992348,-0.0496701374650001
microgradient2,0.0024130404926836,-0.0136845046654343,-0.0004236082895658,-0.0179913248866796,-0.0202123783528804,-0.0098235439509153,-0.0078463498502969,-0.0092544630169868,-0.0111430343240499,0.0049413354136049,0.009355979040265,0.0155772194266319,-0.0082652084529399,-0.0126622291281819,-0.0064594885334372,-0.012491026893258,0.0053687747567892,0.0074659832753241,0.0007672273786738,0.0094714500010013,0.0045892805792391,0.006149033550173,0.0025845835916697,0.0074966866523027,0.0170612409710884,0.0097937490791082,-0.0033128296490758,-0.0031684446148574,0.0062976642511785,0.0192478597164154,0.0003813014191109,0.0055119576863944,-0.0104592163115739,0.0066969352774322,-5.9632089687511325e-05,0.011325791478157,-0.0108953397721052,0.0068643079139292,-0.0015813235659152,0.0036831742618232,-0.0025609259027987,0.0082504181191325,0.0058642583899199,-0.0117621468380093,-0.0047201714478433,0.0109381200745701,0.0125784911215305,0.0069694397971034,0.0125200916081666,0.0008724559447728,0.0019146890845149,-0.0031134274322539,-0.0089333867654204,-0.0189580302685499,-0.0169716402888298,-0.0047672935761511,-0.0020528642926365,-0.013231455348432,0.0066299601458013,0.0113019356504082,0.0148225482553243,-0.0111882928758859,-0.0119830593466758,-0.0122949769720435,-0.0098997289314866,-0.0098659647628664,-8.277171582449228e-05,-0.0030482101719826,0.0022854483686387,0.0096597727388143,0.0116091761738061,0.0012280922383069,0.0013575489865615,0.0026282621547579,0.0088635776191949,0.0066921645775437,0.0017623766325414,0.0088087804615497,-0.0084557281807065,0.0026097591035068,0.0079552344977855,0.0126596484333276,-0.0186467785388231,-0.0130100212991237,-0.0181604865938425,0.0038600419647991,-0.0076725706458091,-0.009746671654284,0.0065970155410468,0.0009850561618804,-0.0027995333075523,0.0140371695160865,0.0022662633564323,0.0007979681249707,0.0086719505488872,-0.0171919967979192,-0.0040824892930686,0.0004419301403686,0.0110656395554542,-0.0001635994849493
