group,target,tracer,metric,sample_size,n_female,age_mean,age_sd,age_min,age_max,publication,doi,license
General & Metabolic,CMRglu,[18F]FDG,CMRglu,20,10.0,34.45,9.96,22.0,52.0,Castrillon2023,10.1126/sciadv.adi7632,CC BY-NC-SA 4.0
General & Metabolic,SV2A,[11C]UCB-J,BPnd,76,,48.9,18.4,,,Finnema2016,10.1177/0271678X17724947; 10.2967/jnumed.120.246967; 10.1177/0271678X211004312; 10.1186/s13195-020-00742-y; 10.1177/0271678X20946198; 10.1093/cid/ciab484; 10.1038/s41380-021-01184-0; 10.1016/j.bpsc.2015.09.008; 10.1111/epi.16653; 10.1186/s13550-020-00670-w; 10.1002/alz.12097; 10.1111/epi.14701; 10.1038/s41467-019-09562-7; 10.1001/jamaneurol.2018.1836  ,CC BY-NC-SA 4.0
General & Metabolic,HDAC,[11C]Martinostat,SUVR,8,4.0,28.6,7.6,18.0,44.0,Wey2016,10.1126/scitranslmed.aaf7551,CC0 1.0
General & Metabolic,VMAT2,[11C]DTBZ,BPnd,76,37.0,23.4,3.63,18.11,30.97,Larsen2020,10.18112/openneuro.ds002385.v1.1.0; 10.1038/s41467-020-14693-3,CC0 1.0
Glutamate & GABA,mGluR5,[11C]ABP688,BPnd,73,48.0,19.9,3.04,,,Smart2019,10.1007/s00259-018-4252-4,CC BY-NC-SA 4.0
Glutamate & GABA,NMDA,[18F]GE-179,Vt,29,8.0,40.9,12.7,,,Galovic2021,10.1001/jamaneurol.2022.4352; 10.1016/j.neuroimage.2021.118194; 10.2967/jnumed.113.130641,CC BY-NC-SA 4.0
Glutamate & GABA,GABAa,[11C]Flumazenil,Bmax,16,9.0,26.6,8.0,19.0,46.0,Norgaard2021,10.1016/j.neuroimage.2021.117878,CC BY-NC-SA 4.0
Glutamate & GABA,GABAa5,[11C]Ro15-4513,BPnd,10,4.0,25.4,3.2,22.0,30.0,Lukow2022,10.1038/s42003-022-03268-1,CC BY 4.0
Noradrenaline & Acetylcholine,NET,[11C]MRB,BPnd,10,4.0,33.3,10.0,21.0,40.0,Hesse2017,10.1007/s00259-016-3590-3,CC BY-NC-SA 4.0
Noradrenaline & Acetylcholine,A4B2,[18F]Flubatine,Vt,30,10.0,33.5,10.71,,,Hillmer2016,10.1016/j.neuroimage.2016.07.026; 10.1093/ntr/ntx091,CC BY-NC-SA 4.0
Noradrenaline & Acetylcholine,M1,[11C]LSN3172176,BPnd,24,11.0,40.45,11.71,,,Naganawa2020,10.2967/jnumed.120.246967,CC BY-NC-SA 4.0
Noradrenaline & Acetylcholine,VAChT,[18F]FEOBV,SUVR,18,13.0,66.8,6.8,,,Aghourian2017,10.1038/mp.2017.183,CC BY-NC-SA 4.0
Dopamine,FDOPA,[18F]DOPA,,12,,,,,,Garciagomez2018,10.33588/imagendiagnostica.901.2,free
Dopamine,D1,[11C]SCH23390,BPnd,13,6.0,33.0,13.0,,,Kaller2017,10.1007/s00259-017-3645-0,CC BY-NC-SA 4.0
Dopamine,D23,[11C]FLB-457,BPnd,55,29.0,32.45,9.69,,,Sandiego2015,10.1038/jcbfm.2014.237; 10.1177/0271678X17737693; 10.1038/s41386-019-0456-y; 10.1001/jamapsychiatry.2014.2414; 10.1038/npp.2017.223  ,CC BY-NC-SA 4.0
Dopamine,DAT,[123I]-FP-CIT,SUVR,174,65.0,61.0,11.0,,,Dukart2018,10.1038/s41598-018-22444-0,CC BY-NC-SA 4.0
Serotonin,5HT1a,[11C]CUMI-101,Bmax,8,5.0,28.4,8.8,,,Beliveau2017,10.1523/JNEUROSCI.2830-16.2016,CC BY-NC-SA 4.0
Serotonin,5HT1b,[11C]AZ10419369,Bmax,36,12.0,27.8,6.9,,,Beliveau2017,10.1523/JNEUROSCI.2830-16.2016,CC BY-NC-SA 4.0
Serotonin,5HT2a,[11C]Cimbi-36,Bmax,29,14.0,22.6,2.7,,,Beliveau2017,10.1523/JNEUROSCI.2830-16.2016,CC BY-NC-SA 4.0
Serotonin,5HT4,[11C]SB207145,Bmax,59,18.0,25.9,5.3,,,Beliveau2017,10.1523/JNEUROSCI.2830-16.2016,CC BY-NC-SA 4.0
Serotonin,5HT6,[11C]GSK215083,BPnd,30,0.0,36.6,9.04,,,Radhakrishnan2018,10.2967/jnumed.117.206516; 10.1016/j.pscychresns.2019.111007,CC BY-NC-SA 4.0
Serotonin,5HTT,[11C]DASB,Bmax,100,71.0,25.1,5.8,,,Beliveau2017,10.1523/JNEUROSCI.2830-16.2016,CC BY-NC-SA 4.0
Opioids & Endocannabinoids,MOR,[11C]Carfentanil,BPnd,204,72.0,32.3,10.8,20.0,59.0,Kantonen2020,10.1038/mp.2017.183,CC BY-NC-SA 4.0
Opioids & Endocannabinoids,KOR,[11C]LY2795050,Vt,28,9.0,33.5,11.3,,,Vijay2018,10.1038/s41386-018-0199-1,CC BY-NC-SA 4.0
Opioids & Endocannabinoids,CB1,[11C]OMAR,Vt,77,28.0,30.01,8.87,,,Normandin2015,10.1038/jcbfm.2015.46; 10.1016/j.bpsc.2015.09.008; 10.1016/j.biopsych.2015.08.021; 10.1111/j.1530-0277.2012.01815.x,CC BY-NC-SA 4.0
