,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2,hemi-L_lab-Thalamus,hemi-L_lab-Caudate,hemi-L_lab-Putamen,hemi-L_lab-Pallidum,hemi-L_lab-Hippocampus,hemi-L_lab-Amygdala,hemi-L_lab-Accumbens+area,hemi-L_lab-VentralDC,hemi-R_lab-Thalamus,hemi-R_lab-Caudate,hemi-R_lab-Putamen,hemi-R_lab-Pallidum,hemi-R_lab-Hippocampus,hemi-R_lab-Amygdala,hemi-R_lab-Accumbens+area,hemi-R_lab-VentralDC
5HT1a,0.3059826791286468,0.1480377167463302,0.1744451522827148,0.1212816834449768,0.0642165094614029,0.1215507090091705,0.2181905210018158,0.1542765945196151,0.1315493434667587,0.2095917910337448,0.219295933842659,0.2499325722455978,0.1723894476890564,0.1277587860822677,0.1479727625846862,0.2362672388553619,0.2201583832502365,0.1576760113239288,0.1786629855632782,0.1702798753976822,0.1691296398639679,0.2099282890558242,0.175186425447464,0.2260531485080719,0.3287502825260162,0.2803889811038971,0.2172439396381378,0.2175181210041046,0.208450898528099,0.1832376569509506,0.2521632015705108,0.3560983836650848,0.2839281558990478,0.1842667609453201,0.199467733502388,0.1476369500160217,0.1271257549524307,0.2998123168945312,0.2592993378639221,0.2451515942811966,0.2121054530143737,0.2549802362918854,0.2136528193950653,0.2449478060007095,0.2275242209434509,0.2036762088537216,0.1863740235567093,0.1883682459592819,0.1533812433481216,0.1852137148380279,0.2942000031471252,0.1888734996318817,0.2280534356832504,0.1085867509245872,0.086208663880825,0.1594389230012893,0.1748421341180801,0.129967451095581,0.2101375162601471,0.2436499297618866,0.2460358887910843,0.1736993789672851,0.1407012343406677,0.132328912615776,0.1591939777135849,0.1433960646390915,0.2296250313520431,0.2034455090761184,0.1837846934795379,0.1593439579010009,0.1717918515205383,0.2049003094434738,0.1733354479074478,0.2400450408458709,0.234285369515419,0.2955653965473175,0.2060910165309906,0.2042552083730697,0.2464949041604995,0.3368078172206878,0.2157798856496811,0.1916843056678772,0.2209083586931228,0.1988886594772339,0.211368441581726,0.1825046241283416,0.1323586851358413,0.2003562897443771,0.1665984690189361,0.2276795953512191,0.2828713655471802,0.2895260751247406,0.2540673315525055,0.2378174364566803,0.2120694369077682,0.2434874475002288,0.2016807794570922,0.1872665882110595,0.157120794057846,0.186771273612976,0.0475581362843513,,0.0776123031973838,0.0264208726584911,0.3440326154232025,0.1962101012468338,0.0885308533906936,,0.0474514253437519,,0.0908633023500442,0.0302612092345953,0.3652082085609436,0.1875314563512802,0.0845330134034156,
5HT1b,0.2080685347318649,0.3593966960906982,0.3431885242462158,0.406541645526886,0.5717564225196838,0.4724623262882232,0.392411321401596,0.3881999850273132,0.3733707666397095,0.3572201132774353,0.3553149998188019,0.4018381237983703,0.3936845660209656,0.353419691324234,0.3568624556064605,0.3421334326267242,0.3695737719535827,0.3606404066085815,0.3432577252388,0.3410624265670776,0.3326318562030792,0.4494504332542419,0.4305413365364074,0.3754626512527466,0.3025878965854645,0.440166175365448,0.4354471564292907,0.4006446003913879,0.356705904006958,0.4344872236251831,0.3745684027671814,0.2437625527381897,0.3424182832241058,0.387762188911438,0.4431158900260925,0.3666986525058746,0.2857547104358673,0.3301950395107269,0.3677229583263397,0.3792303502559662,0.3928577303886413,0.4274040758609772,0.4447270035743713,0.3683438897132873,0.4194284081459045,0.4215362668037414,0.444090336561203,0.4445241093635559,0.3053328394889831,0.3667544424533844,0.2218025475740432,0.3548232913017273,0.3720046579837799,0.4435456693172455,0.6100385189056396,0.3647410869598388,0.4231074750423431,0.3784585297107696,0.3445769548416137,0.3348950147628784,0.4046880602836609,0.3822799623012543,0.371663361787796,0.3524189889431,0.3397411704063415,0.3564728796482086,0.4055458009243011,0.3625023663043976,0.3860167562961578,0.3818430602550506,0.3426858186721802,0.4315105676651001,0.4193236529827118,0.3883017301559448,0.3755933344364166,0.3681372404098511,0.3638443350791931,0.4234345555305481,0.3616264164447784,0.2541482150554657,0.4034272730350494,0.4102478623390198,0.4282691478729248,0.4365574717521667,0.4227044582366943,0.4233797490596771,0.2995773553848266,0.3788040578365326,0.3762012124061584,0.4033034145832062,0.3501203656196594,0.2820388674736023,0.3543460667133331,0.4123284220695495,0.4456429481506347,0.3598349988460541,0.4138835370540619,0.4237267673015594,0.318889319896698,0.3679001927375793,0.1387304812669754,0.1882202178239822,0.3406001329421997,0.5754188299179077,0.10137190669775,0.1899735778570175,0.2866463363170624,,0.1354689300060272,0.1656131297349929,0.3224027156829834,0.5661165714263916,0.0859435424208641,0.1728124618530273,0.3103826940059662,
5HT2a,0.3146087825298309,0.3799410164356231,0.38217893242836,0.3991002142429352,0.41054767370224,0.4045839607715606,0.4439041018486023,0.4138819277286529,0.3903763592243194,0.4366075694561004,0.3844786882400512,0.4345614016056061,0.3445678055286407,0.297804981470108,0.2910411655902862,0.4284384846687317,0.418922483921051,0.3666703402996063,0.3452903628349304,0.3793778419494629,0.3386553823947906,0.444181740283966,0.4027779996395111,0.4537888467311859,0.3415334820747375,0.4523650705814361,0.4540261626243591,0.4020757377147674,0.3948333859443664,0.412246972322464,0.418430745601654,0.334479421377182,0.4718137979507446,0.4474501013755798,0.4369786381721496,0.3936280608177185,0.358378916978836,0.4557185173034668,0.470830887556076,0.4669836163520813,0.4456419348716736,0.4053623676300049,0.453748345375061,0.4254693388938904,0.4491548538208008,0.4476724863052368,0.4341533482074737,0.4446131885051727,0.3645528256893158,0.4559192657470703,0.3241885006427765,0.398066908121109,0.4255177676677704,0.3929075300693512,0.4390623569488525,0.3617916107177734,0.4346758425235748,0.3712185323238373,0.4204849898815155,0.3728417456150055,0.4156774282455444,0.3273832499980926,0.3027709722518921,0.2887614071369171,0.3071809411048889,0.2814994156360626,0.4397320747375488,0.3645974397659302,0.4126890301704407,0.3746398985385895,0.3577500283718109,0.4368013143539428,0.3949568569660187,0.442237913608551,0.4238950312137604,0.3943139612674713,0.3931678235530853,0.4081986248493194,0.4154033362865448,0.3486218154430389,0.4453018605709076,0.455695778131485,0.4569243490695953,0.4339603781700134,0.445787638425827,0.4169875681400299,0.3747723698616028,0.3683477342128753,0.4105174541473388,0.4453293085098266,0.4672178328037262,0.3879475593566894,0.4581978917121887,0.4093481302261352,0.4362120330333709,0.3960158824920654,0.4371110498905182,0.4264239370822906,0.3482473492622375,0.4664062559604645,0.099354900419712,0.0501177236437797,0.1231428012251854,0.0731305852532386,0.1347410976886749,0.1402376294136047,0.1763174384832382,,0.0981992036104202,0.0463426411151886,0.1071182489395141,0.0681627243757247,0.1208850070834159,0.1186719164252281,0.134819895029068,
5HT4,0.175584465265274,0.1615758389234542,0.1642626374959945,0.1438531875610351,0.1143853962421417,0.143720805644989,0.21126289665699,0.1835448443889618,0.1616906821727752,0.1988851577043533,0.1790917217731475,0.2174437046051025,0.14717897772789,0.1254055798053741,0.1275116205215454,0.2118605971336364,0.2100725769996643,0.179756298661232,0.1773353219032287,0.1875350326299667,0.1658999472856521,0.1902418881654739,0.1623435914516449,0.2303007841110229,0.1970094591379165,0.210628941655159,0.202983871102333,0.1849869340658188,0.1902763843536377,0.1661206185817718,0.1982783675193786,0.2066836357116699,0.2369494140148162,0.2056694328784942,0.1939294338226318,0.1868533194065094,0.153242290019989,0.2414775192737579,0.234136626124382,0.2341846376657486,0.2284678816795349,0.1892713755369186,0.1972608864307403,0.199468195438385,0.2038821429014206,0.1884349584579467,0.1804356724023819,0.1848846971988678,0.1730896085500717,0.2111600637435913,0.1797968745231628,0.1787717342376709,0.2047645002603531,0.1357627213001251,0.1346582472324371,0.1555525958538055,0.2026883959770202,0.1597249954938888,0.1914690732955932,0.1815155297517776,0.2077294141054153,0.1404730230569839,0.1204914227128028,0.1234004274010658,0.1505182534456253,0.1213212013244628,0.2244649678468704,0.1834229975938797,0.1914828270673751,0.1827512681484222,0.1740240901708603,0.17795330286026,0.1574173718690872,0.232616901397705,0.2211842238903045,0.1954737156629562,0.1877510845661163,0.1754376590251922,0.1925025135278701,0.2035795599222183,0.2257455587387085,0.2164431810379028,0.1993550807237625,0.1895753741264343,0.1909080445766449,0.1687369495630264,0.1600098758935928,0.1728908270597458,0.1950383335351944,0.2290042787790298,0.2391469180583953,0.2155046015977859,0.2292992174625396,0.1791974902153015,0.1872903257608413,0.1916659474372863,0.1834200918674469,0.1730144470930099,0.1743022352457046,0.211343839764595,0.1215075403451919,0.5405166149139404,0.6106365919113159,0.5642977356910706,0.1625316888093948,0.1530400961637497,0.2517988979816437,,0.1260317265987396,0.4775612652301788,0.6019773483276367,0.4963087439537048,0.1550581753253936,0.1414894759654998,0.2763728499412536,
5HT6,0.3826679289340973,0.4468299746513366,0.4168530702590942,0.45719113945961,0.4733808934688568,0.4564047157764435,0.4954342246055603,0.4559834003448486,0.4935657978057861,0.4693596959114074,0.4220145642757416,0.4793079495429992,0.4196760654449463,0.400696724653244,0.3801069259643554,0.4837552905082702,0.4565572738647461,0.4573286175727844,0.4222804605960846,0.4728182256221771,0.4240501523017883,0.4410568475723266,0.4133733212947845,0.4861697852611542,0.496034562587738,0.5202959775924683,0.4813783764839172,0.4459712207317352,0.4515784680843353,0.4271461963653564,0.4183355271816253,0.4087503254413605,0.4884303212165832,0.4573622643947601,0.467805802822113,0.5137420892715454,0.4552207291126251,0.5106452107429504,0.505719780921936,0.5092706084251404,0.5056468844413757,0.4771251678466797,0.4887169003486633,0.4917931854724884,0.4658129215240478,0.4754572510719299,0.480468213558197,0.4479162693023681,0.4197713434696197,0.5105112791061401,0.4313828945159912,0.4449837803840637,0.4864597022533417,0.4516369700431824,0.4748131930828094,0.4226814210414886,0.4715961813926697,0.4601179957389831,0.463949590921402,0.4670620858669281,0.4825628399848938,0.4308578968048095,0.4053887128829956,0.3795539736747741,0.3971607089042663,0.3741450607776642,0.5092403292655945,0.4325499534606933,0.4518914222717285,0.4629590213298797,0.4298889338970184,0.4686168432235718,0.4304620325565338,0.5000990033149719,0.4839181303977966,0.499274343252182,0.3998877108097076,0.4190884232521057,0.4045277535915375,0.4313423633575439,0.4823182821273803,0.490189254283905,0.4738922715187073,0.4869741201400757,0.4974968433380127,0.4779483079910278,0.4280177652835846,0.4435568153858185,0.4881364703178406,0.5102577209472656,0.5030503869056702,0.4639604091644287,0.4814242720603943,0.4582973122596741,0.4853933155536651,0.4703105688095093,0.4678806364536285,0.4817422032356262,0.4226875305175781,0.4816254079341888,0.2466066479682922,0.6685454249382019,0.7822592854499817,0.5640743374824524,0.3173281550407409,0.3482219576835632,0.5028418302536011,,0.3123540878295898,0.701062798500061,0.7788066267967224,0.5761549472808838,0.337311178445816,0.3439293205738067,0.558468222618103,
5HTT,0.1299719810485839,0.0955100879073143,0.1156197860836982,0.0909869670867919,0.1118216514587402,0.1415197253227234,0.1020924970507621,0.0942063406109809,0.1173465102910995,0.1330280154943466,0.2065971344709396,0.1247702613472938,0.097600370645523,0.0943284407258033,0.1033179312944412,0.088679239153862,0.0920574963092804,0.0704546645283699,0.0892458781599998,0.0706454068422317,0.0779671147465705,0.0914700254797935,0.0758789926767349,0.0889404416084289,0.1933439224958419,0.1493494212627411,0.0908609256148338,0.1345042586326599,0.1192515939474105,0.0866193696856498,0.1341767162084579,0.1595156341791153,0.0791469439864158,0.0729541406035423,0.0957780182361602,0.0860507488250732,0.1120688542723655,0.0980700179934501,0.0988240391016006,0.1022364944219589,0.077150672674179,0.1498854905366897,0.0977373197674751,0.1224170848727226,0.0946597903966903,0.0752463415265083,0.0755465775728225,0.0732273459434509,0.1131762415170669,0.1062576472759246,0.125293880701065,0.1012421250343322,0.0853382796049118,0.0892991349101066,0.1286575943231582,0.1394794136285781,0.0878853127360344,0.1026886850595474,0.1377149671316146,0.1900382041931152,0.1092973798513412,0.0869012773036956,0.0816307514905929,0.0879072695970535,0.0829102173447609,0.1017262712121009,0.0874440371990203,0.0826767235994339,0.0682546943426132,0.0670439004898071,0.0691913813352584,0.0834289416670799,0.0730960890650749,0.0948192477226257,0.0885128006339073,0.1600422710180282,0.1233847737312316,0.108520470559597,0.1222021728754043,0.1379525959491729,0.0661902278661727,0.0653331503272056,0.0888535380363464,0.0870168730616569,0.0818379148840904,0.0701282247900962,0.1150975823402404,0.1178726777434349,0.0844064131379127,0.0752466768026351,0.0775070413947105,0.1324422657489776,0.1009136363863945,0.1371460109949112,0.0955502465367317,0.1105644777417182,0.0717200189828872,0.066705897450447,0.1138982251286506,0.1088444292545318,0.33062344789505,0.2237531393766403,0.3307890892028808,0.3479526937007904,0.1127338036894798,0.2465111464262008,0.2386220693588256,,0.3450305163860321,0.1879779398441314,0.3314674496650696,0.3088099360466003,0.1014512181282043,0.2227298617362976,0.2690987586975097,
A4B2,0.286362886428833,0.3003790378570556,0.2905701696872711,0.2772825956344604,0.2589233815670013,0.2860791683197021,0.311697781085968,0.3011455833911896,0.2821263670921325,0.2984563112258911,0.3132962584495544,0.3141500055789947,0.3437422811985016,0.2898712456226349,0.2805154919624328,0.2934796810150146,0.3159597218036651,0.2911718189716339,0.3044188618659973,0.2879986464977264,0.2583420276641845,0.3538496792316437,0.3248371183872223,0.318717360496521,0.272803395986557,0.3228727281093597,0.3465696573257446,0.3382145166397095,0.3257029056549072,0.2957817316055298,0.2877152860164642,0.2446951419115066,0.2840317189693451,0.3096028864383697,0.3550651371479034,0.3075396120548248,0.3442639708518982,0.2779653668403625,0.3112140297889709,0.3177114129066467,0.3151787221431732,0.3010744750499725,0.3285223245620727,0.3161703646183014,0.321254014968872,0.3024090826511383,0.3319869339466095,0.3273758590221405,0.2918765544891357,0.3317486345767975,0.2970835566520691,0.3118727803230285,0.3028950095176697,0.2692888677120209,0.2883541584014892,0.2904881238937378,0.3187935054302215,0.2747631072998047,0.304120123386383,0.3284161388874054,0.3169441819190979,0.3351487219333648,0.3366802632808685,0.2758923172950744,0.2841328978538513,0.2830674052238464,0.3252257704734802,0.3304194509983063,0.3119099736213684,0.3063907623291015,0.271806001663208,0.3583857417106628,0.3196283280849457,0.3312238752841949,0.3212162554264068,0.3238116204738617,0.3302967846393585,0.317403107881546,0.2925264239311218,0.2527293860912323,0.3111695349216461,0.3094473779201507,0.3377028107643127,0.355888307094574,0.3456366062164306,0.3289816379547119,0.3469774425029754,0.3365694582462311,0.316940039396286,0.3423702418804168,0.3013628721237182,0.275578498840332,0.3296561241149902,0.3150868415832519,0.3284957706928253,0.3233603239059448,0.2962238192558288,0.3354935050010681,0.2978197634220123,0.334497332572937,0.7241489291191101,0.3595191836357116,0.3482789397239685,0.322387546300888,0.2973421812057495,0.2841047942638397,0.357909232378006,0.5015095472335815,0.7531700730323792,0.3410785794258117,0.3590754568576813,0.3311819732189178,0.3124808967113495,0.2795760929584503,0.3555513918399811,0.4951587915420532
CB1,0.6271955370903015,0.6047315001487732,0.5696849226951599,0.6018050909042358,0.5445970296859741,0.5376157164573669,0.6040478348731995,0.5853142142295837,0.5749829411506653,0.6366819739341736,0.5439935326576233,0.6494436860084534,0.5679439306259155,0.5893713235855103,0.5989968180656433,0.6538501381874084,0.6473190188407898,0.616292417049408,0.5970810651779175,0.6580527424812317,0.6241946220397949,0.5785797834396362,0.5829154849052429,0.665736973285675,0.7140951156616211,0.6582374572753906,0.6562662124633789,0.6667614579200745,0.6466745138168335,0.6377654671669006,0.6877890825271606,0.6630850434303284,0.660844624042511,0.6196044087409973,0.6268980503082275,0.6272569298744202,0.6299325823783875,0.7065386176109314,0.6449552178382874,0.6243975162506104,0.6536248326301575,0.6809107065200806,0.6833640933036804,0.7164764404296875,0.6884377598762512,0.6556333899497986,0.6135255098342896,0.6048959493637085,0.5707073211669922,0.6541046500205994,0.6494426131248474,0.6044083833694458,0.6489872336387634,0.5730016827583313,0.5194081664085388,0.5533077716827393,0.6133993864059448,0.5627608895301819,0.6464553475379944,0.6199734807014465,0.7026459574699402,0.5965723395347595,0.5734676122665405,0.579522967338562,0.5884167551994324,0.5751147270202637,0.6769367456436157,0.6078245639801025,0.6176885962486267,0.6139057874679565,0.6278936862945557,0.6270908713340759,0.6019731760025024,0.6634782552719116,0.6713173389434814,0.7189391255378723,0.6047340035438538,0.6254693269729614,0.6817560195922852,0.6431151032447815,0.6943121552467346,0.6812686324119568,0.7159144282341003,0.6896936297416687,0.7134894728660583,0.6582269072532654,0.5935268998146057,0.6609125137329102,0.6185269355773926,0.6949334144592285,0.682482898235321,0.6966878771781921,0.6472469568252563,0.6682639718055725,0.6726781725883484,0.7208200097084045,0.6724717020988464,0.6471141576766968,0.5602974891662598,0.6144904494285583,0.4362172186374664,0.5517864227294922,0.7387070655822754,0.6826652884483337,0.6278568506240845,0.6919312477111816,0.6818441152572632,,0.4651807844638824,0.559490442276001,0.7627038359642029,0.6924043297767639,0.634953498840332,0.6823111772537231,0.712962806224823,
CMRglu,0.566325843334198,0.6657376289367676,0.6958224773406982,0.6089032292366028,0.7150588035583496,0.7609527707099915,0.677018404006958,0.6344353556632996,0.7338182926177979,0.6957618594169617,0.7144007086753845,0.6842441558837891,0.6533138751983643,0.6348303556442261,0.6049489378929138,0.6446700096130371,0.6187544465065002,0.6471274495124817,0.6623532772064209,0.658966064453125,0.565417468547821,0.716132640838623,0.6835824847221375,0.6665378212928772,0.6075651049613953,0.7384470701217651,0.7030032873153687,0.6979789733886719,0.6954166889190674,0.6298006772994995,0.6584315299987793,0.48524871468544,0.6202735900878906,0.7184420228004456,0.7207799553871155,0.7948793768882751,0.8312965035438538,0.6071586012840271,0.687153160572052,0.692764163017273,0.6952322721481323,0.7003538012504578,0.6817603707313538,0.6997754573822021,0.6431783437728882,0.5827475190162659,0.6777377724647522,0.7057668566703796,0.7283047437667847,0.8761483430862427,0.5683409571647644,0.6553024053573608,0.6203418374061584,0.5986566543579102,0.7655870318412781,0.7052972912788391,0.6362202763557434,0.6587374210357666,0.6624521613121033,0.730224609375,0.6700851321220398,0.6154082417488098,0.6693618893623352,0.5878756046295166,0.5878605842590332,0.6033222079277039,0.6588228344917297,0.6397672891616821,0.6737398505210876,0.6449910998344421,0.5665087103843689,0.6997824311256409,0.6601476073265076,0.6816573739051819,0.6418666243553162,0.6800232529640198,0.7127696871757507,0.6627482175827026,0.6337529420852661,0.4973108172416687,0.6290573477745056,0.6847336888313293,0.6687642335891724,0.6877239346504211,0.6841602325439453,0.6523531079292297,0.8195356726646423,0.68461674451828,0.782149076461792,0.7091138958930969,0.604115903377533,0.5322588086128235,0.6970576643943787,0.6662313938140869,0.6507309675216675,0.6841790080070496,0.5764780044555664,0.6940504908561707,0.7522748112678528,0.8716554641723633,0.6760520339012146,0.7025251984596252,0.8198027014732361,0.6605120301246643,0.4985847771167755,0.4670039117336273,0.6692844033241272,0.5166271328926086,0.6941013336181641,0.7017556428909302,0.8090964555740356,0.6710848212242126,0.499139130115509,0.4569025039672851,0.6837289929389954,0.5169769525527954
D1,0.1670049875974655,0.1442355066537857,0.1790478378534317,0.0825262814760208,0.1397365182638168,0.1862442642450332,0.1283375322818756,0.0983214005827903,0.1367372721433639,0.1410304456949234,0.1809898316860199,0.1424003690481186,0.0824228376150131,0.0721408724784851,0.0920990705490112,0.1518672406673431,0.1014220267534256,0.1045693680644035,0.1176496669650077,0.1374650001525879,0.0868606939911842,0.1248020157217979,0.1101799309253692,0.1191499829292297,0.1956797987222671,0.2017974704504013,0.1433928161859512,0.1820711493492126,0.1745446920394897,0.1126368567347526,0.1953466087579727,0.1435220837593078,0.1449078321456909,0.1293064206838607,0.1366459280252456,0.1529914438724517,0.2109885364770889,0.1591193228960037,0.1491721719503402,0.1321700066328048,0.1151502504944801,0.1867744773626327,0.1364555358886718,0.211816132068634,0.1661036908626556,0.1166457459330558,0.0951118767261505,0.1234688833355903,0.1913058161735534,0.2192348092794418,0.1722611188888549,0.1601015776395797,0.1522123366594314,0.0884487777948379,0.1694316416978836,0.1674462109804153,0.1132958158850669,0.0995479449629783,0.1657860577106475,0.2157788872718811,0.1649580299854278,0.1055059060454368,0.1065606102347374,0.0820082947611808,0.0918435305356979,0.0927591100335121,0.1564875394105911,0.1489663273096084,0.1415136307477951,0.1033066883683204,0.0944618433713913,0.1550350040197372,0.1219235882163047,0.1751177757978439,0.1610787063837051,0.2247478067874908,0.1926294118165969,0.1410473883152008,0.190615564584732,0.1566624194383621,0.1287648528814315,0.121068924665451,0.176611840724945,0.1525152325630188,0.1569008231163025,0.1185078397393226,0.2157115489244461,0.1737850904464721,0.1601967364549636,0.1602703481912613,0.1697443723678589,0.1680614352226257,0.1956257671117782,0.1798457950353622,0.1498102694749832,0.2140757888555526,0.122750423848629,0.1406412869691848,0.1908696889877319,0.2145920246839523,0.1326452791690826,0.6289789080619812,0.6812146902084351,0.3378982543945312,0.1216398030519485,0.1808182150125503,0.4963401854038238,0.102063313126564,0.1430400162935257,0.6107174754142761,0.6996757388114929,0.3627903163433075,0.1226836368441581,0.1789724677801132,0.4662961959838867,0.1049029231071472
