,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2
5HT1a,1.9207224677772405,-1.0195213993638306,-0.5279305362451031,-1.5176016270377102,-2.5799053897015995,-1.5125935485697815,0.286416753799027,-0.9033808030823162,-1.3264627394557296,0.12634603883297973,0.30699470245231114,0.8773148115293998,-0.5661987578647787,-1.39702632650967,-1.0207305615462674,0.6229261176005476,0.32304973544039167,-0.8400985415908363,-0.4494129422126864,-0.6054697602345143,-0.6268821112380549,0.13261015913666588,-0.5141312745044571,0.4327844628806588,2.3445555881814046,1.444279835358367,0.2687955520378248,0.27389960896758536,0.10510761411720759,-0.3642525845228268,0.9188393659913835,2.853657527485186,1.5101637789120308,-0.34509517258352657,-0.06211959893203929,-1.0269819217076295,-1.4088105953406527,1.8058573309393688,1.051682988575541,0.7883139283942937,0.17313942249734673,0.9712802222118941,0.20194461161148947,0.7845202826023691,0.4601693926752139,0.016223791418208,-0.30586716634553573,-0.2687434740134788,-0.9200483229019675,-0.3274670359623665,1.7013806143199501,-0.25933786214840265,0.4700210547328469,-1.7539257042595888,-2.1705077350907125,-0.8072808425044681,-0.5205404720784857,-1.3559106513908634,0.13650505388399178,0.7603595078999121,0.8047756215703651,-0.5418135710940519,-1.1560945896338903,-1.3119505741113087,-0.8118406516246521,-1.1059286448743024,0.4992772871387153,0.011929171342851333,-0.3540691587647599,-0.809048677005195,-0.5773233828164704,0.03901118645440211,-0.5485883744851136,0.6932522550494933,0.5860323852247282,1.7267982630413623,0.0611769406438797,0.027002228160749705,0.8133204786173387,2.49455161599354,0.2415412750048956,-0.20701295678640608,0.33701099550967595,-0.0728994226465733,0.15941949555463164,-0.37789844716118176,-1.3113963401033928,-0.04557857095803856,-0.6740014333204936,0.46306178406687665,1.4904909681805851,1.6143725325426381,0.9542859317909783,0.651784011650377,0.17246896023651948,0.7573347993802307,-0.02092236986011739,-0.28925151927837817,-0.850434256873602,-0.29847210907974997
5HT1b,-2.9846825338657395,-0.3631130422201125,-0.6438991724506199,0.4536137323424681,3.3157513215670176,1.5956063661037911,0.2088236925951037,0.1358676026066823,-0.12102989856435789,-0.40081959365147374,-0.4338232809786068,0.3721311519949123,0.23088104939881374,-0.4666571096724879,-0.40701556160787555,-0.6621773037363853,-0.18680804150688068,-0.3415673264667153,-0.6427003525527154,-0.6807311326214096,-0.8267801288226032,1.1969543493132855,0.8693781029297319,-0.08479063660321405,-1.3472538280636106,1.0361162936911184,0.9543652437712496,0.3514548646256981,-0.40972762057587503,0.9377356189170158,-0.10028236350095285,-2.3663287007167013,-0.6572426264822165,0.12828333718884072,1.0872163790550644,-0.23661585891025186,-1.6388675426605583,-0.8689949039182687,-0.21887105275563906,-0.01952000440989162,0.21655716514063555,0.8150290194531593,1.1151268888228363,-0.2081141997957524,0.6768606377746287,0.7133766299103106,1.1040974359895241,1.111612002576093,-1.2997011550676698,-0.23564936844992407,-2.746758087142643,-0.44234151073551514,-0.1446960076513888,1.0946617630979998,3.978940347723787,-0.2705282124821366,0.7405958305293764,-0.03289082168635861,-0.6198463639219314,-0.7875737617997616,0.42150270634327586,0.03331067712019624,-0.15060853369394375,-0.48399301601696143,-0.7036202288116499,-0.4137644736257124,0.4363619808831609,-0.30931122364094527,0.09804591903180887,0.025741900331524646,-0.6526079123463426,0.8861688095273554,0.6750458867233216,0.13763020860644595,-0.08252671530592069,-0.21169413828501762,-0.2860633075415558,0.746262087368099,-0.32448594992830004,-2.186410202817664,0.39966115777269434,0.5178192631364026,0.8300153007522549,0.9736000560521987,0.7336140727863208,0.7453126343998613,-1.3994076564988873,-0.026904982799055652,-0.07199599633194383,0.39751546634474744,-0.5238137653302887,-1.7032398343619104,-0.4506088246998396,0.5538623357947013,1.1309944731218133,-0.3555199999124049,0.5808027410886738,0.7513242876691155,-1.0648522338104727,-0.21580069016612952
5HT2a,-1.8926901855817084,-0.49409195370361253,-0.4461838207129846,-0.08394188572723399,0.16111932834921347,0.03345128668536903,0.8751962646214778,0.23249729152582663,-0.27069760300135504,0.7189959222650588,-0.39695185327986793,0.6751926330349097,-1.2513431185986554,-2.252417154122977,-2.397213380498898,0.5441164354232167,0.34040287743516123,-0.7781836350997142,-1.2358749903778352,-0.5061480980215662,-1.377913175165859,0.8811398027738854,-0.005209782975392537,1.0868037038417955,-1.3163003252310619,1.0563242500318784,1.0918840381384485,-0.020243438302074698,-0.17528391028911947,0.19749702284386728,0.32987600114547083,-1.467309960587908,1.4726724151691242,0.9511071645276814,0.7269395669125085,-0.2010868790564025,-0.9556820811639329,1.128113080380043,1.4516307844472915,1.3692704183342719,0.9123988834217418,0.05011501285569699,1.0859366720310253,0.48055451839357105,0.9876016116502765,0.9558678645806317,0.6664572396919737,0.8903760202312084,-0.8235142783806231,1.1324105978762458,-1.687612599623509,-0.1060623617706342,0.48159125620997983,-0.21651162378705796,0.7715467266956897,-0.8826249217209875,0.6776425242441453,-0.6808183233226206,0.3738521863437742,-0.6460694236866077,0.27093442581824506,-1.6192210793506554,-2.146107825454661,-2.446017254962901,-2.051701522903723,-2.6014781640090305,0.7858836942097439,-0.8225592036045223,0.20696036563204664,-0.6075755080614752,-0.9691449989496905,0.7231435115231963,-0.17264070735165268,0.8395273797969964,0.4468525644540055,-0.1864034816135421,-0.21093939727104916,0.11083212131711583,0.26506680877362376,-1.1645569984964481,0.9051187509767937,1.1276262921007076,1.153926895019867,0.6623262382388999,0.9155180287660019,0.29898121421649027,-0.6047396313882831,-0.7422748650943296,0.1604724039517732,0.9057063420715079,1.3742844014106759,-0.32269207796988836,1.1811902286251583,0.13544013012739473,0.7105284857731343,-0.14996964377867777,0.7297741676006969,0.5009900562381174,-1.172573374289172,1.3569105895851719
5HT4,-0.35240658716751155,-0.8304678059142255,-0.7387775738547776,-1.4352745944605296,-2.4408984070986786,-1.4397922865297434,0.8651627860105193,-0.08074907752322694,-0.8265486419365744,0.4427575604987734,-0.23271724149583994,1.076090289422692,-1.3217780058823847,-2.0648213916582763,-1.9929502197863116,0.8855600334878154,0.8245416963908665,-0.2100377560619169,-0.2926564990598241,0.05542089424831055,-0.6829024084809289,0.147795594286727,-0.8042673276969562,1.5148535877037452,0.37874709146403773,0.8435283092666324,0.5826310837493853,-0.03153603324334414,0.14897281818815009,-0.6753717351521339,0.42205011579475077,0.7088899998670513,1.7417460778913578,0.6742791086451961,0.273637523968467,0.032156610764008844,-1.1148601830156606,1.896273114724426,1.645756308861492,1.6473947604426513,1.4523035882348372,0.11467568383332624,0.3873273501632582,0.46265442425296155,0.613285689030393,0.08613194525417743,-0.18685331022449256,-0.03502498926393039,-0.4375465725426301,0.8616534891881825,-0.20865305598262188,-0.24363720091663132,0.6433971949046088,-1.7113714840872802,-1.7490629897345404,-1.0360182183831403,0.5725476398006599,-0.8936300635158829,0.18967476249476875,-0.15000187968960965,0.7445784450617396,-1.5506267726785394,-2.2325229115263734,-2.133249628573617,-1.207821206664591,-2.2042057186267447,1.3156993403458834,-0.08490724592146827,0.1901441264952052,-0.10783082097641859,-0.405656263555163,-0.27156715580289853,-0.9723804945405181,1.5938938751533527,1.2037400078601785,0.32633799870880464,0.06279392636352409,-0.35741652663913603,0.2249421530931818,0.6029596810207689,1.359401044390945,1.041946219601056,0.45879424860039336,0.1250500012471114,0.17052898284529208,-0.5860862943798675,-0.8839081773183061,-0.4443302299270659,0.3114800600687401,1.4706087842518945,1.8167385457922318,1.009916067601541,1.4806739214790419,-0.22910776622486767,0.04706997808884685,0.19639332931359677,-0.08500640733001139,-0.44011154764361293,-0.3961642284173915,0.8679250668885008
5HT6,-2.1925128339763034,-0.34739543378520454,-1.209445689192356,-0.04943789112449288,0.41613324977896476,-0.07205319282680465,1.0503241418810028,-0.08416902275577326,0.9965935171680735,0.3004950792699733,-1.0610158454328773,0.5865784743982622,-1.128264400786648,-1.6740560997180536,-2.2661599736301157,0.7144713136597667,-0.06766605740865496,-0.04548441277248575,-1.0533694257804587,0.39995252762724254,-1.0024781407120589,-0.5134140996167045,-1.309513342749413,0.7839052949397514,1.0675881496683048,1.7652772348287793,0.6461180469260401,-0.3720907467514056,-0.21084230864747208,-0.9134447455079373,-1.1668144570952628,-1.4424575155046793,0.8489118604021588,-0.04451682615652896,0.25580954680224044,1.576806102952215,-0.10610127172742016,1.4877487109143936,1.3461074000025752,1.4482190695729722,1.344011105172961,0.5238078996187914,0.8571530587184173,0.9456182431817253,0.19849996574897424,0.47584337123196313,0.619944357597991,-0.3161566984869908,-1.1255244765960215,1.4838972191056097,-0.7916093926960273,-0.40048671428599153,0.7922424805908083,-0.209159959199176,0.4573221007647561,-1.0418389471878082,0.3648100217039708,0.03473014604703563,0.1449158931275707,0.23442236876748415,0.680179838303057,-0.8067068292121696,-1.5391279030336948,-2.2820613040751927,-1.7757418254902844,-2.4376062090265957,1.4473483273215872,-0.7580481067076049,-0.2018426389803516,0.11642993746660811,-0.8345714382862663,0.2791327550986916,-0.8180907557132976,1.1844698703807999,0.7191541243502863,1.160754999477182,-1.6973210299898056,-1.1451633138898079,-1.5638866362032446,-0.7927749531900088,0.6731470519695261,0.8994937577217904,0.4308390236879373,0.8070356715368292,1.1096391726077346,0.5474790620038834,-0.8883809097384909,-0.4415221569420621,0.8404615468208054,1.4766056097800349,1.269343243057143,0.14522699493589036,0.647437872779519,-0.017627516966363964,0.7615762411822831,0.3278394712706555,0.25796154856722847,0.6565806664190621,-1.0416632560839345,0.6532219667308932
5HTT,0.9614754706529723,-0.2552515553757057,0.45475045049739643,-0.4149468838291521,0.3206518092028619,1.369185299315502,-0.0228500715576245,-0.30128224103937273,0.515714948327817,1.0693731908214892,3.666837438447041,0.7778212263419959,-0.18145109731050327,-0.2969713197276323,0.02041565841238161,-0.4964245592779959,-0.377150299880159,-1.1398695491923192,-0.47641854887271556,-1.13313511567378,-0.8746316188583805,-0.39789180796591783,-0.9483557913987845,-0.4872024284904107,3.1989136036859938,1.6456240491181946,-0.4193969604602642,1.1214940918994454,0.5829766847036184,-0.5691512328182751,1.1099297324469959,2.004556913224296,-0.8329760395687005,-1.0516219279978702,-0.24579188724710965,-0.589227215463544,0.3293796624004574,-0.16486951780809128,-0.1382477110280062,-0.01776603591007568,-0.9034572881445517,1.6645507508743367,-0.17661591030591967,0.6947389243370347,-0.2852725399194183,-0.97069245611344,-0.9600921878623319,-1.0419760179673483,0.36847757218110355,0.12420658681137513,0.796308365643178,-0.05287368663667204,-0.6143819726856833,-0.47453824221318974,0.9150691445430581,1.2971491413014193,-0.5244552807850558,-0.0018007908373321494,1.2348528034294244,3.082200433493132,0.23152874584796035,-0.5591980762602878,-0.7452816199558089,-0.5236800620209795,-0.7001082257587624,-0.03578020495750646,-0.5400351524308008,-0.708352060454187,-1.2175426813819716,-1.2602915111580801,-1.1844715911139763,-0.6817939126292809,-1.046610232072115,-0.27964266818925704,-0.5023009121693168,2.023150589206661,0.7289045803591279,0.20409883861207634,0.6871511451548797,1.243242632836102,-1.2904316589525993,-1.3206920222120562,-0.4902706849085292,-0.555116800683545,-0.7379674164487949,-1.151394976721769,0.4363132913676338,0.5342920519375565,-0.6472828673173212,-0.9706806187044219,-0.8908751745698716,1.0486924481020368,-0.06447145388790847,1.214764983375137,-0.2538336968285816,0.27626547117891265,-1.0951943783882743,-1.2722251977719699,0.3939682487658929,0.21553666931476984
A4B2,-0.9483612833211068,-0.3794855166305622,-0.7775996087212638,-1.3169044896266955,-2.0620528302354884,-0.9598765953297119,0.07991011456643085,-0.34837361115017373,-1.1203095672781411,-0.4575235281376007,0.14478776949220887,0.17943893998700394,1.3805053359498554,-0.8059669508668265,-1.185690412308499,-0.6595108098280011,0.25289018015616427,-0.7531803735500793,-0.21552053721730724,-0.8819704293068032,-2.0856483335287463,1.7907359070731408,0.6131984868656849,0.3648149002683556,-1.4987024779625124,0.5334694663052776,1.4952605004002915,1.156149076846107,0.648338332365887,-0.5660771164674394,-0.8934712262162358,-2.639536655529945,-1.0429767476724652,-0.0051157075996142365,1.840067890787305,-0.08885815308066466,1.4016792368648339,-1.2891927461270007,0.06027602375512154,0.3239863454849096,0.22119162275097226,-0.351259696701912,0.7627705358597792,0.2614395735675957,0.4677704986847661,-0.2970917657807692,0.9033891878488696,0.7162387566939256,-0.7245771610429981,0.8937172934349211,-0.5132397363035954,0.08701283642719715,-0.2773693747828415,-1.6413471958774841,-0.8675412111397208,-0.7809296143892978,0.367905406800074,-1.4191633632829217,-0.2276454833910738,0.7584607609977381,0.2928466193977822,1.031717179615328,1.0938780918130282,-1.3733319376520452,-1.038870184198809,-1.0821155029941445,0.6289727708892343,0.8397695081845333,0.08852240674093223,-0.13548669957432385,-1.5391838799574615,1.9748417961770686,0.40178848663043193,0.8724188045853936,0.46623794613068,0.5715764399942533,0.8347908291690491,0.3114731204083365,-0.6982008066669878,-2.313449509502293,0.05847010349999309,-0.011427356555590101,1.135380389116303,1.8734780203030237,1.4573906066644362,0.7814127615611037,1.511811342229463,1.089380830253368,0.29267848616572384,1.3248181579821996,-0.33955447881249484,-1.386068937174166,0.8087882385966795,0.217462451855747,0.7616927897463712,0.5532595944326699,-0.5481340347094987,1.0457109448072974,-0.48335919506950953,1.0052791360678475
CB1,-0.13448999492716515,-0.6170893204126315,-1.3700018393740268,-0.6799579459933406,-1.9089699810129932,-2.0589509066987115,-0.6317766360410962,-1.034234694227252,-1.2561834664924474,0.06930899427631625,-1.921935026413011,0.3434713656754504,-1.4074039145433228,-0.9470750156847316,-0.7402886239214239,0.4381360448194033,0.29782672287752066,-0.3687238679891775,-0.7814451201389029,0.5284214197393502,-0.1989592433967653,-1.1789117959083406,-1.0857670682596787,0.6935032620080226,1.7323907492885682,0.532389684005489,0.49004104386036385,0.7155124669794307,0.28398069463945713,0.09258589257572616,1.167253063665388,0.6365313311499884,0.5883999606318775,-0.29757169883387924,-0.14088096199792954,-0.1331710816667189,-0.07568951248086175,1.5700530149006107,0.2470447208554061,-0.19460042714573705,0.43329576120339663,1.0194835585629616,1.0721901495466788,1.7835492178141499,1.1811887267852292,0.4764459932912784,-0.42816588008934847,-0.6135564255722711,-1.3480374518435074,0.4436037726078553,0.34344831670585035,-0.6240309017571745,0.3336653096089479,-1.2987472303538394,-2.4501072867909848,-1.7218353968303348,-0.4308754145156633,-1.5187522061827654,0.27927230234949507,-0.28964285329146827,1.4864262311984509,-0.7923741732242514,-1.28873757505587,-1.1586491906332905,-0.9675821961372044,-1.2533522847265768,0.9341101751644437,-0.5506404215540509,-0.3387294755496694,-0.4199963008644483,-0.1194915182091,-0.13673854996147938,-0.6763469407560022,0.6449787785084,0.8133873553893437,1.8364555665344007,-0.6170355394835648,-0.17157450651530526,1.0376435856111645,0.2075131769947293,1.3073895183352702,1.0271729509211944,1.7714753992386667,1.2081688262003776,1.7193796059493502,0.532163035804422,-0.8577999539322528,0.5898584482082351,-0.32071926680386675,1.3207361522319998,1.053259262515186,1.3584276200196075,0.2962786004193852,0.7477912684059642,0.8426224123303618,1.8768629712398788,0.8381867661806668,0.2934256501822257,-1.5716739208827497,-0.40743589293074206
CMRglu,-1.544852839790373,-0.050390754262259425,0.4018761979508313,-0.904784979160391,0.6910568018689579,1.3809829856395528,0.11919367212726698,-0.5209593122505064,0.973069090183596,0.40096492582973786,0.6811636302966935,0.22781874262472818,-0.23715763315334748,-0.5150212588124667,-0.9642300283812193,-0.3671012742555831,-0.7566911629501227,-0.3301584637535553,-0.10126787425801821,-0.15218800414739794,-1.5585084810150183,0.7071998486080137,0.2178718086854376,-0.03836142464015548,-0.9249010648226802,1.0426537218255587,0.5098256547026637,0.4342949052676075,0.3957759613722627,-0.5906326517980622,-0.1602236859389084,-2.763689158186832,-0.7338538054768592,0.7419168971151584,0.7770631485190619,1.8910032645910486,2.438463655939564,-0.9310120538746541,0.2715499480032595,0.3559004137489577,0.3930036153126136,0.469995805091331,0.19047988268560762,0.46130153430375,-0.38952555754219564,-1.2979850108007374,0.13000797225457963,0.551370523822131,0.8901836489393607,3.1127234859587354,-1.514559538050031,-0.20726396500790004,-0.7328278403061099,-1.0588222250454016,1.4506500529109556,0.5443115250315959,-0.49412651486774856,-0.1556252114792706,-0.0997813448097448,0.9190450796379058,0.014965467213095463,-0.8069948176976025,0.00409292452150446,-1.220894256682472,-1.2211200586239819,-0.9886847370625199,-0.15434118694679574,-0.4408041032117498,0.06990702215603217,-0.3622743097360841,-1.5421037907564352,0.461406370919451,-0.13442581412140417,0.18893152651525413,-0.40924469772794175,0.16436570894209945,0.6566444067749615,-0.09533071685942895,-0.5312180679185488,-2.582358998661264,-0.6018071597844501,0.23517791463115942,-0.00489166304801779,0.2801304217806351,0.22655711907851422,-0.2516008930549261,2.2616625278162257,0.2334198852294039,1.699628054806368,0.601686723121917,-0.9767530757405134,-2.056984187687096,0.4204448234822175,-0.042967963454847206,-0.27598660669854314,0.22683937150540157,-1.3922349203948532,0.37523784112881803,1.2505268099716678,3.045181824263767
D1,0.5149973071051404,-0.09415457752325769,0.8371796593451754,-1.7450613728504378,-0.21451600620270891,1.0297056422552253,-0.5194730586242119,-1.3224945784813558,-0.2947548325183974,-0.17989956785786612,0.889133817017188,-0.14325001073974752,-1.7478288062865333,-2.0229022019467906,-1.4889605632015093,0.11001718945026887,-1.2395435318570414,-1.1553427151632742,-0.8054055011128377,-0.27528592633594373,-1.6291028422673508,-0.6140587270912856,-1.005243336567997,-0.7652675506955893,1.2821344799393206,1.4458005411880832,-0.11669907416371618,0.9180623066057325,0.716707007109303,-0.939513204604076,1.2732206493960934,-0.11324077899544753,-0.07616785479159885,-0.4935523888678978,-0.2971985615537278,0.14009299586812518,1.6916891148340651,0.3040321328736904,0.03791602068730394,-0.4169428788878786,-0.8722723856614623,1.0438904328808578,-0.30229212205689604,1.7138297782750467,0.4908849171048205,-0.8322633987585605,-1.4083589647125503,-0.6497240155326952,1.1651173323165402,1.912301636970082,0.6556145785275215,0.33031039234365805,0.11924954193464288,-1.5866168389923399,0.5799175800910398,0.5268013555123392,-0.9218840715860698,-1.2896808387821523,0.4823872779340028,1.8198453614299626,0.46023505362156625,-1.1302875161631907,-1.1020710167960297,-1.7589190705440185,-1.4957970247393368,-1.4713025280048624,0.23362403380290447,0.03240905936690428,-0.16697291896722594,-1.1891231829066349,-1.4257493059373816,0.19476435698301162,-0.6910652932082046,0.7320387159135081,0.35645151595911745,2.059790849846139,1.2005274842844391,-0.1794463019666474,1.1466510327448314,0.23830259888587965,-0.5080409513573022,-0.7139301057181376,0.7720094323453841,0.12735291552374084,0.24468061207287084,-0.7824468063536666,1.8180438587365437,0.6963853869942943,0.3328561759683921,0.3348255106232936,0.5882840631684426,0.5432604486088631,1.280688972356595,0.8585274064645775,0.054987042669510856,1.7742823724193535,-0.6689449609549537,-0.1903107305800036,1.153449622462373,1.7880932286510005
