,morans_i
5HT1a,0.07262987265097795
5HT1b,0.03596772417832829
5HT2a,0.04775818852459955
5HT4,0.03270885251928607
5HT6,0.022979877803182936
5HTT,0.08730235222930068
A4B2,0.02368879737203786
CB1,0.08342926021238112
CMRglu,0.035773940886146896
D1,0.058667001927214864
D23,0.06279909123304199
DAT,0.07968879872323655
FDOPA,0.08007867610230324
GABAa5,0.07774805894045062
GABAa,0.0609540742198393
HDAC,0.038946294153756895
KOR,0.08533830783866454
M1,0.020228264338448265
mGluR5,0.034898377041251066
MOR,0.1216381404742184
NET,0.015610325105728306
NMDA,0.053363755994378786
SV2A,0.036773611002918545
VAChT,0.046546978180982884
VMAT2,0.040326038381877566
