,morans_i
5HT1a,0.12271397852770813
5HT1b,0.03555632084671022
5HT2a,0.04038038959865382
5HT4,0.06875841358938775
5HT6,0.050194181852789566
5HTT,0.067872730805174
A4B2,0.054067871737094
CB1,0.09926473085481988
CMRglu,0.03733658174583966
D1,0.08818519982542425
D23,0.1184328872752745
DAT,0.06763426230196856
FDOPA,0.12350850058692585
GABAa5,0.14555317527679276
GABAa,0.06917529532326425
HDAC,0.03691706949879251
KOR,0.11376498681723882
M1,0.06142539180138123
mGluR5,0.0454758459819312
MOR,0.14667447869860567
NET,0.03878242492561271
NMDA,0.05832130750083023
SV2A,0.0549506079029324
VAChT,0.08181778476756611
VMAT2,0.05583500588205931
