,morans_i
5HT1a,-0.05213807797249332
5HT1b,-0.08891518655519483
5HT2a,-0.07808874365189206
5HT4,-0.053404971510813214
5HT6,-0.03521593414661836
5HTT,-0.06852168576943944
A4B2,-0.031906588849824245
CB1,-0.044030115869135265
CMRglu,-0.0199091737202574
D1,0.0064993885469743
D23,0.00899332053202908
DAT,-0.0361700908695992
FDOPA,0.004013175308200513
GABAa5,-0.060863008791334314
GABAa,-0.05728383732932752
HDAC,-0.027324621737497223
KOR,-0.04054121642826454
M1,0.006666759704210834
mGluR5,-0.02270125211211318
MOR,-0.044732495861844336
NET,-0.032250346067339467
NMDA,-0.057075392731422245
SV2A,-0.020202081525202198
VAChT,-0.017139682053203556
VMAT2,-0.011129666379542099
