,hemi-L_lab-Thalamus,hemi-L_lab-Caudate,hemi-L_lab-Putamen,hemi-L_lab-Pallidum,hemi-L_lab-Hippocampus,hemi-L_lab-Amygdala,hemi-L_lab-Accumbens+area,hemi-L_lab-VentralDC,hemi-R_lab-Thalamus,hemi-R_lab-Caudate,hemi-R_lab-Putamen,hemi-R_lab-Pallidum,hemi-R_lab-Hippocampus,hemi-R_lab-Amygdala,hemi-R_lab-Accumbens+area,hemi-R_lab-VentralDC
5HT1a,-0.7220067060033041,,-0.465593457929172,-0.902343577006565,1.807425714700878,0.5462478185333145,-0.3724396224750613,,-0.7229171321336743,,-0.352539858979209,-0.869578963100406,1.9880896017437757,0.47220419147187337,-0.4065480088224493,
5HT1b,-0.7468766627298203,-0.4308545700544558,0.5421839427265462,2.041644258747547,-0.985433901787577,-0.41965829896065254,0.1976561092106721,,-0.7677036528607042,-0.5752145885999013,0.425982356627577,1.9822436759275142,-1.083953399051884,-0.5292424707409696,0.3492272015461056,
5HT2a,-0.19385660457571102,-1.5265089744952802,0.4499862081040275,-0.9036433560614586,0.763905451269374,0.9126744609731623,1.8892097989293302,,-0.22513666961315318,-1.6286852771956422,0.01626601984907173,-1.0381033719550943,0.38887680031827493,0.328977336059746,0.7660381783933538,
5HT4,-1.0628755900114812,1.0307828044437917,1.3811505825418258,1.149609689507886,-0.8578906433349496,-0.9053171880697088,-0.41185008436751136,,-1.040269634430285,0.7162144469996653,1.337883027925587,0.8098897838519268,-0.8952334723845542,-0.9630320548995505,-0.2890616677726426,
5HT6,-1.3825021574659002,0.8952002883261435,1.5090484396341401,0.3312463111132724,-1.000734568372037,-0.8339641891603838,0.0007020732057907731,,-1.0275854900477683,1.0707349993675561,1.4904103587365065,0.39645964533713496,-0.8928625647346348,-0.8571366269107242,0.3009834809709025,
5HTT,0.896440958768412,-0.40424810336302996,0.898456933460724,1.107350432007473,-1.7554338313289373,-0.1272666736689773,-0.22328245573326608,,1.0717854175183457,-0.8396581940851733,0.9067130716302828,0.630954719781223,-1.892751069723409,-0.41670213341842305,0.14764092815474586,
A4B2,2.212347801170856,-0.28711615328278284,-0.36416577648185344,-0.5416460983512994,-0.7133270652961099,-0.8040667044020622,-0.2981520470542243,0.6861993814170612,2.411281936486841,-0.41352280576223444,-0.2901578115705409,-0.481362061313808,-0.6095541992815398,-0.8351100458011619,-0.3143145722133549,0.6426662217362116
CB1,-2.0308309348656994,-0.8631509277543468,1.0254447348219649,0.4592137632026921,-0.09455588132493145,0.5528345115927236,0.45091685119120684,,-1.7381908927725727,-0.7853115961648504,1.2679016179541382,0.5576144049392546,-0.022853265522401352,0.4556359193861693,0.7653316953166535,
CMRglu,0.41036840031196115,0.6350423322131606,1.6303595965124702,0.27848262811674396,-1.0957706287982611,-1.3637928814012332,0.3529324950557481,-0.9426477558613012,0.5635502054763114,0.6285112250214345,1.5394972307092762,0.3682123822707802,-1.0910659147996056,-1.449522073149123,0.4755216451481427,-0.939678886826506
D1,-0.8885708951555543,1.2837428818122767,1.5123643223149867,0.009764095444270175,-0.9367387927140326,-0.6777313990626279,0.7032202095274508,-1.022419625714291,-0.8430760317231609,1.2038176875104818,1.5931631799445771,0.11870970372206772,-0.9321702235184707,-0.6858097195882125,0.5717260525073382,-1.0099914453071008
D23,-0.6496301703222703,1.1708273627368768,1.5547611140355106,0.37114546270398086,-1.2693555629470878,-0.7536619934245231,0.5932133348789935,-0.9109369490843295,-0.6601594144824756,1.1058810093771236,1.4794360789856695,0.3905989550929431,-1.2705244752150875,-0.7805725712084384,0.5211352479347134,-0.8921574290616002
DAT,-0.7721446607106847,-0.7607073459918302,1.289312205186238,1.6258263796434678,-0.8857519259051323,-0.6963795249726357,0.7867592792787548,-0.737547591475263,-0.8706992408525818,-0.009252367557214161,1.4040018098798914,1.3130508262777374,-0.9315998819232333,-0.7624290628141597,0.7732871193027538,-0.7657260173661097
FDOPA,-1.0831651773838695,0.8776814238067296,1.61968065008398,0.47264969657172684,-1.128884278489665,-0.6329103939911721,0.6786168708055484,-0.7698035717522129,-1.1052130975823768,0.7515956897014703,1.6093270683020258,0.5395713060555187,-1.1204691927557762,-0.6253604988636566,0.7212739358061656,-0.8045904303144377
GABAa5,-0.6417306405601607,-0.27688226449910636,-0.21082109131758675,-0.9534161756962443,0.9373950642243213,0.4659398802737864,1.9242698382262178,-1.1318920017246854,-0.6376861320741074,-0.31636718638394623,-0.26552250572673314,-1.0312698625532828,0.9882866119848301,0.38793096528213944,1.8675183709490508,-1.1057528704044959
GABAa,-0.3127015372723143,-0.34019710778476436,1.2961256241304886,-0.4410699396003053,0.8427588060450117,0.33536722969014415,1.5593292687754725,-1.9268859445655835,-0.4988034183473179,-0.2241915547591771,1.0083295866325854,-0.5563146089135984,0.21695545747554526,-0.014056694893336519,0.9108192832790543,-1.8554644498919093
