map,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2
Auditory,-0.0316795073449611,0.0064023695886135,0.0546323470771312,0.0282972063869237,-0.0356740057468414,0.078304573893547,0.1323918998241424,0.0398202426731586,0.0748468413949012,0.5338571071624756,0.4395731389522552,0.453371912240982,0.2568715810775757,0.2355242818593979,0.2080529332160949,-0.0069862608797848,0.1484034061431884,-0.1210139244794845,0.1287730038166046,-0.1585865020751953,0.1094465777277946,0.0223490819334983,0.030251495540142,0.1656729131937027,0.2757948040962219,0.2231470495462417,-0.0740915164351463,0.0005107372417114,0.1157396435737609,0.1268986016511917,-0.0506852008402347,0.0046984618529677,-0.0498587563633918,-0.1698266863822937,-0.1149125695228576,-0.1016301810741424,-0.1040303707122802,0.0337851792573928,0.092452086508274,0.1602839678525924,-0.1618111878633499,-0.0079917125403881,-0.0413235910236835,-0.0831845551729202,-0.1229036152362823,-0.1356928050518036,-0.1995875388383865,-0.2060600817203521,-0.03834730386734,-0.1571439355611801,-0.0122037483379244,0.0348268821835517,0.0458902791142463,0.0177553296089172,0.0313269272446632,0.0789676010608673,0.0505385249853134,0.0656110420823097,0.5327790379524231,0.3994303345680237,0.4293707609176636,0.2735788226127624,0.2873454391956329,0.2462117224931717,0.2487732470035553,0.2017776817083358,0.0049062632024288,0.2038574963808059,-0.0443592108786106,-0.1205152720212936,0.0176917985081672,0.0064426399767398,0.0454672276973724,0.2283394485712051,0.2928077578544616,0.2606184184551239,0.1506901681423187,0.1470703333616256,-0.0504542142152786,-0.0039250273257493,-0.0551950521767139,-0.2190723270177841,-0.1134756132960319,-0.0925111398100853,-0.0899790823459625,-0.1890659928321838,-0.1189886629581451,-0.0736491829156875,-0.1185545995831489,-0.1439302563667297,-0.0481776632368564,0.1302820295095443,0.2357508093118667,-0.0484639182686805,0.0176336113363504,-0.0962063819169998,-0.1640253812074661,-0.1940725147724151,-0.0659087821841239,-0.1755538880825042
Cingulo-Opercular,-0.1080212742090225,-0.001155937439762,0.0421435832977294,-0.0156054217368364,-0.0021796757355332,0.0363632440567016,0.0197372920811176,0.0258372854441404,0.046104971319437,0.1849298030138015,0.1357366442680359,0.2909887731075287,0.0492947958409786,0.0236138235777616,0.051947396248579,0.0136676402762532,0.283546507358551,-0.064842976629734,0.1125419214367866,-0.0147000541910529,0.1403884887695312,0.1676984429359436,0.1026810109615325,0.4034138023853302,0.3201845586299896,0.5026580095291138,0.2350021600723266,0.2567511796951294,0.2612086832523346,0.2812578678131103,-0.0527601242065429,-0.0219429228454828,-0.0750970691442489,-0.0765086412429809,0.0153585420921444,0.0084044774994254,-0.0396411083638668,-0.1356442421674728,-0.1379324197769165,0.0562157295644283,-0.2839894890785217,0.1580287516117096,0.0270706731826066,-0.2184123694896698,-0.13904370367527,-0.2695381641387939,-0.2734220027923584,-0.3340500593185425,-0.2490361332893371,-0.3540180921554565,-0.0688303187489509,0.0081982025876641,0.0259080585092306,-0.0247379597276449,0.0645632371306419,0.0049479408189654,0.0210426375269889,0.0651056393980979,0.2177565842866897,0.1655052304267883,0.2695558965206146,0.0667478442192077,0.1592273265123367,0.010321520268917,0.1414260566234588,0.0428706221282482,-0.0606057345867157,0.1276719123125076,0.0983205661177635,-0.0622658878564834,0.1163733229041099,0.2175135314464569,0.1735651046037674,0.2281655371189117,0.4601920247077942,0.4941758811473846,0.3164725601673126,0.419355571269989,-0.0864043235778808,-0.0262122247368097,0.266359806060791,-0.3343556225299835,-0.0777557343244552,0.0964936539530754,0.2624546587467193,-0.1364370286464691,-0.068179152905941,0.1851454526185989,-0.0235838051885366,-0.092374064028263,-0.1925853043794632,0.0172630120068788,0.0165613070130348,0.021764313802123,0.2149810791015625,-0.2363944351673126,-0.239307165145874,-0.2170215249061584,-0.2519905865192413,-0.3914102613925934
Dorsal Attention,0.0359829552471637,0.0196985322982072,-0.0049822069704532,-0.044080164283514,-0.0831600502133369,-0.0893754586577415,0.1193388849496841,0.0598886869847774,-0.0925383940339088,-0.0011002999963238,-0.0572337284684181,0.0865798518061637,0.059686254709959,0.0558462776243686,0.001430973294191,0.2645965218544006,0.4297878444194793,0.3463318049907684,0.4695312678813934,0.2305392622947693,0.333293467760086,0.2812660336494446,0.2176970988512039,0.1528984755277633,0.0566468462347984,0.1271557807922363,-0.0019041935447603,-0.0298303551971912,0.0889914408326149,0.0461982786655426,0.0153097119182348,-0.0096678687259554,-0.0144230667501688,0.2532245218753814,0.1445904821157455,-0.0274356305599212,-0.1799055337905883,-0.1458127349615097,-0.1874482035636901,-0.0395971834659576,-0.2379673570394516,-0.0727309361100196,-0.0165649708360433,-0.2817178070545196,-0.0774622932076454,-0.2808748781681061,-0.1435504108667373,-0.1346651762723922,-0.1970046013593673,-0.291761189699173,0.0775200650095939,0.0347680151462554,0.2717966139316559,-0.068458542227745,-0.0843783691525459,-0.0717656761407852,0.1313624083995819,-0.0956558659672737,0.007920267060399,-0.0215740241110324,0.0745445489883422,0.0457180403172969,0.0341684184968471,0.0621363632380962,0.2241961359977722,-0.0042955912649631,0.0340124107897281,0.3700597882270813,0.4552526473999023,0.3499073386192322,0.2825854122638702,0.2281392514705658,0.281519740819931,0.0136481374502182,0.2796299457550049,0.1214313432574272,0.0991624742746353,0.0775831118226051,-0.0133142927661538,-0.0129220420494675,0.2409068346023559,-0.1359104812145233,-0.0462907180190086,0.1499232649803161,0.0105946008116006,-0.0549770221114158,-0.1729447990655899,-0.0972651615738868,0.0207326374948024,-0.2056073397397995,-0.1112369894981384,-0.0643212795257568,-0.1156059056520462,-0.0562966130673885,-3.658025661934517e-06,-0.2933050692081451,-0.2748119831085205,-0.1091662794351577,-0.1613853722810745,-0.3171214759349823
Default Mode,0.0217296611517667,-0.1320007890462875,-0.1830817013978958,-0.0511158369481563,-0.111996866762638,-0.1205320805311203,-0.0809055045247078,-0.1627471596002578,-0.1289974749088287,-0.1770961880683899,-0.1326668560504913,-0.2575217187404632,-0.1406096369028091,-0.1541691869497299,-0.1235039234161377,-0.157647892832756,-0.3377646207809448,-0.1051864698529243,-0.2885094881057739,-0.0023113742936402,-0.2465882152318954,-0.2354516237974167,-0.1769763529300689,-0.2626044452190399,-0.2353219389915466,-0.3443772196769714,-0.0489679165184497,-0.0549636706709861,-0.1634647101163864,-0.2136580497026443,0.016496593132615,-0.0068247076123952,0.078086532652378,-0.0259101837873458,-0.0788624286651611,0.0266296099871397,0.2352108061313629,0.1898916512727737,0.199214294552803,-0.0071856924332678,0.4416567981243133,0.0070805484429001,0.0132814897224307,0.4276179671287536,0.152626097202301,0.4199996590614319,0.298947811126709,0.3894746601581573,0.2837111055850982,0.533607006072998,-0.0315783843398094,-0.1639804393053054,-0.1710411459207534,-0.0518741235136985,-0.1767134219408035,-0.081547200679779,-0.1712751984596252,-0.1689851880073547,-0.1982661187648773,-0.1625786274671554,-0.2506894767284393,-0.1451289653778076,-0.2386227995157241,-0.163794070482254,-0.2402592897415161,-0.1205030530691146,0.104960411787033,-0.2636078894138336,-0.2575084865093231,-0.1128734052181243,-0.1714543551206588,-0.2298581302165985,-0.237509936094284,-0.1289133429527282,-0.3814592659473419,-0.3489050269126892,-0.2174944281578064,-0.281658262014389,0.0550385862588882,0.0019351780647411,-0.2157005965709686,0.376006543636322,0.1122549548745155,-0.1244424059987068,-0.067351333796978,0.172039657831192,0.2585472762584686,0.055866003036499,0.0744193270802497,0.314139187335968,0.2296925187110901,0.0169487949460744,0.0541932433843612,0.057003628462553,-0.0755482614040374,0.4538300037384033,0.4057705104351043,0.3188474774360657,0.2834447622299194,0.5840259790420532
Frontoparietal,-0.0642060860991478,-0.0872287899255752,-0.162591278553009,-0.0842964872717857,-0.0820539146661758,-0.1987418085336685,-0.1599634885787964,-0.1477871835231781,-0.2000577896833419,-0.1513584852218628,-0.216994896531105,-0.1689551025629043,-0.1432418525218963,-0.2187625467777252,-0.1785017997026443,0.1155555322766304,0.035973984748125,0.2262555062770843,0.0233891513198614,0.0578127205371856,-0.0853436738252639,0.265790194272995,0.0193867553025484,0.0271140951663255,-0.0765177011489868,-0.0054987724870443,0.0280121080577373,0.0401747189462184,-0.1408733874559402,-0.1112308427691459,0.0227485261857509,-0.0389055907726287,0.1037517488002777,0.4868130087852478,0.4491881132125854,-0.0083479695022106,-0.0016035705339163,-0.1338918209075927,-0.0484020374715328,-0.0303922034800052,0.0743519887328147,-6.024000686011277e-05,0.2175140976905822,-0.2365379333496093,0.0916157513856887,-0.090296559035778,0.2454661279916763,0.1776703000068664,-0.194950059056282,-0.1444774270057678,-0.0489400252699852,-0.1400313228368759,0.0280215200036764,-0.0835542753338813,-0.163449227809906,-0.1916274726390838,-0.1571061164140701,-0.2009230554103851,-0.1588720232248306,-0.2075797766447067,-0.1601129323244094,-0.1488239169120788,-0.2339912056922912,-0.2262531667947769,-0.2170021384954452,-0.1744666695594787,-0.0346268899738788,-0.0983537137508392,0.3393461108207702,0.1896703094244003,-0.0463012307882308,0.2477605938911438,0.0129174711182713,-0.0453798174858093,-0.0892355591058731,-0.0314080789685249,-0.1229490563273429,-0.0957590565085411,0.014951467514038,-0.0345107801258564,0.3924682736396789,0.3505688309669494,0.2464506477117538,0.4576418995857239,0.1077848747372627,0.3424177467823028,0.054386232048273,0.1165642291307449,0.029891237616539,0.1493801772594452,0.0379603467881679,-0.124612770974636,-0.0735861957073211,0.087926335632801,0.1390834599733352,-0.21448315680027,-0.0345925725996494,0.1602871119976043,-0.1585804969072342,-0.139190062880516
Medial Parietal,-0.0087300324812531,-0.0498464703559875,0.0253471583127975,-0.0700997188687324,0.036741342395544,0.0783273503184318,-0.1215670481324195,-0.0270328391343355,0.1729543656110763,-0.0918710529804229,-0.0876058787107467,-0.0826861262321472,-0.1195496544241905,-0.1154799908399581,-0.0908150076866149,-0.083259105682373,-0.0737031623721122,0.0222182180732488,-0.1233784928917884,0.1899935752153396,-0.0863870158791542,-0.0945485159754753,-0.0785700678825378,-0.0110541945323348,-0.0164163429290056,-0.0017242868198081,0.1006584167480468,0.099263347685337,0.1010529771447181,-0.0748482644557952,-0.0325009524822235,-0.0564719326794147,-0.0232909172773361,0.0782134160399437,-0.0032898646313697,0.5890093445777893,0.4015430212020874,-0.0852433964610099,-0.1039870604872703,-0.1142374500632286,-0.0106403464451432,-0.0045274780131876,-0.1296058148145675,0.0231035053730011,0.0672240182757377,-0.1080562174320221,-0.0558136962354183,-0.031226547434926,0.2164686620235443,0.2624063789844513,-0.0466729961335659,-0.0497908815741539,-0.1298659890890121,-0.0709765404462814,0.1011268272995948,0.1100851446390152,-0.0804971605539321,0.1067019999027252,-0.0886725410819053,-0.0771921649575233,-0.0993311032652854,-0.1586423516273498,-0.1217523291707038,-0.1595848351716995,-0.1169644892215728,-0.0882545784115791,-0.0638626888394355,-0.1449112594127655,0.0491148084402084,0.0561453141272068,0.0282597783952951,-0.0462009534239769,-0.0438317954540252,-0.0605646595358848,-0.0405916422605514,0.0233146175742149,0.1214510425925254,0.0158982370048761,-0.0278938915580511,-0.0556017532944679,0.0569104813039302,0.1115929707884788,0.0748165547847747,0.0685499906539917,0.1621868312358856,0.0507992096245288,0.4332906305789947,0.1584043949842453,0.466813325881958,0.0645807683467865,-0.055053848773241,-0.0562800727784633,-0.0914704278111457,0.0100218225270509,-0.0807369351387023,0.0414583310484886,-0.0561815537512302,0.069087840616703,0.2563325762748718,0.3141797184944153
Occipital Parietal,0.3706269562244415,-0.0502707548439502,0.1250622272491455,-0.1235912814736366,-0.0200015231966972,0.1791339665651321,0.0330961570143699,0.0379771329462528,0.1042640954256057,-0.0961612164974212,-0.0700862780213356,-0.1191731169819831,-0.0795226693153381,-0.0907746031880378,-0.0539813563227653,0.0573817230761051,-0.062651552259922,0.1512794643640518,-0.0639451667666435,0.3595183193683624,-0.0284303314983844,-0.0677893385291099,0.0210490580648183,-0.1196393966674804,-0.0694656819105148,-0.1281469911336898,-0.0435407683253288,-0.0858306363224983,0.0998158752918243,-0.1370927989482879,-0.0035562934353947,0.0131411524489521,-0.0385391898453235,0.0095011750236153,-0.0303440447896718,0.2668288648128509,0.0469181574881076,-0.0269008595496416,-0.1223323345184326,-0.1135884746909141,0.0590423606336116,-0.1047522500157356,-0.1715012639760971,0.0927147418260574,-0.0002711933339014,-0.0537734217941761,-0.0372909158468246,0.1632578074932098,0.5311166644096375,0.2622397840023041,0.2410177141427993,0.0252834428101778,-0.0321662202477455,-0.1283909678459167,0.0627998486161232,0.2374155670404434,-0.0076916310936212,-0.0147536406293511,-0.0976959094405174,-0.0707123652100563,-0.1287969052791595,-0.1021403670310974,-0.1502102315425872,-0.0977164655923843,-0.0854022875428199,-0.0622033290565013,0.1569403111934662,-0.0936384052038192,-0.0662100911140441,0.12989541888237,0.0815464779734611,-0.1070669367909431,0.0013454968575388,-0.1076325997710228,-0.1391392797231674,-0.1309107542037964,0.0568027347326278,-0.1407575756311416,-0.0033506844192743,0.0048593929968774,-0.1682935208082199,0.0614724531769752,-0.0793352723121643,-0.0833553150296211,-0.077654480934143,-0.0397498570382595,0.0804199576377868,-0.1040505394339561,0.2752733826637268,-0.0595161914825439,-0.0110428715124726,0.0011818452039733,-0.1109391674399375,-0.0647500976920127,-0.1734218150377273,0.0941941812634468,-0.0715261995792388,0.1537089794874191,0.5765173435211182,0.2881754338741302
Dorsal Somatomotor,0.0061647961847484,0.0001906859397422,0.00432103080675,0.0431884303689003,-0.0341286435723304,0.0038121403194963,0.113903596997261,0.0083402134478092,0.009686722420156,0.2479197531938552,0.35512176156044,0.3184162676334381,0.3309239149093628,0.5125257968902588,0.441599577665329,0.0250977147370576,0.2004014551639557,-0.0999028161168098,0.3545222580432892,-0.1359259039163589,0.2814076840877533,0.0022299694828689,0.1712881326675415,0.0482311956584453,0.1088912710547447,0.0677985027432441,-0.1270372569561004,-0.0357898063957691,0.1823356002569198,0.200082927942276,-0.0110167041420936,-0.0002172791719203,-0.0294646471738815,-0.1662788242101669,-0.1544558852910995,-0.1436802148818969,-0.072806529700756,0.0019600975792855,-0.0087555143982172,0.011626387014985,-0.1998278051614761,-0.0799715891480445,-0.1063802242279052,-0.0563607104122638,-0.1263646632432937,-0.142533540725708,-0.2411046326160431,-0.2086598873138427,-0.0518944635987281,-0.1344733089208603,0.0373097732663154,0.0246252454817295,0.0932176411151886,0.0326724648475647,-0.0279709640890359,0.0303666517138481,0.0391755178570747,0.0136141963303089,0.2737938165664673,0.3630394041538238,0.3161456882953644,0.3250781297683716,0.4637138843536377,0.5622443556785583,0.5038531422615051,0.4559113681316376,-0.0302378013730049,0.4153560996055603,-0.0143915070220828,-0.0965379774570465,0.1059771999716758,-0.0454049073159694,0.1907384544610977,0.0422357991337776,0.2161258459091186,0.08622357994318,0.1995756179094314,0.1738923788070678,-0.0223670899868011,-0.0056760939769446,-0.161850094795227,-0.2756770253181457,-0.1695070713758468,-0.1705913841724395,-0.1765605360269546,-0.2697254717350006,-0.1202391609549522,-0.15495066344738,-0.1564715355634689,-0.2305145561695099,-0.0454020909965038,0.0516695752739906,0.0412720255553722,-0.0952754542231559,-0.1010463237762451,-0.0843882411718368,-0.1897150874137878,-0.2349478304386139,-0.0772078409790992,-0.1571961343288421
Lateral Somatomotor,-0.0158424843102693,0.0359177179634571,0.0229346249252557,0.0485128723084926,-0.0253413673490285,0.0031059498433023,0.0811376497149467,0.0245425831526517,0.0131835034117102,0.2504974007606506,0.3249863386154175,0.4027669727802276,0.607100248336792,0.2922314703464508,0.2012384235858917,0.0199853852391242,0.2147186696529388,-0.0575615391135215,0.1999283730983734,-0.1413377970457077,0.0942536368966102,0.1188074499368667,0.0811719223856926,0.0654005631804466,0.1202287599444389,0.1252246052026748,-0.1069770827889442,-0.0361202508211135,0.0595153868198394,0.1331538408994674,-0.0242489371448755,-0.0059140548110008,-0.0285951793193817,-0.0942456871271133,-0.0805538222193718,-0.1254012137651443,-0.0973160341382026,-0.0029050083830952,0.0035966313444077,0.0348600856959819,-0.1440742760896682,-0.0652327835559845,-0.0582419633865356,-0.075608879327774,-0.1075561642646789,-0.1201922893524169,-0.1626371294260025,-0.1658748537302017,-0.0593164414167404,-0.1301150918006897,0.009405156597495,0.0477706603705883,0.072199136018753,0.039457019418478,-0.0207486450672149,0.0196192413568496,0.0512306950986385,0.0181869324296712,0.2603623867034912,0.3730144798755646,0.4793892800807953,0.6350827217102051,0.3901259005069732,0.2916801571846008,0.220012828707695,0.2101480960845947,-0.0180123187601566,0.3039509356021881,-0.0088368281722068,-0.0570350475609302,0.0017310651019215,0.0531523041427135,0.075850062072277,0.063415303826332,0.2045470774173736,0.120943546295166,0.0729075744748115,0.1085899248719215,-0.0257578659802675,-0.0145348664373159,-0.0823118016123771,-0.1777774095535278,-0.1094520539045333,-0.0827732011675834,-0.1236017420887947,-0.1653799563646316,-0.1213630512356758,-0.1083574444055557,-0.1297093629837036,-0.1485539227724075,-0.0349156521260738,0.0397439189255237,0.0641101822257042,-0.0696883574128151,-0.0533876456320285,-0.0921030789613723,-0.1483925580978393,-0.1749652177095413,-0.0748262032866478,-0.1427776664495468
Salience,-0.1055286526679992,-0.0976605862379074,-0.1263474225997924,-0.065241627395153,-0.0538944266736507,-0.0780503749847412,-0.1631193310022354,-0.1394806653261184,-0.0773158147931099,-0.0820170938968658,-0.0829094052314758,-0.1028367727994918,-0.12663434445858,-0.1454642117023468,-0.1154178231954574,-0.152914747595787,-0.1096921488642692,-0.1023029014468193,-0.1414146721363067,0.0095461839810013,-0.154470220208168,-0.0515505485236644,-0.0591360367834568,-0.0221850760281085,0.0114158615469932,0.0815067961812019,0.2714704275131225,0.3069798946380615,-0.0075516076758503,-0.0019603555556386,-0.0549213923513889,-0.0964686274528503,0.0073634274303913,-0.00615487806499,0.0521144531667232,0.0960078909993171,0.2179215848445892,-0.0396640188992023,0.0039543970488011,-0.0683916732668876,0.0640394836664199,0.263360321521759,0.0377484634518623,0.2172159105539322,0.1327709704637527,0.1017852872610092,0.0761097446084022,0.1152002438902854,0.0130498288199305,0.1155689433217048,-0.1177924200892448,-0.1459728479385376,-0.1538922637701034,-0.0578466728329658,-0.0803522914648056,-0.088679514825344,-0.1689235717058181,-0.1066372245550155,-0.0889104530215263,-0.1064285114407539,-0.1337094604969024,-0.1481951028108596,-0.1715366393327713,-0.1758650988340377,-0.1775645762681961,-0.1161535233259201,-0.0980965495109558,-0.1587112545967102,-0.0569248758256435,-0.0988353714346885,-0.0984831005334854,-0.0240589175373315,-0.0652017593383789,-0.0281946174800395,-0.1042146980762481,0.0451842062175273,-0.0105013763532042,0.0410686135292053,-0.0581291057169437,-0.0834847763180732,0.0521765351295471,0.0961526855826377,0.1891758292913437,0.0942166373133659,0.2742102444171905,0.12677963078022,0.22868712246418,0.4346751570701599,0.0904710888862609,0.1531073004007339,0.0027268724516034,-0.0543258115649223,-0.0050437892787158,0.1770431846380233,0.1175319775938987,0.2139213234186172,0.1220612600445747,0.1549262106418609,-0.0030988354701548,0.117855779826641
