map,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2
Auditory,-0.4465770884973639,-0.22346901114566825,0.059093152661227284,-0.0951950043124233,-0.4699794239437612,0.19778025101134603,0.5146585214421447,-0.02768566186168156,0.17752263474114593,2.8666993803811773,2.314323379871474,2.395165450330074,1.2439403896191845,1.118874209359042,0.9579294169383255,-0.3019082017188386,0.6084642022014718,-0.9699554420113858,0.49345670589650276,-1.190079716955824,0.3802300974949481,-0.13004293507400666,-0.08374552412203393,0.7096400586744194,1.354804775645948,1.046360438329838,-0.6950538592520991,-0.25798597488863684,0.4170989163294344,0.4824752549549284,-0.5579246395086342,-0.23345159628840464,-0.5530827973224425,-1.2559319309685335,-0.9342097886133749,-0.8563930319813362,-0.8704548834068438,-0.06304293686510865,0.28066546027469935,0.6780681580534056,-1.2089719960184717,-0.3077987828805433,-0.5030783205960795,-0.7483267164069051,-0.9810264633340433,-1.0559537458207737,-1.4302901062078517,-1.468210416713834,-0.4856413201494732,-1.1816282364272968,-0.33247559201376975,-0.05693997252245455,0.007876507570986829,-0.15695608462162186,-0.07744495494742894,0.20166468971143417,0.03510891528977291,0.12341339451034976,2.8603833590063275,2.079141066738821,2.2545513011033167,1.3418221338217544,1.4224758096581545,1.1814880961632774,1.1964951508207404,0.9211649659309196,-0.23223416260911875,0.9333498551797358,-0.5208629300727806,-0.9670340158587903,-0.1573282905862883,-0.2232330813650869,0.005398000841807443,1.0767808444805929,1.4544775782679134,1.2658917678275743,0.6218615217158645,0.6006542062345415,-0.5565713716043814,-0.2839735307529963,-0.5843462432173726,-1.5444445013783732,-0.9257911767480815,-0.8029678353382362,-0.7881334175507456,-1.3686481366088772,-0.9580901601360057,-0.6924623855900524,-0.9555471382882875,-1.1042140227067336,-0.5432338748030855,0.502297546950985,1.1202013525688121,-0.5449109405079593,-0.15766918838534436,-0.8246169353356124,-1.221944161774702,-1.3979795554948853,-0.6471141500458043,-1.2894855544458672
Cingulo-Opercular,-0.7692533470835901,-0.205921694497907,0.022328094541595355,-0.2820909380914312,-0.21131824499226648,-0.008142478570290596,-0.09578478884006945,-0.06362918585560592,0.043210218982189234,0.7750136664103447,0.5156960593176276,1.3340946247517471,0.060025111196099774,-0.07534997844855743,0.07400807158754466,-0.12778044884754783,1.2948633455540255,-0.5416425757471763,0.39342702485973946,-0.277318369069683,0.540217867135041,0.6841799981469155,0.3414460630066138,1.9267337297199276,1.4879977574618102,2.449891237196618,1.0389658936095492,1.1536140249553175,1.1771113807977338,1.2827989742968628,-0.4779488334235843,-0.31549854322073356,-0.5956961637168702,-0.6031371475490689,-0.11886700185806418,-0.15552476963979467,-0.4087930426089308,-0.9148655040260575,-0.9269274402263863,0.09650823238145664,-1.6968550211326963,0.633207031997605,-0.05712748592189139,-1.351170739712614,-0.9327854800162483,-1.6206760747459268,-1.6411494042017882,-1.9607451151075317,-1.5126013400475817,-2.0660049241061365,-0.5626615150342238,-0.1566121305225883,-0.06325611158361913,-0.3302323455318233,0.14051141783344162,-0.17374561261183183,-0.08890376989184308,0.1433706458575103,0.9480572884358184,0.6726186625014601,1.221113014882865,0.1520273907265918,0.6395252189788133,-0.14541923959550274,0.5456873189843797,0.026160618709599726,-0.5193063099882158,0.47318350176140483,0.3184603440250433,-0.5280576685978184,0.4136239360898671,0.9467760557901981,0.715105612685819,1.00292720957145,2.2260353627728575,2.4051784094156097,1.46843026914808,2.0107694262556923,-0.6553014063415945,-0.3380038097789742,1.204265092301259,-1.9623558659279041,-0.6097110940480347,0.30882992989847996,1.1836794360301663,-0.9190446114042042,-0.5592289489511528,0.7761504452005737,-0.32414831675775063,-0.6867703920304015,-1.2150255338879714,-0.10882774856226914,-0.1125267275367449,-0.0850995139844204,0.9334264458261726,-1.4459616895316636,-1.461315901121355,-1.3438390192370493,-1.5281754922545092,-2.263114605570023
Dorsal Attention,0.0605594801370099,-0.03300795816252873,-0.1748191574875476,-0.3994691632012738,-0.6240153339162775,-0.6597279807783222,0.5395080332290332,0.19791762210960126,-0.6779016527335772,-0.15251440082377668,-0.4750472361331673,0.3512803740717709,0.19675448176110524,0.17469064688320765,-0.13797014843166533,1.3741329395718012,2.3232933077454634,1.8437695417240119,2.5516520487485255,1.1784458991107591,1.7688535426625513,1.4699130308440043,1.1046570802250772,0.7323355550033567,0.1792905737148635,0.5844225458116723,-0.15713343216609083,-0.3175922593254657,0.3651369416728215,0.11925493693366895,-0.05822535035370486,-0.2017421481624216,-0.2290646820420262,1.3087914221158563,0.6845992819153526,-0.30383259154697045,-1.1798979153100233,-0.984006672439621,-1.2232367729914202,-0.3737107416496152,-1.5135109688044894,-0.564091473338613,-0.2413716872719189,-1.764893381628902,-0.5912770214352715,-1.760050060080597,-0.9710077549578849,-0.9199547552728952,-1.2781461587225351,-1.8226008968947396,0.29922442804579635,0.05357864739361465,1.4155034058942049,-0.5395430473843074,-0.6310155808719673,-0.5585452588428674,0.6085930902843376,-0.6958140997198767,-0.10068380454459773,-0.270152828901299,0.28212763483424463,0.11649557160894115,0.050133470203487886,0.21083237566328622,1.1419994078668994,-0.1708739840625933,0.049237077279043216,1.9801063719816947,2.4696095996490284,1.8643139308754033,1.4774939489696237,1.1646558578292365,1.4713707877504076,-0.06777246583968494,1.460512356739957,0.5515309316895928,0.42357791603290906,0.2995866839761968,-0.22269386118686627,-0.22044005736179142,1.238016151323367,-0.927110059068565,-0.412170617278095,0.7152405169907116,-0.08531755183535057,-0.4620805971874182,-1.1399027543551505,-0.7050608300369089,-0.02706617106445696,-1.3275759847066204,-0.7853405029078442,-0.5157710614925954,-0.8104435289068602,-0.46966273539032677,-0.14621328838962908,-1.8314717577874142,-1.7252137283798963,-0.7734425660474783,-1.0734843153457725,-1.9683166539139212
Default Mode,0.2319116733906642,-0.4658609666604222,-0.6977139471329337,-0.09872936395447347,-0.37506444817461637,-0.4138052352923377,-0.2339427518314686,-0.6054167679073007,-0.4522291166795138,-0.670546086552225,-0.46888420201409114,-1.0355924049118164,-0.5049359741745759,-0.5664819009701804,-0.4272942392796679,-0.5822715235519991,-1.399809783642008,-0.344152494001813,-1.176243899859437,0.12279095754880266,-0.9859659346949372,-0.9354176614257493,-0.6700021625558442,-1.0586625739579936,-0.9348290304209621,-1.4298239453343398,-0.08898009107505919,-0.11619443409378236,-0.6086736836150479,-0.8364980283103396,0.208159113747561,0.10230522748555936,0.48771189358997447,0.015677476899579813,-0.2246693617223269,0.2541522264533049,1.2008888795435866,0.9951881462807757,1.0375030253784427,0.10066674056800896,2.1379339781255573,0.16542029165007296,0.19356596585999988,2.0742126258860862,0.8260421897495863,2.039633614857308,1.4901870516835576,1.9010826053152567,1.4210286238135186,2.5552900664668132,-0.010050121365670118,-0.6110145452806437,-0.643062639131537,-0.10217117797422029,-0.6688087356824136,-0.23685536946615196,-0.6441249885733609,-0.633730778207316,-0.7666350423365587,-0.6046518113791907,-1.0045812972226371,-0.5254489158669672,-0.9498114243411543,-0.6101686291624234,-0.9572393483718038,-0.4136734815065939,0.6096907049968469,-1.063217142711569,-1.0355323446645168,-0.37904299992804596,-0.6449381691513862,-0.9100291533067136,-0.9447602087453232,-0.4518472471341811,-1.598136971746725,-1.4503753715770844,-0.8539111037254238,-1.1451466246532978,0.38309874517323456,0.14206578596702057,-0.8457690173622975,1.8399516894176617,0.6428001675760665,-0.4315539514475407,-0.17242124142018325,0.9141590946006498,1.3068116186566603,0.38685433678564607,0.4710666830257866,1.5591397326253462,1.1758417273571216,0.21021162873601607,0.379261788158231,0.3920179455300702,-0.2096265693777662,2.193187376579053,1.975048423115005,1.5805103589979288,1.4198197084303674,2.78413854659523
Frontoparietal,-0.3016998610187365,-0.4361471333656191,-0.8762466590173691,-0.41902316319818017,-0.4059270571918129,-1.0873574037169016,-0.8609009725594725,-0.7897941636314844,-1.0950424296533605,-0.8106497406191354,-1.1939512213529504,-0.9134099212595691,-0.7632504805070643,-1.204273890484826,-0.9691604273702582,0.7480664672759454,0.2833286121996216,1.3945287449232615,0.20983609194108913,0.41086178469229245,-0.42513849078154875,1.6254021907273921,0.1864630237108464,0.23158890358207163,-0.3735968490578057,0.041137289711579865,0.23683309143650008,0.3078599295916139,-0.749419191612093,-0.576313577753423,0.20609498913546884,-0.15395081245690262,0.6791350983223496,2.9161243735621,2.6964036743680238,0.024498637277182822,0.06388436936766972,-0.7086484556372813,-0.20940786760042693,-0.10423459716980107,0.5074472905599123,0.07289706315275846,1.3434809379504,-1.3080780421395914,0.6082636767073367,-0.4540621963472026,1.5067143382874046,1.1108023629705346,-1.0652144626227218,-0.7704659500883236,-0.21254959207393567,-0.7445017287447188,0.2368880550267251,-0.4146888169238736,-0.8812568845005041,-1.04581132542837,-0.8442145791400176,-1.1000953816321226,-0.8545270670091878,-1.138969096008832,-0.8617736895139384,-0.7958484471482901,-1.2932057408878268,-1.248017381130939,-1.1939935127518804,-0.9455961994062708,-0.12896418812653093,-0.501114118766208,2.054951752732851,1.1808796460945252,-0.19713964183391913,1.520113489143102,0.14868389841043403,-0.19175880098443984,-0.44786620183624487,-0.11016707536633465,-0.6447452381507293,-0.48596191980938386,0.16056196753020077,-0.12828613343421877,2.365172912941276,2.120489846057676,1.5124637060390844,2.7457718340525106,0.7026876221851927,2.072889397232999,0.39085188339940086,0.7539570239057407,0.24780677400098164,0.945594580842735,0.29492850768499024,-0.6544609473905515,-0.3564775344250223,0.586718340926229,0.8854641303239132,-1.1792832415100083,-0.12876378258797933,1.0092885603277895,-0.8528246206539002,-0.7395889649216697
Medial Parietal,-0.13934817406167538,-0.4394465924778824,0.10937257097266032,-0.5872699001530832,0.19253582146612083,0.49606151218679595,-0.9629168411452554,-0.27293570287196733,1.1867200199905268,-0.7461733283545795,-0.7150429065875261,-0.6791348850238643,-0.948192397772831,-0.9184889587532596,-0.7384655224543412,-0.6833169162426586,-0.6135705174271525,0.08653523228908742,-0.9761381155414253,1.3110848754500464,-0.7061467369061546,-0.7657154495040599,-0.6490928224164507,-0.15631164151470534,-0.19544859832152847,-0.08821501901475534,0.6590502841590082,0.648868030030475,0.6619300801027004,-0.6219283261771547,-0.31284607089609273,-0.48780415619957956,-0.24562436732914308,0.49522993487745215,-0.09964177311705676,4.223399450793612,2.855130455246225,-0.6977997497546713,-0.8346049843604144,-0.9094199697749293,-0.15329106962544914,-0.10867479829364945,-1.021589753781297,0.09299671903823192,0.4150211167295321,-0.864304725547326,-0.4829998558759708,-0.30354451271440447,1.5043197977645646,1.8396075055085956,-0.416284211584509,-0.4390408641032414,-1.0234886996119468,-0.593669597749877,0.6624690935927747,0.7278535725065604,-0.6631581814971376,0.7031608598808486,-0.7228282038339463,-0.639035859559218,-0.8006223372549419,-1.2335200479460666,-0.9642691603009428,-1.2403989955315637,-0.9293239347261599,-0.7197776006493017,-0.5417474049138606,-1.1333002995992392,0.28284660183195076,0.33416047400546517,0.13063104387023397,-0.4128388919533644,-0.39554701073722565,-0.5176759281750148,-0.3718979569998828,0.09453757327968255,0.8108103697398238,0.040407298521642356,-0.2792203054272212,-0.48145293827655544,0.33974523453988364,0.7388588119214922,0.47043710887046203,0.4246990517391241,1.1081305262682972,0.29514061749870074,3.086848178253546,1.0805234864674373,3.3315218017837966,0.39572870804438093,-0.47745392258448066,-0.4864038195992053,-0.7432492671787525,-0.0024831555621024916,-0.6649082351833338,0.22696392145738292,-0.48568475428652846,0.42862468176686686,1.7952763649445702,2.2174879374273564
Occipital Parietal,2.5373348196725787,-0.3827347037489593,0.8336760392818353,-0.8914118232065543,-0.172735317897778,1.2088105052170766,0.1956414008901416,0.22950423427801278,0.6893844708438358,-0.7011097743804819,-0.5202092107356083,-0.8607598449651134,-0.5856762301659412,-0.6637389715807693,-0.40847780951293966,0.36412780376437887,-0.46862918181173235,1.01556383071987,-0.47760391414407244,2.4602662325143014,-0.23121201091196242,-0.5042736928365772,0.11206202860290877,-0.86399476181832,-0.5159036900784355,-0.9230180510050153,-0.3360439567829561,-0.6294391248740192,0.6585239750403447,-0.985081540719621,-0.05864295538587705,0.057199211401147455,-0.301344416955591,0.03194607538696448,-0.24448881359228644,1.8172129578764278,0.29153453899637666,-0.22060096621629222,-0.8826776045619245,-0.8220151729830132,0.375648838432909,-0.7607119401604866,-1.2237977594901603,0.6092583153091485,-0.035851858082425886,-0.40703521844191887,-0.2926842442722002,1.098666194531149,3.6507671177595062,1.7853752104546583,1.638142479577219,0.14143899483534383,-0.2571305526218035,-0.9247106925734143,0.4017172295260883,1.6131517996664853,-0.08733276088325703,-0.13632698983036187,-0.7117570408613803,-0.5245528269414255,-0.9275269719117347,-0.7425914332020964,-1.0760865857385655,-0.7118996536411766,-0.626467361939603,-0.46551953573483446,1.0548371882807157,-0.6836072216745257,-0.4933173200043986,0.8672073586924594,0.5317760528784133,-0.7767705836997765,-0.02463571783577111,-0.7806949938004294,-0.9992794467282442,-0.9421922591291,0.36011094605348093,-1.0105067269830077,-0.057216498064002204,-0.00025729819812198696,-1.2015433427585858,0.39250813461904804,-0.5843761226496534,-0.6122660443893106,-0.5727152664626922,-0.30974368423629206,0.5239605727434249,-0.7558436701978977,1.8757986393089532,-0.44687693367592496,-0.1105827210408125,-0.025771086818465596,-0.8036350270275522,-0.4831882977171354,-1.2371220006912012,0.6195222485624389,-0.5301989800947189,1.0324191209290483,3.9657442153530207,1.9653094290765913
Dorsal Somatomotor,-0.15444897603112367,-0.18507834636346673,-0.16390199417987175,0.035371860205286765,-0.3610341640622896,-0.16651108483161012,0.39792978731818995,-0.14329557272167537,-0.13639199707971128,1.085033022832444,1.63465964168766,1.4464699162534012,1.5105968480790826,2.4416729528250447,2.078032955265698,-0.05737956317663012,0.8414058569064278,-0.6982595259230496,1.631585976407093,-0.8829505429074127,1.2567262449102452,-0.17462290307677933,0.6921413305122253,0.061226208253461874,0.3722315023479596,0.16154814248759655,-0.8373782905830116,-0.36955097564003975,0.7487818949063083,0.8397727621301948,-0.2425388362435327,-0.1871699908051192,-0.3371217709094818,-1.03857050943285,-0.9779540896284961,-0.9227070342500604,-0.5593363796750703,-0.17600654116482098,-0.23094567588718,-0.12644730192695386,-1.2105767362495272,-0.59607176791932,-0.7314693134381541,-0.47501836933585956,-0.8339298905589273,-0.9168280152932551,-1.4222037706362762,-1.2558589797897504,-0.4521198418502339,-0.8755030623227975,0.0052318798454591715,-0.05980192151931177,0.29187252064485825,-0.01854368355696343,-0.3294636309541411,-0.030365628833052452,0.014797585812084376,-0.11625576792906163,1.2176898096242026,1.6752535372145465,1.4348286152792584,1.4806254028556873,2.191413402130638,2.6965808951065178,2.397208097056664,2.151409761573866,-0.3410857463497998,1.9434821727498757,-0.2598415111140296,-0.6810079377882935,0.35729100766045374,-0.4188477704412147,0.7918634790608008,0.030487702783665513,0.9220250901699348,0.25601384362369284,0.8371717744965469,0.7054933471595247,-0.30073246796352604,-0.2151574321782559,-1.0158643343224516,-1.5994570478473993,-1.0551217905285746,-1.0606810816766914,-1.0912850302520904,-1.5689433259248229,-0.802524330506188,-0.9804908261063234,-0.9882883647123042,-1.367908258831848,-0.4188333311208225,0.07885484218698363,0.025546418368269586,-0.6745349585331237,-0.7041223101942292,-0.6187160220287764,-1.1587286510523511,-1.3906377354910278,-0.5819019815075742,-0.9920033955732641
Lateral Somatomotor,-0.31815569743856986,-0.005875361919858985,-0.0842051301962511,0.07011388951268702,-0.3754644839597235,-0.20383575441092958,0.2669461271618478,-0.07450397539596974,-0.1430357252126736,1.288729612478011,1.738137255491156,2.2074044041277516,3.440190619123493,1.5405201519332705,0.9915397012389957,-0.10199852199637817,1.0728688997307307,-0.5698556495095869,0.983635887346902,-1.0752956745932003,0.34607767413858864,0.49421606304838483,0.2671529014913423,0.1720009289747991,0.5027911293453349,0.5329321288953576,-0.8679901598268617,-0.44049578598939887,0.13649440528004753,0.5807708983558515,-0.3688736196335066,-0.25825536554247075,-0.3950954252849368,-0.7911789354836345,-0.7085729954091551,-0.9791468700047299,-0.8097029935951412,-0.2401011469185085,-0.20087536830216435,-0.012256282875228192,-1.091805436078844,-0.6161379027293429,-0.5739607942141658,-0.6787391006893722,-0.8714838818293141,-0.9477203184874881,-1.2037990878308114,-1.2233329688362502,-0.5804433492475752,-1.007586701185251,-0.16583129708098712,0.06563596665278357,0.21301816835433662,0.015477998332305586,-0.3477556112717003,-0.10420754609949445,0.08651109384158073,-0.11284897122338267,1.3482471758721049,2.0279012712448563,2.6696831198387363,3.609014846808717,2.131138120044624,1.5371939620886492,1.1048096900152364,1.0452936549531433,-0.33124677128035074,1.6112261843944153,-0.2758890803617396,-0.5666792137255553,-0.21213072717914633,0.09810457088879336,0.23504498360747567,0.16002343603696223,1.011501515204605,0.5071035877907022,0.21729232859780623,0.4325715559697958,-0.37797730899890264,-0.31026656002877606,-0.719179259885856,-1.2951436257263063,-0.8829221882275236,-0.7219629817721428,-0.9682902737365173,-1.2203471475183532,-0.9547837745339534,-0.8763181757510073,-1.0051388527315688,-1.1188320995700956,-0.43322818524350026,0.01720892422487813,0.1642157855674586,-0.6430193297295949,-0.544673660267601,-0.7782521236187135,-1.1178585520857072,-1.2781770727762443,-0.6740170492678418,-1.0839827136846654
Salience,-0.7662525098201508,-0.7051289446047829,-0.9279844236182979,-0.4532802391260333,-0.3651288019876812,-0.552785794344159,-1.2136492894783635,-1.0300108395623329,-0.5470793176415639,-0.5836014978299584,-0.5905334741341811,-0.7453404730247614,-0.9302133939889907,-1.0764943931006965,-0.8430771483805466,-1.1343743462783182,-0.7985968899213844,-0.7411930600953419,-1.0450352921949895,0.1277135420756419,-1.1464581323658334,-0.3469202382661504,-0.4058485773259948,-0.118792732085288,0.14223824895909445,0.6867440499949098,2.1624883782147313,2.438345890204351,-0.005111719716682426,0.03832427140538751,-0.373106848962107,-0.695869138376683,0.11075666155665966,0.005738861454206201,0.45840779851044056,0.7993967103002901,1.7464908512315511,-0.25457899087829194,0.0842733962332544,-0.47775156711787425,0.551048142350923,2.099484513558638,0.34680471063344104,1.7410087764538373,1.084992988004311,0.844278773805242,0.6448167179481114,0.9484937017899474,0.1549318257170622,0.9513579663384827,-0.8615243525808713,-1.0804457654524604,-1.1419682416985948,-0.39583207298983836,-0.5706683762135021,-0.6353589307052828,-1.2587398957058695,-0.7748645197255086,-0.6371529884983235,-0.773243118868739,-0.9851768745870632,-1.0977094911492906,-1.2790396746829997,-1.3126655825167048,-1.3258680790515003,-0.8487924807691124,-0.7085157525058656,-1.1794048727539486,-0.3886710353965477,-0.7142553367403232,-0.7115186982543016,-0.13334978682165977,-0.4529705216382752,-0.1654782299919542,-0.7560449715523284,0.4045697424745006,-0.028027181821949243,0.3725975037650715,-0.39802617047950406,-0.5950032803371599,0.45889008611401894,0.8005215560594184,1.5231776548020026,0.7854812442244363,2.1837728168632764,1.0384488916716674,1.8301236022531864,3.43035450760882,0.7563837174577743,1.2429770365871096,0.07473729477339339,-0.36848004244413174,0.014370424048563027,1.428924447449067,0.9666079206217293,1.7154145706330828,1.0017939340740185,1.257107354338269,0.029479919121429287,0.9691233984796958
