label,hemi-L_div-Vis_lab-1,hemi-L_div-Vis_lab-2,hemi-L_div-Vis_lab-3,hemi-L_div-Vis_lab-4,hemi-L_div-Vis_lab-5,hemi-L_div-Vis_lab-6,hemi-L_div-Vis_lab-7,hemi-L_div-Vis_lab-8,hemi-L_div-Vis_lab-9,hemi-L_div-SomMot_lab-1,hemi-L_div-SomMot_lab-2,hemi-L_div-SomMot_lab-3,hemi-L_div-SomMot_lab-4,hemi-L_div-SomMot_lab-5,hemi-L_div-SomMot_lab-6,hemi-L_div-DorsAttn_lab-Post+1,hemi-L_div-DorsAttn_lab-Post+2,hemi-L_div-DorsAttn_lab-Post+3,hemi-L_div-DorsAttn_lab-Post+4,hemi-L_div-DorsAttn_lab-Post+5,hemi-L_div-DorsAttn_lab-Post+6,hemi-L_div-DorsAttn_lab-FEF+1,hemi-L_div-DorsAttn_lab-FEF+2,hemi-L_div-SalVentAttn_lab-ParOper+1,hemi-L_div-SalVentAttn_lab-FrOper+1,hemi-L_div-SalVentAttn_lab-FrOper+2,hemi-L_div-SalVentAttn_lab-PFCl+1,hemi-L_div-SalVentAttn_lab-Med+1,hemi-L_div-SalVentAttn_lab-Med+2,hemi-L_div-SalVentAttn_lab-Med+3,hemi-L_div-Limbic_lab-OFC+1,hemi-L_div-Limbic_lab-TempPole+1,hemi-L_div-Limbic_lab-TempPole+2,hemi-L_div-Cont_lab-Par+1,hemi-L_div-Cont_lab-PFCl+1,hemi-L_div-Cont_lab-pCun+1,hemi-L_div-Cont_lab-Cing+1,hemi-L_div-Default_lab-Temp+1,hemi-L_div-Default_lab-Temp+2,hemi-L_div-Default_lab-Temp+3,hemi-L_div-Default_lab-Temp+4,hemi-L_div-Default_lab-PFC+1,hemi-L_div-Default_lab-PFC+2,hemi-L_div-Default_lab-PFC+3,hemi-L_div-Default_lab-PFC+4,hemi-L_div-Default_lab-PFC+5,hemi-L_div-Default_lab-PFC+6,hemi-L_div-Default_lab-PFC+7,hemi-L_div-Default_lab-PCC+1,hemi-L_div-Default_lab-PCC+2,hemi-R_div-Vis_lab-1,hemi-R_div-Vis_lab-2,hemi-R_div-Vis_lab-3,hemi-R_div-Vis_lab-4,hemi-R_div-Vis_lab-5,hemi-R_div-Vis_lab-6,hemi-R_div-Vis_lab-7,hemi-R_div-Vis_lab-8,hemi-R_div-SomMot_lab-1,hemi-R_div-SomMot_lab-2,hemi-R_div-SomMot_lab-3,hemi-R_div-SomMot_lab-4,hemi-R_div-SomMot_lab-5,hemi-R_div-SomMot_lab-6,hemi-R_div-SomMot_lab-7,hemi-R_div-SomMot_lab-8,hemi-R_div-DorsAttn_lab-Post+1,hemi-R_div-DorsAttn_lab-Post+2,hemi-R_div-DorsAttn_lab-Post+3,hemi-R_div-DorsAttn_lab-Post+4,hemi-R_div-DorsAttn_lab-Post+5,hemi-R_div-DorsAttn_lab-FEF+1,hemi-R_div-DorsAttn_lab-FEF+2,hemi-R_div-SalVentAttn_lab-TempOccPar+1,hemi-R_div-SalVentAttn_lab-TempOccPar+2,hemi-R_div-SalVentAttn_lab-FrOper+1,hemi-R_div-SalVentAttn_lab-Med+1,hemi-R_div-SalVentAttn_lab-Med+2,hemi-R_div-Limbic_lab-OFC+1,hemi-R_div-Limbic_lab-TempPole+1,hemi-R_div-Cont_lab-Par+1,hemi-R_div-Cont_lab-Par+2,hemi-R_div-Cont_lab-PFCl+1,hemi-R_div-Cont_lab-PFCl+2,hemi-R_div-Cont_lab-PFCl+3,hemi-R_div-Cont_lab-PFCl+4,hemi-R_div-Cont_lab-PFCmp+1,hemi-R_div-Cont_lab-PFCmp+2,hemi-R_div-Cont_lab-PFCmp+3,hemi-R_div-Default_lab-Par+1,hemi-R_div-Default_lab-Temp+1,hemi-R_div-Default_lab-Temp+2,hemi-R_div-Default_lab-Temp+3,hemi-R_div-Default_lab-PFCv+1,hemi-R_div-Default_lab-PFCv+2,hemi-R_div-Default_lab-PFCm+1,hemi-R_div-Default_lab-PFCm+2,hemi-R_div-Default_lab-PFCm+3,hemi-R_div-Default_lab-PCC+1,hemi-R_div-Default_lab-PCC+2
hemi-L_div-Vis_lab-1,0.0,46.10433,33.629105,65.12685,65.5301,44.202957,53.40281,68.87589,68.90191,42.89896,39.142433,50.079803,65.28631,79.84529,84.48822,35.72342,66.09432,76.30277,68.37182,82.27631,86.50797,65.56302,83.54681,59.452072,39.356995,54.336025,91.322205,78.063866,66.80145,90.20081,67.737564,41.27599,36.06323,70.04587,79.36802,71.01246,56.77235,44.937344,38.47517,47.68695,66.72825,56.605957,73.12727,84.489944,95.324684,100.10194,83.377754,88.28921,42.308754,59.465405,59.49345,64.240776,82.01792,80.74339,60.669437,57.070015,87.45105,81.66136,86.12776,77.0125,92.898026,101.20105,100.81196,103.72931,99.61828,92.203094,90.32823,97.771,94.850914,93.53583,95.258644,98.254845,99.49728,90.7386,98.71591,81.510284,74.395325,88.02913,80.53681,76.42563,104.39664,100.68049,107.97486,107.00357,108.74225,106.71389,61.228363,84.99463,78.08866,96.515236,90.115204,87.34965,86.07235,86.18143,100.63813,90.068405,106.81964,103.37933,55.65647,62.56179
hemi-L_div-Vis_lab-2,46.10433,0.0,25.434364,26.772802,30.512196,31.446945,35.994644,40.112328,46.319187,66.72718,64.86242,77.82939,89.21889,92.62364,95.09613,33.71037,81.20975,64.46511,77.66509,75.98462,85.216286,96.547066,104.67105,68.681984,78.30328,92.85188,128.89273,110.496216,76.351494,112.38039,110.978836,82.23313,56.99407,67.69282,116.928116,55.535625,72.69213,80.787735,58.083397,50.169563,58.011032,99.41651,113.873985,126.13889,138.11517,135.15367,111.96216,117.81701,39.59739,57.800888,75.31049,56.106346,78.5069,53.852547,40.81291,53.486202,70.65537,59.702717,103.01129,95.404495,113.1249,119.05544,116.19273,114.27833,103.91568,102.86937,84.48665,108.406136,96.35696,84.5976,92.94632,122.32801,117.86054,95.18518,109.14082,109.37326,84.95671,111.9984,120.38734,103.865005,108.619446,94.38537,146.21469,139.20808,142.2963,130.8103,76.171,118.30284,69.42004,96.19396,103.79696,113.85919,98.74217,120.67681,131.36588,130.443,140.61877,130.71335,54.3249,61.371735
hemi-L_div-Vis_lab-3,33.629105,25.434364,0.0,39.86145,35.39577,22.337906,39.763657,43.657814,42.284782,57.48656,51.33696,67.11801,77.79413,80.914345,80.86654,35.88088,72.15607,58.916206,67.305786,65.881714,75.50257,83.12362,89.73934,62.24214,65.49489,78.22728,112.48073,92.33585,61.68634,95.478,95.31879,71.37702,53.9781,60.44655,102.10215,48.55295,55.50737,72.13852,52.375515,47.79787,55.47681,85.12905,100.253716,108.81654,122.04199,117.45566,97.30595,101.43873,26.128521,44.74804,60.703945,46.983593,68.245804,53.280277,33.930336,40.24691,63.2074,54.39545,85.98579,77.37466,95.30447,101.07194,98.35609,97.57412,88.89252,87.109055,72.948944,91.541,81.69235,73.67019,80.507744,103.56465,99.93135,80.58452,92.650925,91.08181,68.527405,93.944565,103.31131,88.86745,93.39958,82.356026,127.943726,120.19428,123.09395,111.91489,58.63771,99.56485,58.449684,82.341644,89.45239,96.95595,83.12007,102.82166,112.97275,112.50547,121.96275,111.77634,39.41293,47.096848
hemi-L_div-Vis_lab-4,65.12685,26.772802,39.86145,0.0,27.433409,39.16936,37.66591,31.99491,42.301422,79.75152,78.19147,90.96169,99.69019,98.01232,99.87917,46.422234,88.71504,61.40979,82.855644,74.97114,85.02335,109.34075,113.02643,75.36999,95.48497,108.96212,143.56052,123.95858,82.459816,121.25087,129.80173,101.70045,72.579956,68.68171,131.86526,53.037254,82.54819,97.97712,71.443146,57.979324,57.5841,117.45351,130.68105,143.63979,155.6617,148.8946,123.00467,129.18333,48.59529,62.370213,90.07175,64.56478,86.15427,52.353745,44.266747,61.601685,70.364235,55.28473,114.7818,107.19752,125.284256,129.2522,124.48296,120.13008,107.14719,107.98215,88.474205,115.6247,99.90607,83.67567,93.161705,134.45218,126.18809,102.87446,117.382614,124.245575,91.72078,122.166214,138.71826,120.791595,113.5932,95.10535,163.21698,154.0105,156.6528,141.80476,85.66633,132.27945,69.48316,100.7204,116.1323,129.3144,110.04149,137.66298,146.64822,147.72638,154.27321,142.25023,62.228737,66.53697
hemi-L_div-Vis_lab-5,65.5301,30.512196,35.39577,27.433409,0.0,31.712437,50.419502,35.19972,33.300056,86.54925,80.51566,96.8024,104.55639,99.508644,94.99718,57.573452,95.196884,61.2893,85.78301,68.297424,83.11994,112.30078,111.46556,83.89714,98.33717,110.21298,142.29239,118.40985,77.003265,115.675735,126.695816,103.18024,82.38389,71.65588,133.10791,46.405975,75.141945,104.228134,80.9076,69.30209,65.432915,118.01216,132.86919,139.00676,153.70905,144.51286,123.88925,127.10368,42.005947,54.233887,75.10043,45.413013,65.84442,32.200214,25.89147,44.906696,49.67352,39.246506,97.89829,91.69447,108.9912,113.062614,109.62568,105.86622,93.74437,98.643166,67.85372,99.32049,83.725624,68.474655,82.32679,120.242935,114.67215,83.20949,99.26809,110.8276,81.19975,114.11082,131.27118,108.257706,95.5047,77.07706,154.02177,141.93694,146.52531,128.9566,76.01084,124.97377,56.894245,81.298874,98.29067,114.888504,91.8356,126.48642,133.42487,141.21349,146.84076,132.06807,47.096466,54.234356
hemi-L_div-Vis_lab-6,44.202957,31.446945,22.337906,39.16936,31.712437,0.0,39.09614,35.1166,29.619225,61.85127,53.317017,70.78266,78.01094,75.16003,72.39295,44.446114,70.619774,47.813957,61.949013,53.32584,64.857445,84.688866,85.09288,61.362167,72.656395,82.870766,114.12931,91.34193,53.634014,90.01105,102.33055,82.18425,64.27932,52.498898,105.15099,35.30458,49.96486,81.56623,59.059227,50.094044,49.639755,92.17714,106.199295,113.10566,127.10567,117.1469,96.05664,99.33615,19.99144,34.43142,64.061455,46.38484,66.47688,48.664635,27.418139,35.386864,54.379173,41.858715,83.9725,74.520706,93.22204,96.56207,91.62262,88.85599,78.23539,77.946815,65.95684,84.20749,71.515144,61.18438,68.170845,100.70859,93.133606,75.60199,86.96622,91.8172,60.150307,89.140114,108.801125,94.31306,84.916466,71.332214,130.95251,120.24757,122.4676,107.64897,52.49468,98.80276,45.857353,74.233,90.19058,99.38378,81.6638,106.274635,114.06387,116.12192,120.88688,108.06785,32.295284,36.889954
hemi-L_div-Vis_lab-7,53.40281,35.994644,39.763657,37.66591,50.419502,39.09614,0.0,32.518436,46.31567,51.08324,52.078392,61.555553,68.6043,69.932274,79.94541,31.194613,56.215923,46.283493,54.070152,63.79719,65.21233,80.43613,86.97718,42.270157,72.8366,84.485214,118.318405,103.62254,64.34566,99.77864,113.731255,87.42385,52.52184,44.077713,105.16042,47.999557,66.994385,75.86353,44.05686,26.365242,30.600698,96.53666,106.07584,125.65437,134.45805,126.44929,94.30836,103.370674,40.893787,52.393074,94.99775,79.13232,100.74372,76.12563,57.599934,67.52964,85.617195,66.14812,115.709076,104.52612,123.83249,125.849785,117.918945,113.08938,100.35571,93.72775,99.57267,112.750725,98.73539,85.29697,85.29421,127.487495,113.50265,109.66174,118.72796,119.188095,80.12877,104.34473,127.3834,121.52062,115.15159,99.95864,150.83388,144.12102,142.47107,131.14998,73.12506,114.33657,67.5867,106.54259,123.297966,128.56342,115.15782,130.55403,140.51753,131.81975,135.6448,127.048744,63.430607,61.90456
hemi-L_div-Vis_lab-8,68.87589,40.112328,43.657814,31.99491,35.19972,35.1166,32.518436,0.0,27.00075,74.13212,69.60006,83.71731,87.42045,78.63,79.17123,52.76522,74.496895,38.505184,64.46899,51.902977,61.319393,98.76818,95.15307,62.893932,93.38099,103.08777,133.23346,111.98801,63.83845,103.44581,128.91597,106.51485,77.64993,48.00661,123.21776,32.201805,68.38773,99.757225,69.854095,51.96839,40.255756,115.39082,126.411125,138.63924,150.7646,136.76382,108.53763,114.16725,39.622406,45.629223,92.86295,68.35974,87.98351,56.84535,42.881348,57.212578,64.53849,42.76951,109.58572,99.709724,118.797066,119.00595,110.36849,103.37611,88.21252,88.19468,82.43564,102.4508,84.2184,66.14388,71.56311,124.70068,109.61713,96.9635,107.913994,119.63442,74.74033,106.35819,137.406,124.13997,100.78704,80.7739,158.36804,146.43669,146.66576,128.81323,71.64424,121.17254,51.214565,90.609024,116.826866,128.38286,107.33059,135.369,141.82602,142.49384,142.2739,128.2951,54.05583,51.89591
hemi-L_div-Vis_lab-9,68.90191,46.319187,42.284782,42.301422,33.300056,29.619225,46.31567,27.00075,0.0,78.44675,69.175934,86.59788,88.6856,75.937065,69.42012,62.689144,77.81064,35.954823,63.877007,39.875694,54.924637,98.034996,89.03342,69.13957,93.804115,101.30085,128.1265,102.77499,53.68353,93.261505,123.962006,106.74638,85.521805,48.433117,120.79045,20.774366,57.13672,103.68996,77.15099,62.052013,48.00862,113.45141,125.487724,131.46515,145.84561,128.50726,105.15009,107.73271,31.589619,32.958115,80.73612,55.834297,72.81857,46.600834,30.701355,42.228485,47.33245,26.618223,93.025566,83.43181,102.17467,101.406,92.77859,85.70897,70.72793,74.104774,64.02587,83.99297,65.21168,47.7613,55.786327,108.68857,94.23917,78.62531,89.26639,105.6523,59.830853,94.1709,128.76747,113.172646,81.33909,61.260857,147.37242,132.55539,133.80255,113.10522,58.25655,110.5315,34.0742,71.17023,101.663025,114.678055,90.814896,123.573395,127.773575,133.66899,131.30675,114.58778,38.284184,35.68704
hemi-L_div-SomMot_lab-1,42.89896,66.72718,57.48656,79.75152,86.54925,61.85127,51.08324,74.13212,78.44675,0.0,24.500822,23.089348,34.95975,56.16958,73.066956,45.73575,35.26882,69.470726,45.938095,78.99632,73.13158,40.040707,63.46651,31.575054,32.481426,40.83071,75.684875,71.98111,60.902866,78.157715,75.08002,56.09561,37.64031,54.468433,60.229416,74.567406,58.315086,37.963722,23.039873,31.807325,52.272205,53.261044,59.224636,85.8392,89.76652,89.42024,58.722588,69.83021,55.936607,63.973766,92.03204,94.87366,112.71766,106.42347,83.1834,80.97122,109.18444,95.57873,108.719696,95.917366,112.752625,115.86937,109.38053,109.033676,102.95466,88.16,113.60672,109.94978,105.19456,102.391014,95.131424,110.614044,99.891045,114.34639,116.897964,100.73504,76.71169,83.09291,94.7182,105.95544,118.889404,114.155174,117.087006,117.69701,112.36434,112.28001,66.03868,83.3033,85.22536,115.245544,119.92934,112.47088,112.70479,104.79343,117.61674,94.7479,102.636086,102.912735,75.07902,72.8102
