,label
1,hemi-L_div-Vis_lab-1
2,hemi-L_div-Vis_lab-2
3,hemi-L_div-Vis_lab-3
4,hemi-L_div-Vis_lab-4
5,hemi-L_div-Vis_lab-5
6,hemi-L_div-Vis_lab-6
7,hemi-L_div-Vis_lab-7
8,hemi-L_div-Vis_lab-8
9,hemi-L_div-Vis_lab-9
10,hemi-L_div-Vis_lab-10
11,hemi-L_div-Vis_lab-11
12,hemi-L_div-Vis_lab-12
13,hemi-L_div-Vis_lab-13
14,hemi-L_div-Vis_lab-14
15,hemi-L_div-SomMot_lab-1
16,hemi-L_div-SomMot_lab-2
17,hemi-L_div-SomMot_lab-3
18,hemi-L_div-SomMot_lab-4
19,hemi-L_div-SomMot_lab-5
20,hemi-L_div-SomMot_lab-6
21,hemi-L_div-SomMot_lab-7
22,hemi-L_div-SomMot_lab-8
23,hemi-L_div-SomMot_lab-9
24,hemi-L_div-SomMot_lab-10
25,hemi-L_div-SomMot_lab-11
26,hemi-L_div-SomMot_lab-12
27,hemi-L_div-SomMot_lab-13
28,hemi-L_div-SomMot_lab-14
29,hemi-L_div-SomMot_lab-15
30,hemi-L_div-SomMot_lab-16
31,hemi-L_div-DorsAttn_lab-Post+1
32,hemi-L_div-DorsAttn_lab-Post+2
33,hemi-L_div-DorsAttn_lab-Post+3
34,hemi-L_div-DorsAttn_lab-Post+4
35,hemi-L_div-DorsAttn_lab-Post+5
36,hemi-L_div-DorsAttn_lab-Post+6
37,hemi-L_div-DorsAttn_lab-Post+7
38,hemi-L_div-DorsAttn_lab-Post+8
39,hemi-L_div-DorsAttn_lab-Post+9
40,hemi-L_div-DorsAttn_lab-Post+10
41,hemi-L_div-DorsAttn_lab-FEF+1
42,hemi-L_div-DorsAttn_lab-FEF+2
43,hemi-L_div-DorsAttn_lab-PrCv+1
44,hemi-L_div-SalVentAttn_lab-ParOper+1
45,hemi-L_div-SalVentAttn_lab-ParOper+2
46,hemi-L_div-SalVentAttn_lab-ParOper+3
47,hemi-L_div-SalVentAttn_lab-FrOper+1
48,hemi-L_div-SalVentAttn_lab-FrOper+2
49,hemi-L_div-SalVentAttn_lab-FrOper+3
50,hemi-L_div-SalVentAttn_lab-FrOper+4
51,hemi-L_div-SalVentAttn_lab-PFCl+1
52,hemi-L_div-SalVentAttn_lab-Med+1
53,hemi-L_div-SalVentAttn_lab-Med+2
54,hemi-L_div-SalVentAttn_lab-Med+3
55,hemi-L_div-Limbic_lab-OFC+1
56,hemi-L_div-Limbic_lab-OFC+2
57,hemi-L_div-Limbic_lab-TempPole+1
58,hemi-L_div-Limbic_lab-TempPole+2
59,hemi-L_div-Limbic_lab-TempPole+3
60,hemi-L_div-Limbic_lab-TempPole+4
61,hemi-L_div-Cont_lab-Par+1
62,hemi-L_div-Cont_lab-Par+2
63,hemi-L_div-Cont_lab-Par+3
64,hemi-L_div-Cont_lab-Temp+1
65,hemi-L_div-Cont_lab-PFCl+1
66,hemi-L_div-Cont_lab-PFCl+2
67,hemi-L_div-Cont_lab-PFCl+3
68,hemi-L_div-Cont_lab-PFCl+4
69,hemi-L_div-Cont_lab-PFCl+5
70,hemi-L_div-Cont_lab-PFCl+6
71,hemi-L_div-Cont_lab-pCun+1
72,hemi-L_div-Cont_lab-Cing+1
73,hemi-L_div-Cont_lab-Cing+2
74,hemi-L_div-Default_lab-Temp+1
75,hemi-L_div-Default_lab-Temp+2
76,hemi-L_div-Default_lab-Temp+3
77,hemi-L_div-Default_lab-Temp+4
78,hemi-L_div-Default_lab-Temp+5
79,hemi-L_div-Default_lab-Temp+6
80,hemi-L_div-Default_lab-Temp+7
81,hemi-L_div-Default_lab-Temp+8
82,hemi-L_div-Default_lab-Temp+9
83,hemi-L_div-Default_lab-PFC+1
84,hemi-L_div-Default_lab-PFC+2
85,hemi-L_div-Default_lab-PFC+3
86,hemi-L_div-Default_lab-PFC+4
87,hemi-L_div-Default_lab-PFC+5
88,hemi-L_div-Default_lab-PFC+6
89,hemi-L_div-Default_lab-PFC+7
90,hemi-L_div-Default_lab-PFC+8
91,hemi-L_div-Default_lab-PFC+9
92,hemi-L_div-Default_lab-PFC+10
93,hemi-L_div-Default_lab-PFC+11
94,hemi-L_div-Default_lab-PFC+12
95,hemi-L_div-Default_lab-PFC+13
96,hemi-L_div-Default_lab-PCC+1
97,hemi-L_div-Default_lab-PCC+2
98,hemi-L_div-Default_lab-PCC+3
99,hemi-L_div-Default_lab-PCC+4
100,hemi-L_div-Default_lab-PHC+1
101,hemi-R_div-Vis_lab-1
102,hemi-R_div-Vis_lab-2
103,hemi-R_div-Vis_lab-3
104,hemi-R_div-Vis_lab-4
105,hemi-R_div-Vis_lab-5
106,hemi-R_div-Vis_lab-6
107,hemi-R_div-Vis_lab-7
108,hemi-R_div-Vis_lab-8
109,hemi-R_div-Vis_lab-9
110,hemi-R_div-Vis_lab-10
111,hemi-R_div-Vis_lab-11
112,hemi-R_div-Vis_lab-12
113,hemi-R_div-Vis_lab-13
114,hemi-R_div-Vis_lab-14
115,hemi-R_div-Vis_lab-15
116,hemi-R_div-SomMot_lab-1
117,hemi-R_div-SomMot_lab-2
118,hemi-R_div-SomMot_lab-3
119,hemi-R_div-SomMot_lab-4
120,hemi-R_div-SomMot_lab-5
121,hemi-R_div-SomMot_lab-6
122,hemi-R_div-SomMot_lab-7
123,hemi-R_div-SomMot_lab-8
124,hemi-R_div-SomMot_lab-9
125,hemi-R_div-SomMot_lab-10
126,hemi-R_div-SomMot_lab-11
127,hemi-R_div-SomMot_lab-12
128,hemi-R_div-SomMot_lab-13
129,hemi-R_div-SomMot_lab-14
