,label
1,hemi-L_div-Vis_lab-1
2,hemi-L_div-Vis_lab-2
3,hemi-L_div-Vis_lab-3
4,hemi-L_div-Vis_lab-4
5,hemi-L_div-Vis_lab-5
6,hemi-L_div-Vis_lab-6
7,hemi-L_div-Vis_lab-7
8,hemi-L_div-Vis_lab-8
9,hemi-L_div-Vis_lab-9
10,hemi-L_div-Vis_lab-10
11,hemi-L_div-Vis_lab-11
12,hemi-L_div-Vis_lab-12
13,hemi-L_div-Vis_lab-13
14,hemi-L_div-Vis_lab-14
15,hemi-L_div-Vis_lab-15
16,hemi-L_div-Vis_lab-16
17,hemi-L_div-Vis_lab-17
18,hemi-L_div-Vis_lab-18
19,hemi-L_div-Vis_lab-19
20,hemi-L_div-Vis_lab-20
21,hemi-L_div-Vis_lab-21
22,hemi-L_div-Vis_lab-22
23,hemi-L_div-Vis_lab-23
24,hemi-L_div-Vis_lab-24
25,hemi-L_div-Vis_lab-25
26,hemi-L_div-Vis_lab-26
27,hemi-L_div-Vis_lab-27
28,hemi-L_div-Vis_lab-28
29,hemi-L_div-Vis_lab-29
30,hemi-L_div-Vis_lab-30
31,hemi-L_div-Vis_lab-31
32,hemi-L_div-SomMot_lab-1
33,hemi-L_div-SomMot_lab-2
34,hemi-L_div-SomMot_lab-3
35,hemi-L_div-SomMot_lab-4
36,hemi-L_div-SomMot_lab-5
37,hemi-L_div-SomMot_lab-6
38,hemi-L_div-SomMot_lab-7
39,hemi-L_div-SomMot_lab-8
40,hemi-L_div-SomMot_lab-9
41,hemi-L_div-SomMot_lab-10
42,hemi-L_div-SomMot_lab-11
43,hemi-L_div-SomMot_lab-12
44,hemi-L_div-SomMot_lab-13
45,hemi-L_div-SomMot_lab-14
46,hemi-L_div-SomMot_lab-15
47,hemi-L_div-SomMot_lab-16
48,hemi-L_div-SomMot_lab-17
49,hemi-L_div-SomMot_lab-18
50,hemi-L_div-SomMot_lab-19
51,hemi-L_div-SomMot_lab-20
52,hemi-L_div-SomMot_lab-21
53,hemi-L_div-SomMot_lab-22
54,hemi-L_div-SomMot_lab-23
55,hemi-L_div-SomMot_lab-24
56,hemi-L_div-SomMot_lab-25
57,hemi-L_div-SomMot_lab-26
58,hemi-L_div-SomMot_lab-27
59,hemi-L_div-SomMot_lab-28
60,hemi-L_div-SomMot_lab-29
61,hemi-L_div-SomMot_lab-30
62,hemi-L_div-SomMot_lab-31
63,hemi-L_div-SomMot_lab-32
64,hemi-L_div-SomMot_lab-33
65,hemi-L_div-SomMot_lab-34
66,hemi-L_div-SomMot_lab-35
67,hemi-L_div-SomMot_lab-36
68,hemi-L_div-SomMot_lab-37
69,hemi-L_div-DorsAttn_lab-Post+1
70,hemi-L_div-DorsAttn_lab-Post+2
71,hemi-L_div-DorsAttn_lab-Post+3
72,hemi-L_div-DorsAttn_lab-Post+4
73,hemi-L_div-DorsAttn_lab-Post+5
74,hemi-L_div-DorsAttn_lab-Post+6
75,hemi-L_div-DorsAttn_lab-Post+7
76,hemi-L_div-DorsAttn_lab-Post+8
77,hemi-L_div-DorsAttn_lab-Post+9
78,hemi-L_div-DorsAttn_lab-Post+10
79,hemi-L_div-DorsAttn_lab-Post+11
80,hemi-L_div-DorsAttn_lab-Post+12
81,hemi-L_div-DorsAttn_lab-Post+13
82,hemi-L_div-DorsAttn_lab-Post+14
83,hemi-L_div-DorsAttn_lab-Post+15
84,hemi-L_div-DorsAttn_lab-Post+16
85,hemi-L_div-DorsAttn_lab-Post+17
86,hemi-L_div-DorsAttn_lab-FEF+1
87,hemi-L_div-DorsAttn_lab-FEF+2
88,hemi-L_div-DorsAttn_lab-FEF+3
89,hemi-L_div-DorsAttn_lab-FEF+4
90,hemi-L_div-DorsAttn_lab-PrCv+1
91,hemi-L_div-DorsAttn_lab-PrCv+2
92,hemi-L_div-SalVentAttn_lab-ParOper+1
93,hemi-L_div-SalVentAttn_lab-ParOper+2
94,hemi-L_div-SalVentAttn_lab-ParOper+3
95,hemi-L_div-SalVentAttn_lab-ParOper+4
96,hemi-L_div-SalVentAttn_lab-TempOcc+1
97,hemi-L_div-SalVentAttn_lab-FrOper+1
98,hemi-L_div-SalVentAttn_lab-FrOper+2
99,hemi-L_div-SalVentAttn_lab-FrOper+3
100,hemi-L_div-SalVentAttn_lab-FrOper+4
101,hemi-L_div-SalVentAttn_lab-FrOper+5
102,hemi-L_div-SalVentAttn_lab-FrOper+6
103,hemi-L_div-SalVentAttn_lab-FrOper+7
104,hemi-L_div-SalVentAttn_lab-FrOper+8
105,hemi-L_div-SalVentAttn_lab-FrOper+9
106,hemi-L_div-SalVentAttn_lab-PFCl+1
107,hemi-L_div-SalVentAttn_lab-Med+1
108,hemi-L_div-SalVentAttn_lab-Med+2
109,hemi-L_div-SalVentAttn_lab-Med+3
110,hemi-L_div-SalVentAttn_lab-Med+4
111,hemi-L_div-SalVentAttn_lab-Med+5
112,hemi-L_div-SalVentAttn_lab-Med+6
113,hemi-L_div-SalVentAttn_lab-Med+7
114,hemi-L_div-Limbic_lab-OFC+1
115,hemi-L_div-Limbic_lab-OFC+2
116,hemi-L_div-Limbic_lab-OFC+3
117,hemi-L_div-Limbic_lab-OFC+4
118,hemi-L_div-Limbic_lab-OFC+5
119,hemi-L_div-Limbic_lab-TempPole+1
120,hemi-L_div-Limbic_lab-TempPole+2
121,hemi-L_div-Limbic_lab-TempPole+3
122,hemi-L_div-Limbic_lab-TempPole+4
123,hemi-L_div-Limbic_lab-TempPole+5
124,hemi-L_div-Limbic_lab-TempPole+6
125,hemi-L_div-Limbic_lab-TempPole+7
126,hemi-L_div-Limbic_lab-TempPole+8
