label,hemi-L_lab-Thalamus,hemi-L_lab-Caudate,hemi-L_lab-Putamen,hemi-L_lab-Pallidum,hemi-L_lab-Hippocampus,hemi-L_lab-Amygdala,hemi-L_lab-Accumbens+area,hemi-L_lab-VentralDC,hemi-R_lab-Thalamus,hemi-R_lab-Caudate,hemi-R_lab-Putamen,hemi-R_lab-Pallidum,hemi-R_lab-Hippocampus,hemi-R_lab-Amygdala,hemi-R_lab-Accumbens+area,hemi-R_lab-VentralDC
hemi-L_lab-Thalamus,0.0,31.805384,29.399494,22.877485,29.636816,33.6546,34.23845,22.365145,26.52502,40.926727,45.508163,37.68988,45.59421,46.283955,39.289856,30.601976
hemi-L_lab-Caudate,31.805384,0.0,24.583529,23.423706,44.680332,36.095947,22.019907,35.25166,38.858917,32.327404,44.03976,39.229374,57.492504,49.47438,30.478086,41.671143
hemi-L_lab-Putamen,29.399494,24.583529,0.0,15.595734,31.525482,23.690468,23.771952,28.736393,43.929005,44.73761,53.591118,47.144466,60.080837,53.417706,37.852592,42.756252
hemi-L_lab-Pallidum,22.877485,23.423706,15.595734,0.0,26.926699,19.66087,19.996378,20.845064,36.2975,40.184193,47.230972,40.029713,52.049816,46.103992,32.454956,34.422726
hemi-L_lab-Hippocampus,29.636816,44.680332,31.525482,26.926699,0.0,22.165394,38.535297,23.364065,44.742985,58.29274,60.091087,52.141075,54.03583,52.980675,48.593697,39.397327
hemi-L_lab-Amygdala,33.6546,36.095947,23.690468,19.66087,22.165394,0.0,24.146637,21.99764,45.583225,50.596344,53.565186,46.41448,53.234657,45.92988,36.895977,37.004627
hemi-L_lab-Accumbens+area,34.23845,22.019907,23.771952,19.996378,38.535297,24.146637,0.0,26.84381,38.088764,31.486675,37.730736,32.37253,48.427544,36.55188,18.397001,32.444916
hemi-L_lab-VentralDC,22.365145,35.25166,28.736393,20.845064,23.364065,21.99764,26.84381,0.0,30.272379,42.69727,43.072205,34.841946,39.782974,36.880108,32.55313,23.797882
hemi-R_lab-Thalamus,26.52502,38.858917,43.929005,36.2975,44.742985,45.583225,38.088764,30.272379,0.0,31.20939,29.53249,22.685986,30.545807,33.337086,33.08507,22.045656
hemi-R_lab-Caudate,40.926727,32.327404,44.73761,40.184193,58.29274,50.596344,31.486675,42.69727,31.20939,0.0,24.630295,23.434402,45.049377,36.396633,22.411081,35.87101
hemi-R_lab-Putamen,45.508163,44.03976,53.591118,47.230972,60.091087,53.565186,37.730736,43.072205,29.53249,24.630295,0.0,15.431184,31.46396,23.332634,23.40179,28.9681
hemi-R_lab-Pallidum,37.68988,39.229374,47.144466,40.029713,52.141075,46.41448,32.37253,34.841946,22.685986,23.434402,15.431184,0.0,27.169834,19.538116,19.718906,21.200502
hemi-R_lab-Hippocampus,45.59421,57.492504,60.080837,52.049816,54.03583,53.234657,48.427544,39.782974,30.545807,45.049377,31.46396,27.169834,0.0,21.899694,38.59719,23.643068
hemi-R_lab-Amygdala,46.283955,49.47438,53.417706,46.103992,52.980675,45.92988,36.55188,36.880108,33.337086,36.396633,23.332634,19.538116,21.899694,0.0,24.302395,22.135727
hemi-R_lab-Accumbens+area,39.289856,30.478086,37.852592,32.454956,48.593697,36.895977,18.397001,32.55313,33.08507,22.411081,23.40179,19.718906,38.59719,24.302395,0.0,27.092802
hemi-R_lab-VentralDC,30.601976,41.671143,42.756252,34.422726,39.397327,37.004627,32.444916,23.797882,22.045656,35.87101,28.9681,21.200502,23.643068,22.135727,27.092802,0.0
