A,B,rho,p
mri_original,mri_inverted,-0.44461538461538463,0.025956806489614393
meg-delta_original,meg-delta_inverted,-0.6892307692307692,0.00013864377397777142
mri_original,meg-delta_original,0.26384615384615384,0.20251547162065686
mri_inverted,meg-delta_inverted,0.5661538461538461,0.0031763397406322624
mri_original,meg-delta_inverted,-0.35,0.08631994521775348
mri_inverted,meg-delta_original,-0.19076923076923075,0.36101054681468103
meg-theta_original,meg-theta_inverted,-0.6246153846153846,0.0008449110535915363
mri_original,meg-theta_original,0.2684615384615385,0.1944383348505003
mri_inverted,meg-theta_inverted,0.6823076923076923,0.00017186541538249153
mri_original,meg-theta_inverted,-0.35,0.08631994521775348
mri_inverted,meg-theta_original,-0.30000000000000004,0.14511308137364481
meg-alpha_original,meg-alpha_inverted,-0.7361538461538463,2.7321127361627187e-05
mri_original,meg-alpha_original,0.19,0.3629865382459393
mri_inverted,meg-alpha_inverted,0.5761538461538462,0.0025765355357845778
mri_original,meg-alpha_inverted,-0.1815384615384615,0.38513664752146737
mri_inverted,meg-alpha_original,-0.3553846153846154,0.08126735918803056
meg-beta_original,meg-beta_inverted,-0.6953846153846154,0.00011398652156746228
mri_original,meg-beta_original,0.5553846153846154,0.00395097193227781
mri_inverted,meg-beta_inverted,0.7692307692307693,6.9993767826127116e-06
mri_original,meg-beta_inverted,-0.5253846153846153,0.006997085226581306
mri_inverted,meg-beta_original,-0.4930769230769231,0.012263960333497645
meg-lgamma_original,meg-lgamma_inverted,-0.6361538461538461,0.0006303153693575994
mri_original,meg-lgamma_original,0.1623076923076923,0.4382499479372728
mri_inverted,meg-lgamma_inverted,0.5507692307692308,0.0043288477428478885
mri_original,meg-lgamma_inverted,-0.3146153846153846,0.12558660108939315
mri_inverted,meg-lgamma_original,-0.23846153846153845,0.2510011134189242
meg-hgamma_original,meg-hgamma_inverted,-0.7984615384615384,1.7225612004762617e-06
mri_original,meg-hgamma_original,0.13999999999999999,0.504477192636605
mri_inverted,meg-hgamma_inverted,0.4646153846153846,0.019287095935427063
mri_original,meg-hgamma_inverted,-0.15076923076923077,0.4719066833093053
mri_inverted,meg-hgamma_original,-0.2453846153846154,0.2370897001583282
