A,B,sub,rho,p
mri_original,mri_inverted,sub-102816,-0.5046153846153847,0.010097580807118
mri_original,mri_inverted,sub-106521,-0.5923076923076923,0.0018114076181762059
mri_original,mri_inverted,sub-113922,-0.363076923076923,0.07444186246005678
mri_original,mri_inverted,sub-153732,-0.4476923076923077,0.02482425890186218
mri_original,mri_inverted,sub-162935,-0.4884615384615385,0.01323170210075434
mri_original,mri_inverted,sub-164636,-0.3730769230769231,0.06623255594005266
mri_original,mri_inverted,sub-172029,-0.43538461538461537,0.029606414240314072
mri_original,mri_inverted,sub-175540,-0.3223076923076923,0.11611273112778325
mri_original,mri_inverted,sub-177746,-0.41615384615384615,0.03853034835168473
mri_original,mri_inverted,sub-179245,-0.4053846153846154,0.04438775841520087
mri_original,mri_inverted,sub-181232,-0.6199999999999999,0.0009469550692005896
mri_original,mri_inverted,sub-187547,-0.5915384615384616,0.0018428212334481071
mri_original,mri_inverted,sub-189349,-0.3653846153846153,0.07248196046410411
mri_original,mri_inverted,sub-195041,-0.5415384615384615,0.00517674554086912
mri_original,mri_inverted,sub-198653,-0.4769230769230769,0.015929112849083892
mri_original,mri_inverted,sub-212318,-0.5753846153846153,0.0026189622644539542
mri_original,mri_inverted,sub-212823,-0.6207692307692307,0.0009292439659245147
mri_original,mri_inverted,sub-255639,-0.4415384615384615,0.02713064164922772
mri_original,mri_inverted,sub-257845,-0.27615384615384614,0.18147181209216096
mri_original,mri_inverted,sub-287248,-0.39692307692307693,0.04946387217123112
mri_original,mri_inverted,sub-353740,-0.42923076923076925,0.03226015868478607
mri_original,mri_inverted,sub-406836,-0.5599999999999999,0.0036013919598933035
mri_original,mri_inverted,sub-512835,-0.51,0.009201208926110364
mri_original,mri_inverted,sub-568963,-0.6146153846153846,0.001079290156864722
mri_original,mri_inverted,sub-599671,-0.21846153846153843,0.294120570294703
mri_original,mri_inverted,sub-725751,-0.20384615384615384,0.3283892638949898
mri_original,mri_inverted,sub-783462,-0.3569230769230769,0.0798657416684689
mri_original,mri_inverted,sub-825048,-0.28615384615384615,0.16552764285064253
mri_original,mri_inverted,sub-891667,-0.5084615384615384,0.009450280771159735
meg-delta_original,meg-delta_inverted,sub-102816,-0.6269230769230768,0.0007975541564573209
meg-delta_original,meg-delta_inverted,sub-106521,-0.7953846153846152,2.0173515218204257e-06
