parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,CMRglu,treat,True,7,106,0.3567743884644788,0.9108527564566643,0.3398882585529952,0.9908000373894869
Schaefer200,original,CMRglu,session,True,7,106,0.3567743884644788,0.8171187748080233,0.366023917331033,0.9941690760749288
Schaefer200,original,CMRglu,treat*session,True,7,106,0.3567743884644788,1.3686766741860135,0.24203937954305738,0.9562060546784221
Schaefer200,original,SV2A,treat,True,7,106,-0.28777001354724024,1.7182673866614853,0.18991622317535103,0.907219307614339
Schaefer200,original,SV2A,session,True,7,106,-0.28777001354724024,0.015628119887279128,0.900513671088897,0.9999999999951421
Schaefer200,original,SV2A,treat*session,True,7,106,-0.28777001354724024,0.7534058013425773,0.38540007156597034,0.9958926018458407
Schaefer200,original,HDAC,treat,True,7,106,0.13698773029754854,2.84618955658688,0.09159078331621778,0.6618814273547362
Schaefer200,original,HDAC,session,True,7,106,0.13698773029754854,0.9193451874563109,0.3376469634083714,0.9904412018760906
Schaefer200,original,HDAC,treat*session,True,7,106,0.13698773029754854,0.21008093390262558,0.6467039762482408,0.999992070415586
Schaefer200,original,VMAT2,treat,True,7,106,-0.5586735152554548,0.00020527619089697697,0.9885687297153145,1.0
Schaefer200,original,VMAT2,session,True,7,106,-0.5586735152554548,0.021673189120636725,0.8829598204986288,0.9999999999695858
Schaefer200,original,VMAT2,treat*session,True,7,106,-0.5586735152554548,3.5278643437419315,0.06034547043770149,0.5047131351757008
Schaefer200,original,mGluR5,treat,True,7,106,-0.5148522076366787,0.8033965166804962,0.3700798031144751,0.9945765828561605
Schaefer200,original,mGluR5,session,True,7,106,-0.5148522076366787,2.245782301824908,0.13397913528945155,0.802848197899573
Schaefer200,original,mGluR5,treat*session,True,7,106,-0.5148522076366787,2.863768233709828,0.0905950411331685,0.6576740296464137
Schaefer200,original,NMDA,treat,True,7,106,-0.23854237312784674,0.6131090394462889,0.4336195975887177,0.9983669135022164
Schaefer200,original,NMDA,session,True,7,106,-0.23854237312784674,0.021600515493864065,0.8831548012017871,0.9999999999701529
Schaefer200,original,NMDA,treat*session,True,7,106,-0.23854237312784674,0.5285157795049418,0.4672315257931654,0.9991813802830285
Schaefer200,original,GABAa,treat,True,7,106,-0.04718815307566001,1.636437467573926,0.20081496335783136,0.9203743294524374
Schaefer200,original,GABAa,session,True,7,106,-0.04718815307566001,0.46203821715855825,0.49667294716738386,0.9995690829703376
Schaefer200,original,GABAa,treat*session,True,7,106,-0.04718815307566001,0.02068340686089775,0.8856447659556252,0.9999999999765953
Schaefer200,original,GABAa5,treat,True,7,106,-0.4546658684106978,0.08045044695198099,0.7766879047458259,0.9999999552987127
Schaefer200,original,GABAa5,session,True,7,106,-0.4546658684106978,0.7407172894921383,0.3894312015714604,0.9961866561884147
Schaefer200,original,GABAa5,treat*session,True,7,106,-0.4546658684106978,2.0912442447019646,0.14814537082331997,0.836339420137272
Schaefer200,original,NET,treat,True,7,106,-0.8356121973966841,4.583684609515474,0.032277736876239374,0.30952197783059765
Schaefer200,original,NET,session,True,7,106,-0.8356121973966841,0.6490691204995994,0.42044568995811027,0.9978829390217957
Schaefer200,original,NET,treat*session,True,7,106,-0.8356121973966841,11.20753132627026,0.0008146602315749406,0.009157695140244893
Schaefer200,original,A4B2,treat,True,7,106,0.007273581677663204,3.769450471495864,0.05219677872271584,0.45400631673350866
Schaefer200,original,A4B2,session,True,7,106,0.007273581677663204,4.649239750490913,0.031067303875236145,0.29970980900014865
Schaefer200,original,A4B2,treat*session,True,7,106,0.007273581677663204,0.0006772257633491379,0.9792385452973852,1.0
Schaefer200,original,M1,treat,True,7,106,-0.23699808636834238,2.7920384538121716,0.09473364962957122,0.6748540276490884
Schaefer200,original,M1,session,True,7,106,-0.23699808636834238,0.2422478405208207,0.6225872990520711,0.9999832900992106
Schaefer200,original,M1,treat*session,True,7,106,-0.23699808636834238,0.46516099225710583,0.4952218024671863,0.9995548487468012
Schaefer200,original,VAChT,treat,True,7,106,-0.6892663659388651,0.8508833973034277,0.3563025490487466,0.9930762583325136
Schaefer200,original,VAChT,session,True,7,106,-0.6892663659388651,2.8000045409883128,0.09426403986750433,0.6729449338396445
Schaefer200,original,VAChT,treat*session,True,7,106,-0.6892663659388651,6.2479048138695665,0.012434029601855377,0.13171830979915555
Schaefer200,original,FDOPA,treat,True,7,106,-0.5042876568926772,0.03786374342324026,0.8457169995082704,0.9999999993121664
Schaefer200,original,FDOPA,session,True,7,106,-0.5042876568926772,0.17495181110713728,0.6757479574536693,0.9999969891241695
