parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,CMRglu,treat,True,9,152,,2.0842611361268,0.352702424354115,0.9923845440994433
Schaefer200,original,CMRglu,session,True,9,152,,1.4089529344098484,0.23523028985590339,0.9505805220093811
Schaefer200,original,CMRglu,treat*session,True,9,152,,1.3021532152648387,0.5214840407321892,0.9997427723556236
Schaefer200,original,SV2A,treat,True,9,152,,1.575104618325534,0.4549570276745123,0.9988926097407697
Schaefer200,original,SV2A,session,True,9,152,,0.01189369384034144,0.9131563182664223,0.9999999999987443
Schaefer200,original,SV2A,treat*session,True,9,152,,2.251098562543947,0.32447419080459816,0.9877091186713378
Schaefer200,original,HDAC,treat,True,9,152,,3.0837336693655515,0.21398126068590667,0.932799704235362
Schaefer200,original,HDAC,session,True,9,152,,0.735539309417621,0.39109355401716306,0.9961636114255837
Schaefer200,original,HDAC,treat*session,True,9,152,,4.9264732880813185,0.08515887546248832,0.6314253112829934
Schaefer200,original,VMAT2,treat,True,9,152,,0.1157431421861696,0.9437711471506652,0.9999999999999905
Schaefer200,original,VMAT2,session,True,9,152,,0.07673801520969314,0.781767611299395,0.9999999614028235
Schaefer200,original,VMAT2,treat*session,True,9,152,,3.3915183927728574,0.18345989405448554,0.8969840019166873
Schaefer200,original,mGluR5,treat,True,9,152,,4.3724044909944935,0.11234258906023113,0.7372049883273659
Schaefer200,original,mGluR5,session,True,9,152,,1.9172587335031805,0.16615917108714207,0.8696783901242211
Schaefer200,original,mGluR5,treat*session,True,9,152,,2.980807071981817,0.22528172790908155,0.9428726073460287
Schaefer200,original,NMDA,treat,True,9,152,,1.0520170219116727,0.5909590750335705,0.9999557102860983
Schaefer200,original,NMDA,session,True,9,152,,4.924474646909703e-05,0.9944009228722204,1.0
Schaefer200,original,NMDA,treat*session,True,9,152,,0.47076324513183826,0.7902692075129394,0.9999999752808668
Schaefer200,original,GABAa,treat,True,9,152,,1.9327827848263794,0.3804534712212494,0.9953410240445172
Schaefer200,original,GABAa,session,True,9,152,,0.7683947302569433,0.3807141139177186,0.9953629568761717
Schaefer200,original,GABAa,treat*session,True,9,152,,2.9407853050413033,0.22983522208757964,0.946526994089222
Schaefer200,original,GABAa5,treat,True,9,152,,0.3475334404967303,0.8404929447760392,0.9999999988521849
Schaefer200,original,GABAa5,session,True,9,152,,1.0212361914532162,0.31222596044181167,0.9849652502940196
Schaefer200,original,GABAa5,treat*session,True,9,152,,2.268661992922159,0.3216372258158582,0.9871176995362562
Schaefer200,original,NET,treat,True,9,152,,4.090533430858447,0.1293456868859262,0.7884453275853651
