parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,CMRglu,treat,True,7,98,0.3031974883094002,0.1655353872980779,0.6841105201272543,0.9999962179332521
Schaefer200,original,CMRglu,session,True,7,98,0.3031974883094002,2.1669177292596036,0.1410086117637018,0.8073345679487105
Schaefer200,original,CMRglu,treat*session,True,7,98,0.3031974883094002,0.8830958713208203,0.3473551450196092,0.990179744136824
Schaefer200,original,SV2A,treat,True,7,98,-0.5511166599176536,0.1731932596971094,0.6772893107535704,0.9999952329091127
Schaefer200,original,SV2A,session,True,7,98,-0.5511166599176536,0.1758473731452179,0.6749665018431139,0.9999948477097272
Schaefer200,original,SV2A,treat*session,True,7,98,-0.5511166599176536,2.057178131141885,0.15149048469203266,0.8313317245254761
Schaefer200,original,HDAC,treat,True,7,98,-0.5366810775337763,2.033974902956968,0.1538178570852311,0.8362771141484927
Schaefer200,original,HDAC,session,True,7,98,-0.5366810775337763,0.6802757371375772,0.4094917912109418,0.9966783451035391
Schaefer200,original,HDAC,treat*session,True,7,98,-0.5366810775337763,2.508428546611228,0.11323880046195287,0.7280349408534192
Schaefer200,original,VMAT2,treat,True,7,98,-0.02555790198883856,5.054004498878694e-06,0.9982062681991885,1.0
Schaefer200,original,VMAT2,session,True,7,98,-0.02555790198883856,0.5307954973768756,0.46627260778867585,0.9988891601045741
Schaefer200,original,VMAT2,treat*session,True,7,98,-0.02555790198883856,0.006652577253413703,0.9349939603120874,0.9999999999998623
Schaefer200,original,mGluR5,treat,True,7,98,-0.04030150518606413,0.7827659979694958,0.37629653201238,0.9939924526967157
Schaefer200,original,mGluR5,session,True,7,98,-0.04030150518606413,2.5301972109186934,0.1116862568349814,0.722831388366967
Schaefer200,original,mGluR5,treat*session,True,7,98,-0.04030150518606413,0.017509874493721593,0.8947273271416698,0.9999999999744548
Schaefer200,original,NMDA,treat,True,7,98,-0.18818633035476276,0.0056464055025269005,0.9401012792976001,0.9999999999999433
Schaefer200,original,NMDA,session,True,7,98,-0.18818633035476276,0.12378343574167708,0.7249667317717574,0.9999991565941724
Schaefer200,original,NMDA,treat*session,True,7,98,-0.18818633035476276,0.2977386734295487,0.5853035545897551,0.9999278376131933
Schaefer200,original,GABAa,treat,True,7,98,-0.4988694042086681,0.1261715274057326,0.722435032871894,0.9999990685672308
Schaefer200,original,GABAa,session,True,7,98,-0.4988694042086681,1.3170233101779345,0.25112697293703107,0.956420785359969
Schaefer200,original,GABAa,treat*session,True,7,98,-0.4988694042086681,2.3863485849954893,0.12239922521579583,0.7569738106543016
Schaefer200,original,GABAa5,treat,True,7,98,-0.05680517915580142,0.07711762475689327,0.7812421978763424,0.999999929391742
Schaefer200,original,GABAa5,session,True,7,98,-0.05680517915580142,2.304771234826266,0.12897726851673794,0.7759982797062611
Schaefer200,original,GABAa5,treat*session,True,7,98,-0.05680517915580142,0.029944414845728937,0.8626164132327785,0.999999999542931
Schaefer200,original,NET,treat,True,7,98,0.5856104184834847,0.4553643109587818,0.4997984754634792,0.9994499579131061
Schaefer200,original,NET,session,True,7,98,0.5856104184834847,0.7552769203994951,0.38481065203375475,0.9948236642134
Schaefer200,original,NET,treat*session,True,7,98,0.5856104184834847,3.5816478074351563,0.058421173838443224,0.4791039697534667
Schaefer200,original,A4B2,treat,True,7,98,0.36235034483151274,1.417082948391406,0.23388413276148765,0.9442311263750731
Schaefer200,original,A4B2,session,True,7,98,0.36235034483151274,1.251220136303581,0.2633195657685216,0.9635212544771847
Schaefer200,original,A4B2,treat*session,True,7,98,0.36235034483151274,1.5105186208870758,0.21905996648328266,0.9313612057266268
Schaefer200,original,M1,treat,True,7,98,-0.6410593883737359,0.15255573973386682,0.6961048690096164,0.9999975135119908
Schaefer200,original,M1,session,True,7,98,-0.6410593883737359,0.2219707795017338,0.6375423687909751,0.9999832202195424
Schaefer200,original,M1,treat*session,True,7,98,-0.6410593883737359,2.836175376056792,0.09216334453316272,0.6492191494286219
Schaefer200,original,VAChT,treat,True,7,98,0.3851255851972463,0.6421714524051911,0.4229255749591815,0.9974113483311285
Schaefer200,original,VAChT,session,True,7,98,0.3851255851972463,1.6044886877164233,0.20526825644888236,0.917025863201605
Schaefer200,original,VAChT,treat*session,True,7,98,0.3851255851972463,1.955931026244017,0.16194915721372533,0.8525396825178935
Schaefer200,original,FDOPA,treat,True,7,98,-0.12696731161870545,0.0007967565154067402,0.9774812020009281,1.0
Schaefer200,original,FDOPA,session,True,7,98,-0.12696731161870545,1.40270269206092,0.23627157560051082,0.9460854828474079
Schaefer200,original,FDOPA,treat*session,True,7,98,-0.12696731161870545,0.15359302472347144,0.6951251130511557,0.9999974252682624
Schaefer200,original,D1,treat,True,7,98,-0.02259937044677454,0.08797073336880513,0.7667729748876371,0.9999998586747582
Schaefer200,original,D1,session,True,7,98,-0.02259937044677454,0.45518307872345964,0.49988381451469177,0.9994509737922503
Schaefer200,original,D1,treat*session,True,7,98,-0.02259937044677454,0.004720794477299308,0.9452220199772715,0.9999999999999785
Schaefer200,original,D23,treat,True,7,98,-0.04439178728515411,0.7995663192695955,0.3712230645617819,0.9934413014562277
Schaefer200,original,D23,session,True,7,98,-0.04439178728515411,5.207735202476098,0.02248660834421079,0.21839942567049997
Schaefer200,original,D23,treat*session,True,7,98,-0.04439178728515411,0.020326342387869085,0.8866294110994393,0.9999999999429817
Schaefer200,original,DAT,treat,True,7,98,0.10479540311871276,0.016041809678118343,0.8992124617802739,0.9999999999840616
Schaefer200,original,DAT,session,True,7,98,0.10479540311871276,1.4262319137517818,0.23238037786639767,0.943033620171716
Schaefer200,original,DAT,treat*session,True,7,98,0.10479540311871276,0.12933444199214195,0.7191231126470737,0.999998940834839
Schaefer200,original,5HT1a,treat,True,7,98,-0.04589389155103384,0.3457776459099896,0.5565130896317003,0.9998506720829379
Schaefer200,original,5HT1a,session,True,7,98,-0.04589389155103384,6.574580038494403,0.010344540842592977,0.10654680781833792
Schaefer200,original,5HT1a,treat*session,True,7,98,-0.04589389155103384,0.022974848873288146,0.8795224954601383,0.9999999998898197
Schaefer200,original,5HT1b,treat,True,7,98,0.34914551588739046,0.0031893472472396068,0.9549639636277757,0.9999999999999974
Schaefer200,original,5HT1b,session,True,7,98,0.34914551588739046,4.014299337700148,0.04511596576605335,0.39357689250382155
Schaefer200,original,5HT1b,treat*session,True,7,98,0.34914551588739046,1.0779336284154042,0.29916027771043807,0.9787499149414447
Schaefer200,original,5HT2a,treat,True,7,98,-0.2290099331440148,0.19916490377652157,0.6553957576336176,0.9999902923400648
Schaefer200,original,5HT2a,session,True,7,98,-0.2290099331440148,0.02064441439408102,0.8857518679252007,0.9999999999380138
Schaefer200,original,5HT2a,treat*session,True,7,98,-0.2290099331440148,0.4626431820898888,0.4963912624872727,0.9994079769793891
Schaefer200,original,5HT4,treat,True,7,98,0.054783293281896926,0.0005897710594218306,0.9806251163627571,1.0
