parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,CMRglu,treat,True,4,57,0.14315670961444402,0.3960506141309175,0.5291359651845764,0.9993523549617448
Schaefer200,original,SV2A,treat,True,4,57,0.18393005220726616,0.7636114060568839,0.38220070005471585,0.9908557188628868
Schaefer200,original,HDAC,treat,True,4,57,0.40181230560527353,3.9174989753305196,0.04778592117741291,0.3795572515030603
Schaefer200,original,VMAT2,treat,True,4,57,0.055468532141468956,0.07038601336128751,0.7907755723077232,0.9999997616424768
Schaefer200,original,mGluR5,treat,True,4,57,-0.1379140036734296,0.484090338769169,0.48657537969278064,0.9984944892307638
Schaefer200,original,NMDA,treat,True,4,57,0.2035498105331728,0.8338736501158198,0.3611548090058565,0.9873244224705126
Schaefer200,original,GABAa,treat,True,4,57,-0.05988514733272502,0.0831869329797734,0.7730241500975777,0.9999994727772039
Schaefer200,original,GABAa5,treat,True,4,57,-0.26567601308540806,1.5832734795008787,0.20828980461729663,0.8973855196408446
Schaefer200,original,NET,treat,True,4,57,-0.14924642696925766,0.6600158015445808,0.41655436479339536,0.9947647530951104
Schaefer200,original,A4B2,treat,True,4,57,-0.19961755704282233,1.580442613254503,0.2086969501530443,0.8978987797408512
Schaefer200,original,M1,treat,True,4,57,0.1775864606815195,0.811342945567447,0.3677235060952274,0.9885392700117547
Schaefer200,original,VAChT,treat,True,4,57,-0.5058910698982354,8.218111821735048,0.004147433193792781,0.039704151026465295
Schaefer200,original,FDOPA,treat,True,4,57,-0.17524352426494827,0.7111804701250451,0.3990522027716129,0.993016585271028
Schaefer200,original,D1,treat,True,4,57,0.11787275787229683,0.24519166710214998,0.6204813095994217,0.9999208770333909
Schaefer200,original,D23,treat,True,4,57,-0.2111935227194264,0.9828140586237623,0.321505046546192,0.9772022755163091
Schaefer200,original,DAT,treat,True,4,57,-0.15679113430461616,0.7937118242099073,0.3729801060203789,0.9894350301324123
Schaefer200,original,5HT1a,treat,True,4,57,-0.23800169508761324,1.2999188384755194,0.25422804922050146,0.9427012899406861
Schaefer200,original,5HT1b,treat,True,4,57,-0.027156200809266066,0.020065038080157176,0.8873555908747258,0.9999999994299341
Schaefer200,original,5HT2a,treat,True,4,57,-0.3241591948520332,2.0305597899858583,0.15416381527556217,0.8044869786175957
Schaefer200,original,5HT4,treat,True,4,57,-0.30862253200955164,1.693004287561015,0.1932054109661475,0.8766578033771516
Schaefer200,original,5HT6,treat,True,4,57,-0.19793388152018776,0.980076613311013,0.32217989230311395,0.9774223566679663
