parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,CMRglu,treat,True,6,48,-0.31981671551543284,1.45442326330734,0.4832546050271841,0.9991110926407377
Schaefer200,original,SV2A,treat,True,6,48,-0.4743647353203582,3.536583733900146,0.17062418886651884,0.8634161715947897
Schaefer200,original,HDAC,treat,True,6,48,-0.4086096462035088,2.4463748793159605,0.2942906367250874,0.9755000807191719
Schaefer200,original,VMAT2,treat,True,6,48,-0.18227411071483532,0.7309690850266353,0.6938603645671122,0.9999966158082324
Schaefer200,original,mGluR5,treat,True,6,48,-0.16678439781103976,1.578623286687081,0.4541573099166123,0.9984076987087719
Schaefer200,original,NMDA,treat,True,6,48,-0.327351424526786,2.1438465108866045,0.34234945839306136,0.9884332703251628
Schaefer200,original,GABAa,treat,True,6,48,-0.21451385769626272,2.9034610675766745,0.23416470732134428,0.941516135055679
Schaefer200,original,GABAa5,treat,True,6,48,0.18300576083768436,2.1647282763853504,0.3387936231703298,0.98775013776035
Schaefer200,original,NET,treat,True,6,48,-0.5462492671239918,5.971804111058812,0.05049393466642604,0.42383871579890253
Schaefer200,original,A4B2,treat,True,6,48,-0.22429535457482677,0.872808857346586,0.6463562680605064,0.9999842926991361
Schaefer200,original,M1,treat,True,6,48,-0.28589541125968626,1.6565434704486823,0.43680354653647535,0.9977783901224648
Schaefer200,original,VAChT,treat,True,6,48,0.007370293810360887,0.7967617439861457,0.6714062591174923,0.9999928126424618
Schaefer200,original,FDOPA,treat,True,6,48,0.0319999206282538,2.1898848760897147,0.33455886425669495,0.9868890030226148
Schaefer200,original,D1,treat,True,6,48,-0.28443191864572864,2.8596446743349015,0.23935144232174155,0.9455961387294631
Schaefer200,original,D23,treat,True,6,48,0.45353454568381013,4.49139428457645,0.10585371954046531,0.6959686910832692
Schaefer200,original,DAT,treat,True,6,48,-0.2264143420529707,1.5372097251385053,0.46365948598965445,0.9986791172474687
Schaefer200,original,5HT1a,treat,True,6,48,0.3665590764338077,2.6606662757657653,0.2643891685792499,0.9618980850194199
Schaefer200,original,5HT1b,treat,True,6,48,-0.11276571927533183,0.334576789826045,0.8459556068603932,0.9999999977332684
Schaefer200,original,5HT2a,treat,True,6,48,-0.12904375742283267,2.8278441147552704,0.24318761450722745,0.9484459088040607
Schaefer200,original,5HT4,treat,True,6,48,0.1687608437837777,2.131722966424163,0.3444310053913372,0.9888169638884762
Schaefer200,original,5HT6,treat,True,6,48,0.1325385205618954,1.9039065419200467,0.38598635072444165,0.9944292490015155
Schaefer200,original,5HTT,treat,True,6,48,-0.20029901579071804,0.5735908223424764,0.7506652908606444,0.9999996190107182
Schaefer200,original,MOR,treat,True,6,48,0.01700973167902769,1.5458694729575027,0.46165623891171126,0.9986256619136487
Schaefer200,original,KOR,treat,True,6,48,0.1000814734193535,1.1041991011807946,0.5757397458058772,0.9998909865655042
Schaefer200,original,CB1,treat,True,6,48,0.12050717095137162,2.0953840627507203,0.35074632718417015,0.9899115764047417
Schaefer200,inverted,CMRglu,treat,True,6,48,0.18927546417593272,0.9365028084512129,0.6260961006646395,0.9999632581965168
Schaefer200,inverted,SV2A,treat,True,6,48,-0.2554664199620817,1.2008824327019607,0.5485695448378112,0.9997402343575813
Schaefer200,inverted,HDAC,treat,True,6,48,0.17414258566112945,3.1274419261429993,0.2093556155636264,0.9126981028129018
Schaefer200,inverted,VMAT2,treat,True,6,48,0.14680199347825912,0.3575161238391526,0.836308209725666,0.9999999930587639
Schaefer200,inverted,mGluR5,treat,True,6,48,-0.42617581927985304,2.0381835705968148,0.3609225865631759,0.9904147193787565
Schaefer200,inverted,NMDA,treat,True,6,48,0.0999239184674281,0.7911443698013108,0.6732946799614331,0.9999909459884331
Schaefer200,inverted,GABAa,treat,True,6,48,-0.14266072514550293,2.0958364305423123,0.35066700298471803,0.9886923170532863
Schaefer200,inverted,GABAa5,treat,True,6,48,-0.5722164270287022,4.406651794289981,0.1104352506050974,0.7032077042674614
Schaefer200,inverted,NET,treat,True,6,48,0.5285073420408329,5.3080321248685935,0.07036804237389761,0.5311195785048639
Schaefer200,inverted,A4B2,treat,True,6,48,-0.6224499013026045,4.772565835463649,0.09197091274568411,0.6326611526947354
Schaefer200,inverted,M1,treat,True,6,48,-0.38732901761186894,3.1542778510164102,0.206565252138915,0.9094464122407736
Schaefer200,inverted,VAChT,treat,True,6,48,0.37126714589008086,1.309907766921149,0.5194660180097732,0.9995031440976376
Schaefer200,inverted,FDOPA,treat,True,6,48,-0.031153211505177306,0.1984649625369616,0.905532164284556,0.99999999997692
