metric,map,rho,p
original,5HT1a,0.39935294,0.066
original,5HT1b,0.09405592,0.362
original,5HT2a,0.37369204,0.024
original,5HT4,0.37235713,0.006
original,5HT6,0.560131,0.001
original,5HTT,0.39904243,0.05
original,A4B2,0.08876885,0.378
original,CB1,0.5206904,0.001
original,CMRglu,0.39323938,0.004
original,D1,0.4626981,0.054
original,D23,0.6630529,0.001
original,DAT,0.5432389,0.02
original,FDOPA,0.2669957,0.246
original,GABAa5,0.7554927,0.001
original,GABAa,0.41544947,0.001
original,HDAC,0.4571903,0.001
original,KOR,0.101829454,0.498
original,M1,0.20598823,0.082
original,mGluR5,0.43914917,0.002
original,MOR,0.46480137,0.026
original,NET,0.2993945,0.002
original,NMDA,0.3518745,0.054
original,SV2A,0.19154777,0.154
original,VAChT,0.5191985,0.001
original,VMAT2,0.7115409,0.001
inverted,5HT1a,-0.2665915,0.164
inverted,5HT1b,-0.021163307,0.874
inverted,5HT2a,-0.085328415,0.352
inverted,5HT4,-0.4234988,0.004
inverted,5HT6,-0.025576033,0.856
inverted,5HTT,-0.7037638,0.001
inverted,A4B2,-0.06500765,0.446
inverted,CB1,-0.19466503,0.312
inverted,CMRglu,-0.3505589,0.042
inverted,D1,-0.12370316,0.49
inverted,D23,-0.5045772,0.002
inverted,DAT,-0.061776035,0.732
inverted,FDOPA,-0.4817992,0.018
inverted,GABAa5,-0.14517964,0.426
inverted,GABAa,-0.061220225,0.644
inverted,HDAC,0.07969771,0.524
inverted,KOR,-0.030878242,0.818
inverted,M1,0.0061575696,0.996
inverted,mGluR5,-0.31107095,0.04
inverted,MOR,-0.16519737,0.346
inverted,NET,-0.5535559,0.001
inverted,NMDA,0.04718248,0.802
inverted,SV2A,0.024435971,0.838
inverted,VAChT,-0.35085443,0.008
inverted,VMAT2,-0.48341915,0.001
