,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,original,auc,5HT1a,0.6182504580007777,4.409790972522007,111,111,3.70311936118071e-14,[0.49 0.72],0.764097368172017,4.409790972522007,111,111,3.70311936118071e-14,[0.65 0.84],0.630299948711768,4.409790972522007,111,111,3.70311936118071e-14,[0.5  0.73],0.7732318819120604,4.409790972522007,111,111,3.70311936118071e-14,[0.67 0.84],1.3672066646137009,0.854
Schaefer100,pearson,all,original,auc,5HT1b,0.5140196597202313,3.0993375985562337,111,111,3.359046650715516e-09,[0.36 0.64],0.679013190377217,3.0993375985562337,111,111,3.359046650715516e-09,[0.53 0.78],0.5121162988126691,3.0993375985562337,111,111,3.359046650715516e-09,[0.36 0.64],0.67735041175707,3.0993375985562337,111,111,3.359046650715516e-09,[0.53 0.78],0.42406977700456727,0.001
Schaefer100,pearson,all,original,auc,5HT2a,0.620686266401265,4.266850366534229,111,111,1.17998875199347e-13,[0.49 0.72],0.765954866489366,4.266850366534229,111,111,1.17998875199347e-13,[0.66 0.84],0.6202664095589127,4.266850366534229,111,111,1.17998875199347e-13,[0.49 0.72],0.7656350905006648,4.266850366534229,111,111,1.17998875199347e-13,[0.66 0.84],0.49571899616379733,0.001
Schaefer100,pearson,all,original,auc,5HT4,0.6376442890831485,4.669783740151625,111,111,4.7362723339424455e-15,[0.51 0.74],0.7787335666650052,4.669783740151625,111,111,4.7362723339424455e-15,[0.68 0.85],0.6472528597807657,4.669783740151625,111,111,4.7362723339424455e-15,[0.53 0.74],0.7858573210999422,4.669783740151625,111,111,4.7362723339424455e-15,[0.69 0.85],0.7172878267244795,0.09299999999999997
Schaefer100,pearson,all,original,auc,5HT6,0.5467648132768975,3.4647558593692724,111,111,1.1628870489972492e-10,[0.4  0.66],0.7069786028019984,3.4647558593692724,111,111,1.1628870489972492e-10,[0.57 0.8 ],0.5520471750313047,3.4647558593692724,111,111,1.1628870489972492e-10,[0.41 0.67],0.7113793754628238,3.4647558593692724,111,111,1.1628870489972492e-10,[0.58 0.8 ],15.82212813350687,0.673
Schaefer100,pearson,all,original,auc,5HTT,0.5844458348508024,3.9245154164744633,111,111,2.0601217458490636e-12,[0.45 0.69],0.7377290179261143,3.9245154164744633,111,111,2.0601217458490636e-12,[0.62 0.82],0.5938686691264679,3.9245154164744633,111,111,2.0601217458490636e-12,[0.46 0.7 ],0.7451914710789092,3.9245154164744633,111,111,2.0601217458490636e-12,[0.63 0.82],0.1959582296653883,0.001
Schaefer100,pearson,all,original,auc,A4B2,0.5570773902897598,3.5429851879094967,111,111,5.763066062215711e-11,[0.42 0.67],0.7155423279071467,3.5429851879094967,111,111,5.763066062215711e-11,[0.59 0.8 ],0.5597608362618675,3.5429851879094967,111,111,5.763066062215711e-11,[0.42 0.67],0.7177521364152132,3.5429851879094967,111,111,5.763066062215711e-11,[0.59 0.81],0.40375852244122057,0.001
Schaefer100,pearson,all,original,auc,CB1,0.5942554211009587,3.9830773471989933,111,111,1.2522875058420278e-12,[0.46 0.7 ],0.7454958763014006,3.9830773471989933,111,111,1.2522875058420278e-12,[0.63 0.82],0.598641590196426,3.9830773471989933,111,111,1.2522875058420278e-12,[0.47 0.71],0.7489378405610861,3.9830773471989933,111,111,1.2522875058420278e-12,[0.64 0.83],1.8643319045919438,0.0050000000000000044
Schaefer100,pearson,all,original,auc,CMRglu,0.5338996993619307,3.2962713464240445,111,111,5.39046008048289e-10,[0.39 0.65],0.6961337818685557,3.2962713464240445,111,111,5.39046008048289e-10,[0.56 0.79],0.5344800552077142,3.2962713464240445,111,111,5.39046008048289e-10,[0.39 0.65],0.6966269172333617,3.2962713464240445,111,111,5.39046008048289e-10,[0.56 0.79],0.18748544054724445,0.001
Schaefer100,pearson,all,original,auc,D1,0.5246363658502229,3.2996334525608906,111,111,5.226475354164105e-10,[0.38 0.65],0.6882117960732967,3.2996334525608906,111,111,5.226475354164105e-10,[0.55 0.79],0.5348440693685675,3.2996334525608906,111,111,5.226475354164105e-10,[0.39 0.65],0.6969360341452817,3.2996334525608906,111,111,5.226475354164105e-10,[0.56 0.79],1.8147683043841503,0.937
Schaefer100,pearson,all,original,auc,D23,0.6224556575220843,4.456062845517989,111,111,2.5557906528761902e-14,[0.49 0.73],0.7673006712217177,4.456062845517989,111,111,2.5557906528761902e-14,[0.66 0.84],0.6334353073585016,4.456062845517989,111,111,2.5557906528761902e-14,[0.51 0.73],0.775586647974271,4.456062845517989,111,111,2.5557906528761902e-14,[0.67 0.85],0.49222545852458094,0.001
