dataset,variable,parc,n_subjects,n_observations,converged,df_model,df_resid,beta,p
HCP-YA,hrv_rmssd,Schaefer200,64,103,True,8,96,0.35210619981014435,0.0027241063901855688
HCP-YA,hrv_rmssd,Schaefer200Subcortical,64,103,True,8,96,0.3528575635037635,0.001101275950443619
HCP-YA,hrv_madnn,Schaefer200,67,111,True,8,104,0.33478098117369104,0.0015702537318196188
HCP-YA,hrv_madnn,Schaefer200Subcortical,67,111,True,8,104,0.32161677468441674,0.0007597042425781193
YRSP,pui,Schaefer200,25,49,True,5,45,0.5825927871901971,1.6555298063829352e-05
YRSP,pui,Schaefer200Subcortical,25,49,True,5,45,0.5256420439260675,0.00017601679800431766
YRSP,lf_s,Schaefer200,24,47,True,5,43,0.5133823191080803,0.00026055280721698883
YRSP,lf_s,Schaefer200Subcortical,24,47,True,5,43,0.36439709999431774,0.015307078924882539
YRSP,lf_r,Schaefer200,24,47,True,5,43,0.41830127746825657,0.006943404587243181
YRSP,lf_r,Schaefer200Subcortical,24,47,True,5,43,0.34555362086456315,0.02618241905950597
YRSP,hf_p,Schaefer200,24,47,True,5,43,0.5421411225448554,8.595125371076947e-05
YRSP,hf_p,Schaefer200Subcortical,24,47,True,5,43,0.46117681980291414,0.001327801716202252
